0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_NATCTA;CT1_ATOBRG;CT1_ACET05;CT1_AJ_INF;CT1_05OBRG;CT1_ACATIV
1;  ;1                   ;ACTIVO DISPONIBLE Y EXIGIBLE            ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1                   ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;10                  ;CAJA Y BANCOS                           ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;10                  ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;101                 ;Caja                                    ;                                        ;                                        ;                                        ;                                        ;2;1;0000000001;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;10                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;101                 ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;102                 ;Fondos fijos                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000002;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;10                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;102                 ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;103                 ;Efectivo en Tránsito                    ;                                        ;                                        ;                                        ;                                        ;2;1;0000000003;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;10                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;103                 ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;104                 ;Cuentas corrientes en instituciones fina;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;10                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;104                 ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;1041                ;Cuentas corrientes operativas           ;                                        ;                                        ;                                        ;                                        ;2;1;0000000004;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;104                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1041                ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;1042                ;Cuentas corrientes para fines específico;                                        ;                                        ;                                        ;                                        ;2;1;0000000005;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;104                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1042                ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;105                 ;Certificados bancarios                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;10                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;105                 ;  ;2;      ; ;                    ;01;2;2; ;2;2
1;  ;1051                ;Certificados bancarios                  ;                                        ;                                        ;                                        ;                                        ;2;1;0000000006;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;105                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1051                ;  ;2;      ; ;                    ;01;2;2; ;2;2
