0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_NATCTA;CT1_ACATIV;CT1_ATOBRG;CT1_ACET05;CT1_05OBRG;CT1_ACAT01;CT1_AT01OB;CT1_ACAT02;CT1_AT02OB;CT1_ACAT03;CT1_AT03OB;CT1_ACAT04;CT1_AT04OB;CT1_TPO01;CT1_TPO04;CT1_TPO02;CT1_TPO03
1;  ;1                   ;ACTIVO                                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1                   ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;101                 ;ACTIVO                                  ;                                        ;                                        ;                                        ;                                        ;2;1;0000000012;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;101                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11                  ;CIRCULANTE                              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11                  ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;1101                ;CIRCULANTE                              ;                                        ;                                        ;                                        ;                                        ;2;1;0000000011;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1101                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;111                 ;CAJAS                                   ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11101               ;CAJAS                                   ;                                        ;                                        ;                                        ;                                        ;2;1;0000000001;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11101               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11102               ;CAJAS CHICAS                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000002;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11102               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;112                 ;BANCOS                                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11201               ;BANCOS MONEDA NACIONAL                  ;                                        ;                                        ;                                        ;                                        ;2;1;0000000003;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11201               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11202               ;BANCOS MONEDA EXTRANJERA                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000004;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11202               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;113                 ;INVERSIONES                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11301               ;INVERSIONES                             ;                                        ;                                        ;                                        ;                                        ;2;1;0000000005;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11301               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;114                 ;CUENTAS POR COBRAR                      ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11401               ;CLIENTES NACIONALES                     ;                                        ;                                        ;                                        ;                                        ;2;1;0000000006;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11401               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11402               ;CLIENTES EXTRANJEROS                    ;                                        ;                                        ;                                        ;                                        ;2;1;0000000007;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11402               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11403               ;ESTIMACION POR INCOBRABLES              ;                                        ;                                        ;                                        ;                                        ;2;1;0000000008;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11403               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11499               ;OTRAS CUENTAS POR COBRAR                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000009;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11499               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;115                 ;ANTICIPOS SOBRE IMPUESTOS               ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;11501               ;ANTICIPO SOBRE IMPUESTO SOBRE LA RENTA  ;                                        ;                                        ;                                        ;                                        ;2;1;0000000010;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11501               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;12                  ;FIJO                                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;12                  ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;1201                ;FIJO                                    ;                                        ;                                        ;                                        ;                                        ;2;1;0000000013;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;12                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1201                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;121                 ;TERRENOS                                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;12                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;121                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;12101               ;TERRENOS                                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000014;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;121                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;12101               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;122                 ;EDIFICIOS                               ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;12                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;122                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;12201               ;EDIFICIOS                               ;                                        ;                                        ;                                        ;                                        ;2;1;0000000015;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;122                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;12201               ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
1;  ;123                 ;MOBILIARIO Y EQUIPOS                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;12                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;123                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ;  ;  ;  
