FJN_COD;FJN_NOME;FJN_AGENCI;FJN_NOMAGE;FJN_END;FJN_MUN;FJN_PROV;FJN_POSTAL;FJN_BLOCK
1;CREDICOOP COOP.LTDO.;0;BUENOS AIRES;;;CF;1000;1
1;DEUTSCHE BANK A.G.;68;BUENOS AIRES;;;CF;1000;1
1;DEUTSCHE BANK A.G.;76;BUENOS AIRES;;;CF;1000;1
1;DEUTSCHE BANK A.G.;31;BUENOS AIRES;;;CF;1000;1
1;DEUTSCHE BANK A.G.;33;BUENOS AIRES;;;CF;1000;1
1;DEUTSCHE BANK A.G.;35;AGENCIA CENTRO;;;CF;1000;1
1;DEUTSCHE BANK A.G.;62;PUEYRREDON 539 - CAP. FED.;;;CF;1000;1
1;DEUTSCHE BANK A.G.;1;BUENOS AIRES;;;CF;1086;1
1;DEUTSCHE BANK A.G.;7;MUNRO;;;BA;1605;1
1;DEUTSCHE BANK A.G.;22;PILAR;;;BA;1629;1
1;DEUTSCHE BANK A.G.;18;VTE. LOPEZ;;;BA;1638;1
1;DEUTSCHE BANK A.G.;52;AGENCIA MARTINEZ;;;BA;1640;1
1;DEUTSCHE BANK A.G.;12;SAN ISIDRO;;;BA;1642;1
1;DEUTSCHE BANK A.G.;15;SAN ISIDRO;;;BA;1642;1
1;DEUTSCHE BANK A.G.;154;CENTRO;25 DE MAYO 193;SAN ISIDRO;BA;1642;1
1;DEUTSCHE BANK A.G.;55;SAN MARTIN;;;BA;1650;1
1;DEUTSCHE BANK A.G.;20;V. BALLESTEROS;;;BA;1653;1
1;DEUTSCHE BANK A.G.;44;J.L. SUAREZ;;;BA;1655;1
1;DEUTSCHE BANK A.G.;9;SAN MIGUEL;;;BA;1663;1
1;DEUTSCHE BANK A.G.;28;CASEROS;;;BA;1678;1
1;DEUTSCHE BANK A.G.;46;EL PALOMAR;;;BA;1684;1
1;DEUTSCHE BANK A.G.;48;AGENCIA MORON;;;BA;1708;1
1;DEUTSCHE BANK A.G.;50;SAN JUSTO;;;BA;1754;1
1;DEUTSCHE BANK A.G.;70;LANUS;;;BA;1824;1
1;DEUTSCHE BANK A.G.;71;AGENCIA LOMAS CENTER;;;BA;1832;1
1;DEUTSCHE BANK A.G.;75;AG.LOMAS DE ZAMORA;;;BA;1832;1
1;DEUTSCHE BANK A.G.;51;AGENCIA AVELLANEDA;;;BA;1870;1
1;DEUTSCHE BANK A.G.;798;AVELLANEDA;;;BA;1870;1
1;DEUTSCHE BANK A.G.;34;AGENCIA WILDE;;;BA;1875;1
1;DEUTSCHE BANK A.G.;45;BERNAL;;;BA;1876;1
1;DEUTSCHE BANK A.G.;42;AGENCIA QUILMES;;;BA;1878;1
1;DEUTSCHE BANK A.G.;54;S.A.DE ARECO;;;BA;2760;1
1;DEUTSCHE BANK A.G.;356;MENDOZA;;;ME;5500;1
3;EUROPEO AMER. LAT. S.A.;;;;;;;2
4;EUROPEO AMER. LAT. S.A.;177;LA RIOJA;;;LR;5300;1
5;ABN AMRO BANK N.V.;17;LIBERTADOR 2694;;;CF;1000;1
5;ABN AMRO BANK N.V.;0;CASA CENTRAL;;;CF;1000;1
5;ABN AMRO BANK N.V.;2;BUENOS AIRES;;;CF;1000;1
5;ABN AMRO BANK N.V.;3;BUENOS AIRES;;;CF;1000;1
5;ABN AMRO BANK N.V.;7;LEANDRO N. ALEM 910;;;CF;1000;1
5;ABN AMRO BANK N.V.;9;BUENOS AIRES;;;CF;1000;1
5;ABN AMRO BANK N.V.;16;BUENOS AIRES;;;CF;1000;1
