B09_FADENT;B09_FACDES
D;DISTAL              
M;MESIAL
V;VESTIBULAR
L;LINGUAL 
O;OCLUSAL 
I;INCISAL 
P;PALATINA
DI;DISTAL/INCISAL
DO;DISTAL/OCLUSAL
DV;DISTAL/VESTIBULAR 
MI;MESIAL/INCISAL
VI;VESTIBULAR/INCISAL
ML;MESIAL/LINGUAL
LO;LINGUAL/OCLUSAL 
MO;MESIAL/OCLUSAL
MV;MESIAL/VESTIBULAR 
VO;VESTIBULAR/OCLUSAL
DOL;DISTAL/OCLUSAL/LINGUAL
DIV;DISTAL/INCISAL/VESTIBULAR 
MDV;MESIAL/DISTAL/VESTIBULAR
MOD;MESIAL/OCLUSAL/DISTAL 
MOL;MESIAL/OCLUSAL/LINGUAL
MOV;MESIAL/OCLUSAL/VESTIBULAR 
MIV;MESIAL/INCISAL/VESTIBULAR 
DOV;DISTAL/OCLUSAL/VESTIBULAR 
LOV;LINGUAL/OCLUSAL/VESTIBULAR
DVL;DISTAL/VESTIBULAR/LINGUAL 
MLV;MESIAL/LINGUAL/VESTIBULAR 
DVLO;DISTAL/VESTIBULAR/LINGUAL/OCLUSAL 
MIDL;MESIAL/INCISAL/DISTAL/LINGUAL 
MODL;MESIAL/OCLUSAL/DISTAL/LINGUAL 
MODV;MESIAL/OCLUSAL/DISTAL/VESTIBULAR
MVLD;MESIAL/VESTIBULAR/LINGUAL/DISTAL
MVLO;MESIAL/VESTIBULAR/LINGUAL/OCLUSAL 
DL;DISTAL/LINGUAL
DP;DISTAL/PALATINA 
LI;LINGUAL/INCISAL 
MP;MESIAL/PALATINA 
PI;PALATINA/INCISAL
PO;PALATINA/OCLUSAL
DIL;DISTAL/INCISAL/LINGUAL
DIP;DISTAL/INCISAL/PALATINA 
LIV;LINGUAL/INCISAL/VESTIBULAR
DOP;DISTAL/OCLUSAL/PALATINA 
MID;MESIAL/INCISAL/DISTAL 
MIL;MESIAL/INCISAL/LINGUAL
MIP;MESIAL/INCISAL/PALATINA 
MOP;MESIAL/OCLUSAL/PALATINA 
MVP;MESIAL/VESTIBULAR/PALATINA
PIV;PALATINA/INCISAL/VESTIBULAR 
POV;PALATINA/OCLUSAL/VESTIBULAR 
DVLI;DISTAL/VESTIBULAR/LINGUAL/INCISAL 
DVPI;DISTAL/VESTIBULAR/PALATINA/INCISAL
DVPO;DISTAL/VESTIBULAR/PALATINA/OCLUSAL
MIDP;MESIAL/INCISAL/DISTAL/PALATINA
MIDV;MESIAL/INCISAL/DISTAL/VESTIBULAR
MODP;MESIAL/OCLUSAL/DISTAL/PALATINA
MVLI;MESIAL/VESTIBULAR/LINGUAL/INCISAL 
MVPI;MESIAL/VESTIBULAR/PALATINA/INCISAL
MVPO;MESIAL/VESTIBULAR/PALATINA/OCLUSAL
MVI;MESIAL/VESTIBULAR/INCISAL 
DVP;DISTAL/VESTIBULAR/PALATINA
OD;OCLUSAL/DISTAL
IL;INCISAL/LINGUAL 
DVI;DISTAL/VESTIBULAR/INCISAL 
ODV;OCLUSAL/DISTAL/VESTIBULAR 
OLV;LINGUAL/OCLUSAL/VESTIBULAR
VDL;VESTIBULAR/DISTAL/LINGUAL 
VML;VESTIBULAR/MESIAL/LINGUAL 
MDLI;MESIAL/DISTAL/LINGUAL/INCISAL 
VMLD;VESTIBULAR/MESIAL/LINGUAL/DISTAL
VMLO;VESTIBULAR/MESIAL/LINGUAL/OCLUSAL 
