B0H_TPBENE;B0H_TIPPRE;B0H_TPPRES;B0H_GRUOPE;B0H_TPPAG;B0H_CONTA
1;ANE;;;0;2111190310001
1;ANE;;01;0;2111190310001
1;ANE;;02;0;2111190310001
1;ANE;;03;0;2111190310001
1;ANE;0;;0;2111190310001
1;ANE;0;01;0;2111190310001
1;ANE;0;02;0;2111190310001
1;ANE;0;03;0;2111190310001
1;ANE;1;;0;2111190310001
1;ANE;1;01;0;2111190310001
1;ANE;1;02;0;2111190310001
1;ANE;1;03;0;2111190310001
1;ANE;2;;0;2111190310001
1;ANE;2;01;0;2111190310001
1;ANE;2;02;0;2111190310001
1;ANE;2;03;0;2111190310001
1;ANE;3;;0;2111190310001
1;ANE;3;01;0;2111190310001
1;ANE;3;02;0;2111190310001
1;ANE;3;03;0;2111190310001
1;ANE;4;;0;2111190310001
1;ANE;4;01;0;2111190310001
1;ANE;4;02;0;2111190310001
1;ANE;4;03;0;2111190310001
1;ANE;5;;0;2111190310001
1;ANE;5;01;0;2111190310001
1;ANE;5;02;0;2111190310001
1;ANE;5;03;0;2111190310001
1;ANE;6;;0;2111190310001
1;ANE;6;01;0;2111190310001
1;ANE;6;02;0;2111190310001
1;ANE;6;03;0;2111190310001
2;ANE;;;0;2111190310001
2;ANE;;01;0;2111190310001
2;ANE;;02;0;2111190310001
2;ANE;;03;0;2111190310001
2;ANE;0;;0;2111190310001
2;ANE;0;01;0;2111190310001
2;ANE;0;02;0;2111190310001
2;ANE;0;03;0;2111190310001
2;ANE;1;;0;2111190310001
2;ANE;1;01;0;2111190310001
2;ANE;1;02;0;2111190310001
2;ANE;1;03;0;2111190310001
2;ANE;2;;0;2111190310001
2;ANE;2;01;0;2111190310001
2;ANE;2;02;0;2111190310001
2;ANE;2;03;0;2111190310001
2;ANE;3;;0;2111190310001
2;ANE;3;01;0;2111190310001
2;ANE;3;02;0;2111190310001
2;ANE;3;03;0;2111190310001
2;ANE;4;;0;2111190310001
2;ANE;4;01;0;2111190310001
2;ANE;4;02;0;2111190310001
2;ANE;4;03;0;2111190310001
2;ANE;5;;0;2111190310001
2;ANE;5;01;0;2111190310001
2;ANE;5;02;0;2111190310001
2;ANE;5;03;0;2111190310001
2;ANE;6;;0;2111190310001
2;ANE;6;01;0;2111190310001
2;ANE;6;02;0;2111190310001
2;ANE;6;03;0;2111190310001
3;ANE;;;0;2111190310001
3;ANE;;01;0;2111190310001
3;ANE;;02;0;2111190310001
3;ANE;;03;0;2111190310001
3;ANE;0;;0;2111190310001
3;ANE;0;01;0;2111190310001
3;ANE;0;02;0;2111190310001
3;ANE;0;03;0;2111190310001
3;ANE;1;;0;2111190310001
3;ANE;1;01;0;2111190310001
3;ANE;1;02;0;2111190310001
3;ANE;1;03;0;2111190310001
3;ANE;2;;0;2111190310001
3;ANE;2;01;0;2111190310001
3;ANE;2;02;0;2111190310001
3;ANE;2;03;0;2111190310001
3;ANE;3;;0;2111190310001
3;ANE;3;01;0;2111190310001
3;ANE;3;02;0;2111190310001
3;ANE;3;03;0;2111190310001
3;ANE;4;;0;2111190310001
3;ANE;4;01;0;2111190310001
3;ANE;4;02;0;2111190310001
3;ANE;4;03;0;2111190310001
3;ANE;5;;0;2111190310001
3;ANE;5;01;0;2111190310001
3;ANE;5;02;0;2111190310001
3;ANE;5;03;0;2111190310001
3;ANE;6;;0;2111190310001
3;ANE;6;01;0;2111190310001
3;ANE;6;02;0;2111190310001
3;ANE;6;03;0;2111190310001
4;ANE;;;0;2111190310001
4;ANE;;01;0;2111190310001
4;ANE;;02;0;2111190310001
4;ANE;;03;0;2111190310001
4;ANE;0;;0;2111190310001
4;ANE;0;01;0;2111190310001
4;ANE;0;02;0;2111190310001
4;ANE;0;03;0;2111190310001
4;ANE;1;;0;2111190310001
4;ANE;1;01;0;2111190310001
4;ANE;1;02;0;2111190310001
4;ANE;1;03;0;2111190310001
4;ANE;2;;0;2111190310001
4;ANE;2;01;0;2111190310001
4;ANE;2;02;0;2111190310001
4;ANE;2;03;0;2111190310001
4;ANE;3;;0;2111190310001
4;ANE;3;01;0;2111190310001
4;ANE;3;02;0;2111190310001
4;ANE;3;03;0;2111190310001
4;ANE;4;;0;2111190310001
4;ANE;4;01;0;2111190310001
4;ANE;4;02;0;2111190310001
4;ANE;4;03;0;2111190310001
4;ANE;5;;0;2111190310001
4;ANE;5;01;0;2111190310001
4;ANE;5;02;0;2111190310001
4;ANE;5;03;0;2111190310001
4;ANE;6;;0;2111190310001
4;ANE;6;01;0;2111190310001
4;ANE;6;02;0;2111190310001
4;ANE;6;03;0;2111190310001
5;ANE;;;0;2111190310001
5;ANE;;01;0;2111190310001
5;ANE;;02;0;2111190310001
5;ANE;;03;0;2111190310001
5;ANE;0;;0;2111190310001
5;ANE;0;01;0;2111190310001
5;ANE;0;02;0;2111190310001
5;ANE;0;03;0;2111190310001
5;ANE;1;;0;2111190310001
5;ANE;1;01;0;2111190310001
5;ANE;1;02;0;2111190310001
5;ANE;1;03;0;2111190310001
5;ANE;2;;0;2111190310001
5;ANE;2;01;0;2111190310001
5;ANE;2;02;0;2111190310001
5;ANE;2;03;0;2111190310001
5;ANE;3;;0;2111190310001
5;ANE;3;01;0;2111190310001
5;ANE;3;02;0;2111190310001
5;ANE;3;03;0;2111190310001
5;ANE;4;;0;2111190310001
5;ANE;4;01;0;2111190310001
5;ANE;4;02;0;2111190310001
5;ANE;4;03;0;2111190310001
5;ANE;5;;0;2111190310001
5;ANE;5;01;0;2111190310001
5;ANE;5;02;0;2111190310001
5;ANE;5;03;0;2111190310001
5;ANE;6;;0;2111190310001
5;ANE;6;01;0;2111190310001
5;ANE;6;02;0;2111190310001
5;ANE;6;03;0;2111190310001
6;ANE;;;0;2111190310001
6;ANE;;01;0;2111190310001
6;ANE;;02;0;2111190310001
6;ANE;;03;0;2111190310001
6;ANE;0;;0;2111190310001
6;ANE;0;01;0;2111190310001
6;ANE;0;02;0;2111190310001
6;ANE;0;03;0;2111190310001
6;ANE;1;;0;2111190310001
6;ANE;1;01;0;2111190310001
6;ANE;1;02;0;2111190310001
6;ANE;1;03;0;2111190310001
6;ANE;2;;0;2111190310001
6;ANE;2;01;0;2111190310001
6;ANE;2;02;0;2111190310001
6;ANE;2;03;0;2111190310001
6;ANE;3;;0;2111190310001
6;ANE;3;01;0;2111190310001
6;ANE;3;02;0;2111190310001
6;ANE;3;03;0;2111190310001
6;ANE;4;;0;2111190310001
6;ANE;4;01;0;2111190310001
6;ANE;4;02;0;2111190310001
6;ANE;4;03;0;2111190310001
6;ANE;5;;0;2111190310001
6;ANE;5;01;0;2111190310001
6;ANE;5;02;0;2111190310001
6;ANE;5;03;0;2111190310001
6;ANE;6;;0;2111190310001
6;ANE;6;01;0;2111190310001
6;ANE;6;02;0;2111190310001
6;ANE;6;03;0;2111190310001
1;CDI;;;0;2111190310001
1;CDI;;01;0;2111190310001
1;CDI;;02;0;2111190310001
1;CDI;;03;0;2111190310001
1;CDI;0;;0;2111190310001
1;CDI;0;01;0;2111190310001
1;CDI;0;02;0;2111190310001
1;CDI;0;03;0;2111190310001
1;CDI;1;;0;2111190310001
1;CDI;1;01;0;2111190310001
1;CDI;1;02;0;2111190310001
1;CDI;1;03;0;2111190310001
1;CDI;2;;0;2111190310001
1;CDI;2;01;0;2111190310001
1;CDI;2;02;0;2111190310001
1;CDI;2;03;0;2111190310001
1;CDI;3;;0;2111190310001
1;CDI;3;01;0;2111190310001
1;CDI;3;02;0;2111190310001
1;CDI;3;03;0;2111190310001
1;CDI;4;;0;2111190310001
1;CDI;4;01;0;2111190310001
1;CDI;4;02;0;2111190310001
1;CDI;4;03;0;2111190310001
1;CDI;5;;0;2111190310001
1;CDI;5;01;0;2111190310001
1;CDI;5;02;0;2111190310001
1;CDI;5;03;0;2111190310001
1;CDI;6;;0;2111190310001
1;CDI;6;01;0;2111190310001
1;CDI;6;02;0;2111190310001
1;CDI;6;03;0;2111190310001
2;CDI;;;0;2111190310001
2;CDI;;01;0;2111190310001
2;CDI;;02;0;2111190310001
2;CDI;;03;0;2111190310001
2;CDI;0;;0;2111190310001
2;CDI;0;01;0;2111190310001
2;CDI;0;02;0;2111190310001
2;CDI;0;03;0;2111190310001
2;CDI;1;;0;2111190310001
2;CDI;1;01;0;2111190310001
2;CDI;1;02;0;2111190310001
2;CDI;1;03;0;2111190310001
2;CDI;2;;0;2111190310001
2;CDI;2;01;0;2111190310001
2;CDI;2;02;0;2111190310001
2;CDI;2;03;0;2111190310001
2;CDI;3;;0;2111190310001
2;CDI;3;01;0;2111190310001
2;CDI;3;02;0;2111190310001
2;CDI;3;03;0;2111190310001
2;CDI;4;;0;2111190310001
2;CDI;4;01;0;2111190310001
2;CDI;4;02;0;2111190310001
2;CDI;4;03;0;2111190310001
2;CDI;5;;0;2111190310001
2;CDI;5;01;0;2111190310001
2;CDI;5;02;0;2111190310001
2;CDI;5;03;0;2111190310001
2;CDI;6;;0;2111190310001
2;CDI;6;01;0;2111190310001
2;CDI;6;02;0;2111190310001
2;CDI;6;03;0;2111190310001
3;CDI;;;0;2111190310001
3;CDI;;01;0;2111190310001
