B18_CODIGO;B18_DESCRI
001;Acesso
002;Adro
004;Alameda
005;Alto
007;Atalho
008;Avenida
009;Balneario
010;Belvedere
011;Beco
012;Bloco
013;Bosque
014;Boulevard
015;Baixa
016;Cais
017;Caminho
019;Chapadao
020;Conjunto
021;Colonia
022;Corredor
023;Campo
024;Corrego
027;Desvio
028;Distrito
030;Escada
031;Estrada
032;Estacao
033;Estadio
036;Favela
037;Fazenda
038;Ferrovia
039;Fonte
040;Feira
043;Forte
045;Galeria
046;Granja
050;Ilha
052;Jardim
053;Ladeira
054;Largo
055;Lagoa
056;Loteamento
059;Morro
060;Monte
062;Paralela
063;Passeio
064;Patio
065;Praca
067;Parada
070;Praia
071;Prolongamento
072;Parque
073;Passarela
074;Passagem
076;Ponte
077;Quadra
079;Quinta
081;Rua
082;Ramal
087;Recanto
088;Retiro
089;Reta
090;Rodovia
091;Retorno
092;Sitio
094;Servidao
095;Setor
096;Subida
097;Trincheira
098;Terminal
099;Trevo
100;Travessa
101;Via
103;Viaduto
104;Vila
105;Viela
106;Vale
108;Zigue-zague
452;Trecho
453;Vereda
465;Arteria
468;Elevada
469;Porto
470;Balao
471;Paradouro
472;Area
473;Jardinete
474;Esplanada
475;Quintas
476;Rotula
477;Marina
478;Descida
479;Circular
480;Unidade
481;Chacara
482;Rampa
483;Ponta
484;Via de pedestre
485;Condominio
486;Habitacional
487;Residencial
495;Canal
496;Buraco
497;Modulo
498;Estancia
499;Lago
500;Nucleo
501;Aeroporto
502;Passagem Subterranea
503;Complexo Viario
504;Praca de Esportes
505;Via Elevada
506;Rotatoria
507;1a. Travessa
508;2a. Travessa
509;3a. Travessa
510;4a. Travessa
511;5a. Travessa
512;6a. Travessa
513;7a. Travessa
514;8a. Travessa
515;9a. Travessa
516;10a. Travessa
517;11a. Travessa
518;12a. Travessa
519;13a. Travessa
520;14a. Travessa
521;15a. Travessa
522;16a. Travessa
523;1o. Alto
524;2o. Alto
525;3o. Alto
526;4o. Alto
527;5o. Alto
528;1o. Beco
529;2o. Beco
530;3o. Beco
531;4o. Beco
532;5o. Beco
533;1a. Paralela
534;2a. Paralela
535;3a. Paralela
536;4a. Paralela
537;5a. Paralela
538;1a. Subida
539;2a. Subida
540;3a. Subida
541;4a. Subida
542;5a. Subida
543;6a. Subida
544;1a. Vila
545;2a. Vila
546;3a. Vila
547;4a. Vila
548;5a. Vila
549;1o. Parque
550;2o. Parque
551;3o. Parque
552;1a. Rua
553;2a. Rua
554;3a. Rua
555;4a. Rua
556;5a. Rua
557;6a. Rua
558;7a. Rua
559;8a. Rua
560;9a. Rua
561;10a. Rua
562;11a. Rua
563;12a. Rua
564;Estacionamento
565;Vala
566;Rua de Pedestre
567;Tunel
568;Variante
569;Rodo Anel
570;Travessa Particular
571;Calcada
572;Via de Acesso
573;Entrada Particular
645;Acampamento
646;Via Expressa
647;CAIXA POSTAL
648;Avenida Contorno
649;Parque Residencial
650;Parque Municipal
651;1a. Avenida
652;2a. Avenida
653;3a. Avenida
654;4a. Avenida
655;5a. Avenida
656;Estrada Antiga
657;1a. Ladeira
658;2a. Ladeira
659;3a. Ladeira
660;4a. Ladeira
661;5a. Ladeira
662;Rua de Ligação
663;Via Local
664;Via Coletora
665;6a. Avenida
666;7a. Avenida
667;Área Especial
668;Entre Quadra
669;Núcleo Rural
670;Escadaria
671;Estrada Velha
672;Área Verde
673;Via de Pedestres
674;Via Principal
675;Via Pedestre
676;Via Marginal
677;Via Litoranea
678;Via Lateral
679;Via Costeira
680;Variante da Estrada
681;Terceira Avenida
682;Servidão de Passagem
683;Ruela
684;Rua Velha
685;Rua Projetada
686;Rua Principal
687;Rua Particular
688;Passeio Público
689;Passagem de Pedestres
690;Outeiro
691;Núcleo Habitacional
692;Nova Avenida
693;Mercado
694;Margem
695;Jardim Residencial
696;Evangélica
697;Estrada de Servidão
698;Estrada de Ligação
699;Estrada de Ferro
700;Estrada Vicinal
701;Estrada Particular
702;Estrada Nova
703;Estrada Municipal
704;Estrada Intermunicipal
705;Estrada Estadual
706;Eixo Principal
707;Eixo Industrial
708;Eixo
709;Contorno
710;Conjunto Residencial
711;Conjunto Mutirão
712;Conjunto Habitacional
713;Condomínio Residencial
714;Comunidade
715;Ciclovia
716;Campus
717;Caminho de Servidão
718;Calçadão
719;Bulevar
720;Blocos
721;Avenida Perimetral
722;Avenida Marginal Norte
723;Avenida Marginal Esquerda
724;Avenida Marginal Direita
725;Avenida Marginal
726;Antiga Estrada
727;Antiga Estação
728;Anel Viário
729;Acesso Local
730;2a. Travessa da Rodovia
731;22a. Travessa
732;21a. Travessa
733;20a. Travessa
734;1a. Travessa da Rodovia
735;19a. Travessa
736;18a. Travessa
737;17a. Travessa
