B7V_REFERE;B7V_EXCAMP;B7V_INCAMP;B7V_TIPO;B7V_EXVALO;B7V_INVALO;B7V_URLVAL;B7V_ATIVO
PMOBATUCADMOD       ;atualizacao_cadastral_data_nascimento;BA1_DATNAS;0;                                                                                                    ;                                                                                                    ; ;1
PMOBATUCADMOD       ;atualizacao_cadastral_telefone_celular                                       ;BA1_TELEFO;0;                                                                                                    ;                                                                                                    ; ;1
PMOBATUCADMOD       ;atualizacao_cadastral_email;BA1_EMAIL;0;                                                                                                    ;                                                                                                    ; ;1
PMOBATUCADMOD       ;atualizacao_cadastral_estado;BA1_ESTADO;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_cpf;BA1_CPFUSR;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_logradouro;BA1_ENDERE;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_nome;BA1_NOMUSR;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_numero;BA1_NR_END;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_bairro;BA1_BAIRRO;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_complemento;BA1_COMEND;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_cep;BA1_CEPUSR;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_cidade;BA1_CODMUN;0;;;;1
PMOBATUCADMOD       ;atualizacao_cadastral_comprovante_de_endereco;;0;;;1;1
PMOBATUCADMOD       ;atualizacao_cadastral_comprovante_de_endereco_cobranca;;0;;;1;1
PMOBATUCADMOD       ;atualizacao_cadastral_comprovante_nome;;0;                                                                                                    ;                                                                                                    ;1;1
