BBL_PROGRA;BBL_ALIAS1;BBL_CAMPO1;BBL_ALIAS2;BBL_CAMPO2
HSPAHA08;GFR;GFR_CDESPE;BAQ;BAQ_CODESP
HSPAHA08;GFR;GFR_DSESPE;BAQ;BAQ_DESCRI
HSPAHA16;GF4;GF4_TPALTA;BIY;BIY_CODSAI
HSPAHA16;GF4;GF4_DSTPAL;BIY;BIY_DESCRI
HSPAHA20;GAS;GAS_CODIGO;BA9;BA9_CODDOE
HSPAHA20;GAS;GAS_PATOLO;BA9;BA9_DOENCA
HSPAHA58;GBH;GBH_NOME;BTS;BTS_NOMUSR
HSPAHA58;GBH;GBH_END;BTS;BTS_ENDERE
HSPAHA58;GBH;GBH_MUN;BTS;BTS_MUNICI
HSPAHA58;GBH;GBH_EST;BTS;BTS_ESTADO
HSPAHA58;GBH;GBH_BAIRRO;BTS;BTS_BAIRRO
HSPAHA58;GBH;GBH_CPF;BTS;BTS_CPFUSR
HSPAHA58;GBH;GBH_CEP;BTS;BTS_CEPUSR
HSPAHA58;GBH;GBH_RG;BTS;BTS_DRGUSR
HSPAHA58;GBH;GBH_DTNASC;BTS;BTS_DATNAS
HSPAHA58;GBH;GBH_NUM;BTS;BTS_NR_END
HSPAHA58;GBH;GBH_COMPLE;BTS;BTS_COMEND
HSPAHA58;GBH;GBH_TEL;BTS;BTS_TELEFO
HSPAHA58;GBH;GBH_NOMPAI;BTS;BTS_PAI
HSPAHA58;GBH;GBH_NOMMAE;BTS;BTS_MAE
HSPAHA58;GBH;GBH_NOME;BA1;BA1_NOMUSR
HSPAHA58;GBH;GBH_END;BA1;BA1_ENDERE
HSPAHA58;GBH;GBH_MUN;BA1;BA1_MUNICI
HSPAHA58;GBH;GBH_EST;BA1;BA1_ESTADO
HSPAHA58;GBH;GBH_BAIRRO;BA1;BA1_BAIRRO
HSPAHA58;GBH;GBH_CPF;BA1;BA1_CPFUSR
HSPAHA58;GBH;GBH_CEP;BA1;BA1_CEPUSR
HSPAHA58;GBH;GBH_RG;BA1;BA1_DRGUSR
HSPAHA58;GBH;GBH_DTNASC;BA1;BA1_DATNAS
HSPAHA58;GBH;GBH_NUM;BA1;BA1_NR_END
HSPAHA58;GBH;GBH_COMPLE;BA1;BA1_COMEND
HSPAHA58;GBH;GBH_TEL;BA1;BA1_TELEFO
HSPAHA58;GBH;GBH_NOMPAI;BA1;BA1_PAI
HSPAHA58;GBH;GBH_NOMMAE;BA1;BA1_MAE
HSPAHA59;G07;G07_CODIGO;BI4;BI4_CODACO
HSPAHA59;G07;G07_DESCRI;BI4;BI4_DESCRI
HSPAHAA5;GD0;GD0_ORIPAC;BDR;BDR_CODTAD
HSPAHAA5;GD0;GD0_DORIPA;BDR;BDR_DESCRI
PLSA040;BI4;BI4_CODACO;G07;G07_CODIGO
PLSA040;BI4;BI4_DESCRI;G07;G07_DESCRI
PLSA070;BA9;BA9_CODDOE;GAS;GAS_CODIGO
PLSA070;BA9;BA9_DOENCA;GAS;GAS_PATOLO
PLSA163;BDR;BDR_CODTAD;GD0;GD0_ORIPAC
PLSA163;BDR;BDR_DESCRI;GD0;GD0_DORIPA
PLSA164;BIY;BIY_CODSAI;GF4;GF4_TPALTA
PLSA164;BIY;BIY_DESCRI;GF4;GF4_DSTPAL
PLSA260;BA1;BA1_NOMUSR;SA1;A1_NOME
PLSA260;BA1;BA1_NOMUSR;SA1;A1_NREDUZ
PLSA260;BA1;BA1_ENDERE;SA1;A1_END
PLSA260;BA1;BA1_MUNICI;SA1;A1_MUN
