BDL_CODINT;BDL_CODIGO;BDL_DESCRI;BDL_CARENC;BDL_UNCAR;BDL_CODMSG;BDL_CODEDI;BDL_DESMSG;BDL_IMPCLS
0001;001;CONSULTAS / TERAPIAS;30.00;2;002;;CONSULTAS E EXAMES SIMPLES;1
0001;002;EXAMES SIMPLES;30.00;2;002;;CONSULTAS E EXAMES SIMPLES;0
0001;003;EX OBSTET/RX CONTRASTADO;120.00;2;003;;EX OBSTET/RX CONTRASTADO;1
0001;005;TERAPIA/EX ESPECIALIZADOS;180.00;2;004;;EXAMES ESPECIALIZADOS;1
0001;006;TERAPIAS/EXAMES LEI 9656;180.00;2;008;;PROCEDIMENTOS LEI 9656/98;1
0001;007;TERAP/EXAMES OP 2PJ E 3PF;180.00;2;009;;PROCED CARDIACOS/TERAP EXAMES;0
0001;008;LITOTRIPSIA;180.00;2;004;;EXAMES ESPECIALIZADOS;0
0001;009;INTERNACOES CLINICAS;180.00;2;005;;INTERN CLINICA E CIRURGICA;1
0001;010;INTERNACOES CIRURGICAS;180.00;2;005;;INTERN CLINICA E CIRURGICA;0
0001;011;PROCEDIMENTO/CIRUR LEI9656;180.00;2;008;;PROCEDIMENTOS LEI 9656/98;0
0001;012;PROCEDIMENTOS CARDIACOS;180.00;2;009;;PROCED CARDIACOS/TERAP EXAMES;0
0001;013;PROCEDIMENTOS OBSTETRICOS;180.00;2;004;;EXAMES ESPECIALIZADOS;0
0001;014;PARTO;300.00;2;006;;PARTOS A TERMO;1
0001;015;QUARTO PRIVATIVO;180.00;2;010;;INTERNACAO QUARTO INDIVIDUAL;0
0001;016;CIRURGIA CARDIACA;180.00;2;007;;CIRURGIA CARDIACA;1
0001;017;CIR AMB EX/TERAP PL ANTIGO;180.00;2;004;;EXAMES ESPECIALIZADOS;0
0001;018;QUARTO COLETIVO;180.00;2;010;;INTERNACAO QUARTO INDIVIDUAL;0
0001;019;PROCEDIMENTOS DSO;1.00;2;009;;PROCED CARDIACOS/TERAP EXAMES;0
0001;020;OPME LEI 9656;180.00;2;008;;PROCEDIMENTOS LEI 9656/98;0
0001;021;RX PANORAMICO - 90 DIAS;90.00;2;002;;CONSULTAS E EXAMES SIMPLES;0
0001;022;URGENCIA E EMERGENCIA;24.00;1;001;;URGENCIA E EMERGENCIA;0
