BF8_CODINT;BF8_CODIGO;BF8_DESCM;BF8_CODPAD;BF8_SEGMEN;BF8_DIGITO;BF8_DESC;BF8_SEPARA;BF8_ESPTPD;BF8_TPPROC;BF8_TABCON;BF8_CODATI;BF8_DESATI;BF8_TABTIS
0001;001;TABELA PROPRIA DAS OPERADORAS;00;;;;;1;9;00;001;APOS 18H;00
0001;002;LISTA DE PROCEDIMENTOS MEDICOS AMB 90;01;;;;;1;0;01;001;APOS 18H;01
0001;003;LISTA DE PROCEDIMENTOS MEDICOS AMB 92;02;;;;;1;0;02;001;APOS 18H;02
0001;004;LISTA DE PROCEDIMENTOS MEDICOS AMB 96;03;;;;;1;0;03;001;APOS 18H;03                                                              
0001;005;LISTA DE PROCEDIMENTOS MEDICOS AMB 99;04;;;;;1;0;04;001;APOS 18H;04
0001;006;TABELA BRASINDICE;05;;;;;1;1;05;001;APOS 18H;05
0001;007;LISTA DE PROCEDIMENTOS CBHPM 01;06;;;;;1;0;06;001;APOS 18H;06
0001;008;LISTA DE PROCEDIMENTOS CBHPM 02;09;;;;;1;0;09;001;APOS 18H;09
0001;009;LISTA DE PROCEDIMENTOS CBHPM 03;15;;;;;1;0;15;001;APOS 18H;15
0001;010;LISTA DE PROCEDIMENTOS CBHPM 04;21;;;;;1;0;21;001;APOS 18H;21
0001;011;LISTA DE PROCEDIMENTOS CBHPM 05;23;;;;;1;0;23;001;APOS 18H;23
0001;012;LISTA DE PROCEDIMENTOS CBHPM 06;24;;;;;1;0;24;001;APOS 18H;24
0001;013;LISTA DE PROCEDIMENTOS CBHPM 07;25;;;;;1;0;25;001;APOS 18H;25
0001;014;TABELA CIEFAS-93;07;;;;;1;9;07;001;APOS 18H;07
0001;015;TABELA CIEFAS-2000;08;;;;;1;9;08;001;APOS 18H;08
0001;016;TABELA DE PROCEDIMENTOS AMBULATORIAIS SUS;10;;;;;1;0;10;001;APOS 18H;10
0001;017;TABELA DE PROCEDIMENTOS HOSPITALARES SUS;11;;;;;1;0;11;001;APOS 18H;11
0001;018;TABELA SIMPRO;12;;;;;1;1;12;001;APOS 18H;12
0001;019;TABELA TUNEP;13;;;;;1;9;13;001;APOS 18H;13
0001;020;TABELA VRPO;14;;;;;1;09;14;001;APOS 18H;14
0001;021;PROCEDIMENTOS MEDICOS;16;;;;;1;0;16;001;APOS 18H;16
0001;022;PROCEDIMENTOS ODONTOLOGICOS;17;;;;;1;0;17;001;APOS 18H;17
0001;023;DIARIAS, TAXAS E GASES MEDICINAIS;18;;;;;1;3;18;001;APOS 18H;18
0001;024;MATERIAIS E ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME);19;;;;;1;1;19;001;APOS 18H;19
0001;025;MEDICAMENTOS;20;;;;;1;2;20;001;APOS 18H;20
0001;026;PROCEDIMENTOS E EVENTOS EM SAUDE;22;;;;;1;0;22;001;APOS 18H;22
0001;027;TABELA PROPRIA MEDICINA OCUPACIONAL;88;;;;;1;9;88;001;APOS 18H;88
0001;028;TABELA PROPRIA ASSISTENCIA DOMICILIAR;89;;;;;1;9;89;001;APOS 18H;89
0001;029;TABELA PROPRIA PACOTE ODONTOLOGICO;90;;;;;1;9;90;001;APOS 18H;90
0001;030;TABELA PROVISORIA - OUTRAS AREAS DA SAUDE;91;;;;;1;9;91;001;APOS 18H;91
0001;031;TABELA PROVISORIA - PROCEDIMENTOS ODONTOLOGICOS;92;;;;;1;0;92;001;APOS 18H;92
0001;032;TABELA PROVISORIA PROCEDIMENTOS MEDICOS;93;;;;;1;0;93;001;APOS 18H;93
0001;033;TABELA PROPRIA PROCEDIMENTOS;94;;;;;1;0;94;001;APOS 18H;94
0001;034;TABELA PROPRIA MATERIAIS;95;;;;;1;1;95;001;APOS 18H;95
0001;035;TABELA PROPRIA MEDICAMENTOS;96;;;;;1;2;96;001;APOS 18H;96
0001;036;TABELA PROPRIA DE TAXAS HOSPITALARES;97;;;;;1;3;97;001;APOS 18H;97
0001;037;TABELA PROPRIA DE PACOTES;98;;;;;1;9;98;001;APOS 18H;98
0001;038;TABELA PROPRIA DE GASES MEDICINAIS;99;;;;;1;7;99;001;APOS 18H;99
