BI4_CODACO;BI4_DESCRI;BI4_CODPAD;BI4_CODPRO;BI4_CODEDI;BI4_FATMUL;BI4_REFIGH
02;QUARTO PRIVATIVO / PARTICULAR;;;B;2;
09;APARTAMENTO DE LUXO DA MATERNIDADE;;;B;2;
10;APARTAMENTO DE LUXO DE PSIQUIATRIA;;;B;2;
11;APARTAMENTO DE LUXO;;;B;2;
12;APARTAMENTO SIMPLES;;;B;2;
13;APARTAMENTO STANDARD;;;B;2;
14;APARTAMENTO SUÍTE;;;B;2;
15;APARTAMENTO COM ALOJAMENTO CONJUNTO;;;B;2;
16;APARTAMENTO PARA PACIENTE COM OBESIDADE MÓRBIDA;;;B;2;
17;APARTAMENTO SIMPLES DA MATERNIDADE;;;B;2;
18;APARTAMENTO SIMPLES DE PSIQUIATRIA;;;B;2;
19;APARTAMENTO SUÍTE DA MATERNIDADE;;;B;2;
20;APARTAMENTO SUÍTE DE PSIQUIATRIA;;;B;2;
21;BERÇÁRIO NORMAL;;;A;1;
22;BERÇÁRIO PATOLÓGICO / PREMATURO;;;A;2;
25;ENFERMARIA DE 3 LEITOS DA MATERNIDADE;;;A;1;
26;ENFERMARIA DE 4 OU MAIS LEITOS DA MATERNIDADE;;;A;1;
27;HOSPITAL DIA APARTAMENTO;;;B;2;
28;HOSPITAL DIA ENFERMARIA;;;A;1;
29;HOSPITAL DIA PSIQUIATRIA;;;A;2;
30;QUARTO COLETIVO DE 2 LEITOS DA MATERNIDADE;;;A;1;
31;ENFERMARIA DE 3 LEITOS;;;A;1;
32;ENFERMARIA DE 4 OU MAIS LEITOS;;;A;1;
33;ENFERMARIA COM ALOJAMENTO CONJUNTO;;;A;1;
36;QUARTO PRIVATIVO / PARTICULAR DA MATERNIDADE;;;B;2;
37;QUARTO PRIVATIVO / PARTICULAR DE PSIQUIATRIA;;;B;2;
38;SEMI UTI ADULTO GERAL;;;A;2;
39;SEMI UTI CORONARIANA;;;A;2;
40;SEMI UTI NEONATAL;;;A;2;
41;QUARTO COLETIVO DE 2 LEITOS;;;A;1;
43;QUARTO COM ALOJAMENTO CONJUNTO;;;A;1;
44;SEMI UTI NEUROLÓGICA;;;A;2;
45;SEMI UTI INFANTIL/PEDIÁTRICA;;;A;2;
46;SEMI UTI QUEIMADOS;;;A;2;
47;UNIDADE DE TRANSPLANTE DE MEDULA ÓSSEA;;;A;2;
48;UNIDADE DE TRANSPLANTE EM GERAL;;;A;2;
49;APARTAMENTO STANDARD DA MATERNIDADE;;;A;2;
50;APARTAMENTO STANDARD DE PSIQUIATRIA;;;A;2;
51;UTI ADULTO GERAL;;;A;2;
52;UTI INFANTIL/PEDIÁTRICA;;;A;2;
53;UTI NEONATAL;;;A;2;
56;UNIDADE PARA TRATAMENTO RADIOATIVO;;;A;2;
57;UTI CORONARIANA;;;A;2;
58;UTI NEUROLÓGICA;;;A;2;
59;UTI QUEIMADOS;;;A;2;
