BIG_CODORG;BIG_DESCRI
073;GERENTE DE OPERACOES
074;GERENTE DE PADROES
075;GERENTE DE PESSOAL
076;GERENTE DE PRODUCAO
077;GERENTE DE RECURSOS HUMANOS
078;GERENTE DE SAUDE E SEGURANCA
079;GERENTE DE UNIDADE
080;GERENTE DELEGADO
081;GERENTE EXECUTIVO
082;GERENTE FINANCEIRO
083;GERENTE GERAL
084;GERENTE JURIDICO
085;GERENTE OPERACIONAL
086;GERENTE OPERACIONAL DE PLANOS
087;GERENTE PROCURADOR
088;GERENTE RELACOES INDUSTRIAIS
089;GERENTE RESPONSAVEL TECNICO
090;GERENTE TECNICO
091;GERENTE TECNICO ADMINISTRATIVO
092;GESTOR
093;INTERVENTOR
094;INTERVENTOR MUNICIPAL
095;LIQUIDANTE
096;MEDICO
097;MEDICO AUDITOR
098;MEDICO RESPONSAVEL
099;MEDICO RESPONSAVEL CONTRATADO
100;MEMBRO CONSELHO CURADOR
101;MEMBRO DE CONSELHO
102;MEMBRO DO CONSELHO FISCAL
103;ODONTOLOGO
104;PRESIDENTE CONSELHO ADMINISTRA
105;PRESIDENTE CONSELHO CURADOR
106;PRESIDENTE CONSELHO DELIBERATI
107;PRESIDENTE CONSELHO GERAL
108;PRESIDENTE EXECUTIVO
109;PRESIDENTE GRUPO GESTOR
110;PRESIDENTE NACIONAL
111;PROCURADOR
112;PROPRIETARIO
113;PROVEDOR
114;REPRESENTANTE
115;REPRESENTANTE JUNTO A ANS
116;REPRESENTANTE LEGAL
117;REPRESENTANTE TECNICO
118;REPRESENTANTE TECNICO CONTRATA
119;RESPONSAVEL
120;RESPONSAVEL JUNTO A ANS
121;RESPONSAVEL LEGAL
122;SECRETARIO
123;SECRETARIO DE FINANCAS
124;SOCIO
125;SOCIO ADMINISTRADOR
126;SOCIO GERENTE
127;SUPERINTENDENTE
128;SUPERINTENDENTE ADMINISTRATIVO
129;SUPERINTENDENTE DE MEDICINA
130;SUPERINTENDENTE DE PLANOS
131;SUPERINTENDENTE DE RECURSOS HU
132;SUPERINTENDENTE EXECUTIVO
133;SUPERINTENDENTE GERAL
134;SUPERVISOR
135;SUPERVISOR DE RECURSOS HUMANOS
136;TECNICO DE SEGURANCA DO TRABAL
137;TECNICO EM CONTABILIDADE
138;TECNICO REPONSAVEL
139;VICE PRESIDENTE DE SAUDE
140;VICE PRESIDENTE EXECUTIVO
141;PRIMEIRO VICE PROVEDOR
142;PRIMEIRO TESOUREIRO
143;DIRETOR TESOUREIRO
144;DIRETOR SECRETARIO
145;DIRETOR TECNICO
146;SEGUNDO VICE PROVEDOR
001;PRESIDENTE
002;VICE PRESIDENTE
003;TESOUREIRO
004;ACIONISTA
005;ADMINISTRADOR
006;ADVOGADO
007;ANALISTA CONSULTOR
008;ANALISTA DE RECURSOS HUMANOS
009;ANALISTA DE SISTEMAS
010;ASSESSOR
011;ASSESSOR TECNICO
012;ASSISTENTE DE RECURSOS HUMANOS
013;ASSISTENTE DE SAUDE OCUPACIONA
014;ASSISTENTE SOCIAL
015;AUXILIAR DE ADMINISTRACAO
016;CHEFE DE RECURSOS HUMANOS
017;CHEFE DEPARTAMENTO MEDICO
018;CHEFE DEPARTAMENTO PESSOAL
019;CIRURGIAO DENTISTA
020;CONSELHEIRO
021;CONSELHEIRO FISCAL
022;CONTADOR
023;COORDENADOR
024;COORDENADOR ADMINISTRATIVO
026;COORDENADOR DE RECURSOS HUMANO
027;COORDENADOR GERAL
028;COORDENADOR MEDICO
029;COORDENADOR TECNICO
030;DELEGADO
031;DENTISTA
032;DIRETOR ADMINISTRATIVO
033;DIRETOR ADMINISTRATIVO COMERCI
034;DIRETOR ADMINISTRATIVO FINANCE
035;DIRETOR CLINICO
036;DIRETOR COMERCIAL
037;DIRETOR DE ASSISTENCIA
038;DIRETOR DE ASSISTENCIA E SAUDE
039;DIRETOR DE CONTROLADORIA
040;DIRETOR DE MERCADO
041;DIRETOR DE PATRIMONIO
042;DIRETOR DE RECURSOS HUMANOS
043;DIRETOR DE SAUDE E ATENDIMENTO
044;DIRETOR DE SEGURIDADE SOCIAL
045;DIRETOR DE SERVICOS MEDICOS
046;DIRETOR DE SERVICOS MEDICOS OD
047;DIRETOR DE SERVICOS ODONTOLOGI
048;DIRETOR EXECUTIVO
049;DIRETOR EXECUTIVO DE BENEFICIO
050;DIRETOR FINANCEIRO
051;DIRETOR GERAL
052;DIRETOR HOSPITALAR
053;DIRETOR INDUSTRIAL
054;DIRETOR LIQUIDANTE
055;DIRETOR MEDICO
056;DIRETOR OPERACIONAL
057;DIRETOR PRESIDENTE
058;DIRETOR SOCIO
059;DIRETOR SUPERINTENDENTE
060;GERENTE
061;GERENTE ADMINISTRATIVO
062;GERENTE ADMINISTRATIVO FINANCE
063;GERENTE COMERCIAL
064;GERENTE DA DIVISAO DE RECURSOS
066;GERENTE DE ASSISTENCIA
067;GERENTE DE ASSISTENCIA E SAUDE
068;GERENTE DE BENEFICIOS ASSISTEN
069;GERENTE DE CONTROLADORIA
070;GERENTE DE CONVENIOS
071;GERENTE DE DIVISAO
072;GERENTE DE MEDICINA OCUPACIONA
