BR4_CODPAD;BR4_DESCRI;BR4_SEGMEN;BR4_DIGITO;BR4_DESC;BR4_SEPARA;BR4_CODNIV;BR4_DIGVER
00;Tabela própria das operadoras;01;2;Tabela própria das operadoras;.;1;0
00;Tabela própria das operadoras;02;6;Tabela própria das operadoras;;2;0
18;Diárias, taxas e gases medicinais;01;2;Diárias, taxas e gases medicinais;.;1;0
18;Diárias, taxas e gases medicinais;02;6;Diárias, taxas e gases medicinais;;2;0
19;Materiais e Órteses, Próteses e Materiais Especiais (OPME);01;2;Materiais e Órteses, Próteses e Materiais Especiais (OPME);.;1;0
19;Materiais e Órteses, Próteses e Materiais Especiais (OPME);02;6;Materiais e Órteses, Próteses e Materiais Especiais (OPME); ;2;0
20;Medicamentos;01;2;Medicamentos;.;1;0
20;Medicamentos;02;6;Medicamentos; ;2;0
22;Procedimentos e eventos em saúde;01;1;CAPITULO ;.;1;0
22;Procedimentos e eventos em saúde;02;2;GRUPO;.;2;0
22;Procedimentos e eventos em saúde;03;2;SUBGRUPO;.;3;0
22;Procedimentos e eventos em saúde;04;2;ITEM;-;4;0
22;Procedimentos e eventos em saúde;05;1;DIGITO;;5;1
90;Tabela Própria Pacote Odontológico;01;2;Tabela Própria Pacote Odontológico;.;1;0
90;Tabela Própria Pacote Odontológico;02;6;Tabela Própria Pacote Odontológico;;2;0
98;Tabela Própria de Pacotes;01;2;Tabela Própria de Pacotes;.;1;0
98;Tabela Própria de Pacotes;02;6;Tabela Própria de Pacotes;;2;0
