BSP_CODSER;BSP_DESCRI;BSP_VLRSER;BSP_TIPSER;BSP_CONTA;BSP_CODLAN;BSP_CONTA1;BSP_COMISS;BSP_ATOCOO;BSP_INCIR;BSP_REGCIR;BSP_INCISS;BSP_REGCIS;BSP_INCCON;BSP_REGCCO;BSP_INCPIS;BSP_REGCPI;BSP_INCCSL;BSP_REGCCS;BSP_INCINS;BSP_REGCIN;BSP_REGCI1;BSP_TIPPE;BSP_COPCRE;BSP_CMPCUS
001;DESCONTO DE JUROS;0;2;45891911901;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
002;DESCONTO DE MENSALIDADE DECISAO JUDICIAL;0;2;12771901804;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
003;DESCONTO REF PROTECAO NO TRABALHO;0;2;332119112101;136;;;0;;;0;;;;;;;;;;;;; 
004;DESCONTO PROMOCIONAL;0;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
005;DESCONTO DE EXAMES PRESTADOR;0;2;;129;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
006;DESCONTO REF HONORARIO MEDICO/CONSULTA;0;2;;129;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
007;DESCONTO REFERENTE SOS;4;2;332119712401;136;;;;;;0;;;;;;;;;;;;; 
008;DESCONTO REFERENTE MULTA;0;2;45891911906;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
009;DESCONTO REFERENTE MENSALIDADE;0;2;;130;;2;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
010;DESCONTO CONCEDIDO;0;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
011;DESCONTO REFERENTE TAXA DE INSCRICAO;6;2;33111911201;136;;;;;;0;;;;;;;;;;;;; 
012;DESCONTO REF INDENIZACAO ACORDO JUDICIAL;0;2;442999111202;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
