BTJ_CODIGO;BTJ_DESCRI
01;AFASTAMENTO MEDICO POR DOENCA 
02;ALTA                          
03;ALTERACAO DE AGENDA           
04;ATRASO DO MEDICO              
05;ATRASO DO USUARIO             
06;BLOQUEIO DE HORARIO           
07;CONGRESSO                     
08;DESISTENCIA                   
09;DESMARCADO POR FALTA          
10;DOENCA                        
11;ERRO DE CONEXÄO               
12;FALTA DO MEDICO               
13;FERIADO                       
14;FERIAS DO MEDICO              
15;MEDICO NAO FECHOU O SISTEMA   
16;MUDANCA DE DIA  CLIEN/MED     
17;MUDANCA DE HOR.CLIEN/MED      
18;OUTRO MEDICO                  
19;PARTICULAR                    
20;PROBLEMAS COM SISTEMA         
21;SEM JUSTIFICATIVA             
22;VIAGEM 
