BVV_TISVER;BVV_TAG;BVV_CAMTAG;BVV_XSD
3.02.01;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_02_01.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_02_01.XSD|TISSCOMPLEXTYPESV3_02_01.XSD|TISSGUIASV3_02_01.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_02_01.XSD|TISSWEBSERVICESV3_02_01.XSD
2.02.03;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;TISSV2_02_03.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV2_02_03.XSD|TISSCOMPLEXTYPESV2_02_03.XSD|TISSGUIASV2_02_03.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV2_02_03.XSD|TISSWEBSERVICESV2_02_03.XSD
3.02.02;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_02_02.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_02_02.XSD|TISSCOMPLEXTYPESV3_02_02.XSD|TISSGUIASV3_02_02.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_02_02.XSD|TISSWEBSERVICESV3_02_02.XSD
3.03.01;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_03_01.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_03_01.XSD|TISSCOMPLEXTYPESV3_03_01.XSD|TISSGUIASV3_03_01.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_03_01.XSD|TISSWEBSERVICESV3_03_01.XSD
3.03.02;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_03_02.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_03_02.XSD|TISSCOMPLEXTYPESV3_03_02.XSD|TISSGUIASV3_03_02.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_03_02.XSD|TISSWEBSERVICESV3_03_02.XSD
3.03.03;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_03_03.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_03_03.XSD|TISSCOMPLEXTYPESV3_03_03.XSD|TISSGUIASV3_03_03.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_03_03.XSD|TISSWEBSERVICESV3_03_03.XSD
3.04.00;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_04_00.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_04_00.XSD|TISSCOMPLEXTYPESV3_04_00.XSD|TISSGUIASV3_04_00.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_04_00.XSD|TISSWEBSERVICESV3_04_00.XSD
3.04.01;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_04_01.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_04_01.XSD|TISSCOMPLEXTYPESV3_04_01.XSD|TISSGUIASV3_04_01.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_04_01.XSD|TISSWEBSERVICESV3_04_01.XSD
3.05.00;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV3_05_00.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV3_05_00.XSD|TISSCOMPLEXTYPESV3_05_00.XSD|TISSGUIASV3_05_00.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV3_05_00.XSD|TISSWEBSERVICESV3_05_00.XSD
4.00.01;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV4_00_01.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV4_00_01.XSD|TISSCOMPLEXTYPESV4_00_01.XSD|TISSGUIASV4_00_01.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV4_00_01.XSD|TISSWEBSERVICESV4_00_01.XSD
4.01.00;PADRAO;\MENSAGEMTISS\CABECALHO\;TISSV4_01_00.XSD|XMLDSIG-CORE-SCHEMA.XSD|TISSSIMPLETYPESV4_01_00.XSD|TISSCOMPLEXTYPESV4_01_00.XSD|TISSGUIASV4_01_00.XSD|TISSASSINATURADIGITAL_V1.01.XSD|TISSMONITORAMENTOV4_01_00.XSD|TISSWEBSERVICESV4_01_00.XSD
