BVY_TAG550;BVY_DESTAG
nrVerTra_PTU;NUMERO DA VERSAO DA TRANSACAO
cd_Uni_Destino;CODIGO DA UNIMED QUE IRA RECEBER O ARQUIVO
cd_Uni_Origem;CODIGO DA UNIMED QUE GEROU O ARQUIVO
dt_Geracao;DATA DE GERACAO DO ARQUIVO DE ENVIO
nr_Competencia;NUMERO DA COMPETENCIA NO FORMATO AAMM
tp_Cobranca;CLASSIFICACAO DA COBRANCA
tp_Documento;TIPO DO DOCUMENTO 
nr_Documento;NUMERO DO DOCUMENTO
dt_VencimentoDoc;DATA DE VENCIMENTO DO DOCUMENTO
dt_EmissaoDoc;DATA DE EMISSAO DO DOCUMENTO 
vl_TotalDoc ;VALOR TOTAL DO DOCUMENTO
doc_Fiscal;NUMERO DO DOCUMENTO FISCAL 
nr_NotaFiscalDoc;NUMERO DA NOTA FISCAL ELETRONICA DO DOCUMENTO
link_NFeDoc;LINK PARA NOTA FISCAL ELETRONICA DO DOCUMENTO
VL_IR;VALOR DO IR
cd_Unimed;CODIGO DA UNIMED 
id_Benef;CODIGO DE IDENTIFICACAO DO BENEFICIARIO COM O DIGITO VERIFICADOR
nm_Benef;NOME DO BENEFICIARIO
id_RN;INDICADOR DE ATENDIMENTO AO RECEM-NATO
tp_Paciente;TIPO DE PACIENTE
cd_Uni_Prest;CODIGO DA UNIMED DO PRESTADOR
cd_Prest;CODIGO DO PRESTADOR
nome;NOME DO CONTRATADO EXECUTANTE OU REQUISITANTE
cd_cpf;NUMERO DO CPF DO PRESTADOR, CONTRATADO EXECUTANTE OU REQUISITANTE
cd_cnpj;NUMERO DO CNPJ DO PRESTADOR, CONTRATADO EXECUTANTE OU REQUISITANTE
CNES;CODIGO NACIONAL DE ESTABELECIMENTO DE SAUDE DO LOCAL DO ATENDIMENTO
cd_MunicipioCont;CODIGO DO MUNICIPIO (COD IBGE) DO LOCAL DO ATENDIMENTO
tp_RedeMin;TIPO DE REDE CONFORME MANUAL DO INTERCAMBIO NACIONAL 
tp_Prestador;TIPO DE PRESTADOR
id_RecProprio;IDENTIFICA SE PRESTADOR E PROPRIO OU CONTRATADO
sg_Conselho;SIGLA DO CONSELHO PROFISSIONAL DO PRESTADOR DO SERVICO OU REQUISITANTE
nr_Conselho;NUMERO DO CONSELHO PROFISSIONAL DO PRESTADOR DO SERVICO OU REQUISITANTE
UF;SIGLA DA UNIDADE FEDERATIVA DO CONSELHO PROFISSIONAL DO PRESTADOR DO SERVICO OU REQUISITANTE
CBO;CLASSIFICACAO BRASILEIRA DE OCUPACOES DO PROFISSIONAL EXECUTANTE OU REQUISITANTE
nr_Ver_TISS;NUMERO DE VERSAO DA TISS QUE O PRESTADOR ENVIOU A COBRANCA
tp_Consulta;TIPO DE CONSULTA
nr_LotePrestador;NUMERO DO LOTE DO PRESTADOR
dt_Protocolo;DATA DO PROTOCOLO DO PRESTADOR
dt_Conhecimento;DATA DE CONHECIMENTO DO AVISO
nr_GuiaTissPrestador;NUMERO DA GUIA TISS DO PRESTADOR
nr_GuiaTissOperadora; NUMERO DA GUIA TISS ATRIBUIDO PELA OPERADORA
tp_IndAcidente;TIPO DE INDICADOR DE ACIDENTE
coberturaEspecial;COBERTURA ESPECIAL
regimeAtendimento;REGIME DE ATENDIMENTO
saudeOcupacional;SAUDE OCUPACIONAL
dt_Atendimento;DATA DE ATENDIMENTO
id_Liminar;INDICADOR COBRANCA DE ATENDIMENTO REALIZADO A PARTIR DE UMA DEMANDA JUDICIAL
id_Continuado;INDICADOR DE ATENDIMENTO DE BENEFICIARIO ENCAMINHADO NO COMPARTILHAMENTO DE RISCO
id_Avisado;INDICADOR DE AVISO
cd_Excecao;CODIGO DA EXCECAO AO ATENDIMENTO
id_GlosaTotal;IDENTIFICADOR DE GLOSA TOTAL
dt_Solicitacao;DATA DE SOLICITACAO
nr_Autorizacao;NUMERO DA AUTORIZACAO
cd_UniAutorizadora;CODIGO DA UNIMED AUTORIZADORA
dt_Autorizacao;DATA DA AUTORIZACAO
tp_Autorizacao;TIPO DE AUTORIZACAO
tp_RegCPL;INDICADOR DE TIPO DE REGISTRO
nm_DescComplemento;DESCRICAO DO COMPLEMENTO DA GUIA
seq_item;SEQUENCIAL DO ITEM
id_itemUnico;IDENTIFICADOR DE ITEM UNICO
id_AvisadoItem;INDICADOR DE AVISO POR ITEM SE O ITEM FOI ENVIADO NO AVISO
tp_Tabela;IDENTIFICA O TIPO DE TABELA UTILIZADO NO SERVICO MEDICO
cd_Servico;CODIGO DO SERVICO
ds_Servico;DESCRICAO DO SERVICO
vl_ServCobrado;VALOR DO SERVICO COBRADO/A COBRAR
tx_AdmServico;TAXA DE ADMINISTRACAO SOBRE O SERVICO
cd_Ato;CODIGO DO ATO PRESTADOR
nr_DOC1Glosado;NUMERO DO DOCUMENTO 1 GLOSADO NO AJIUS
nr_DOC2Glosado;NUMERO DO DOCUMENTO 2 GLOSADO NO AJIUS
nr_Lote;NUMERO DO LOTE GLOSADO NO AJIUS - TXT
nr_Nota;NUMERO DA NOTA GLOSADA NO AJIUS - TXT
nm_Profissional;NOME DO PROFISSIONAL REQUISITANTE
tp_Atendimento;TIPO DE ATENDIMENTO
caraterAtendimento;TIPO DE CARATER DO ATENDIMENTO
mv_Encerramento;MOTIVO DE ENCERRAMENTO 
dt_UltimaAutorizacao;DATA DA ULTIMA AUTORIZACAO
id_GuiaPrincipal;INDICADOR DE GUIA PRINCIPAL
dt_Execucao;DATA DE EXECUCAO DO SERVICO
hr_Inicial;HORA QUE FOI INICIADO O SERVICO
hr_Final;HORA QUE FOI FINALIADO O SERVICO
qt_Cobrada;QUANTIDADE DE UM SERVICO COBRADA/A COBRAR
via_Acesso;CODIGO DA VIA DE ACESSO NA CIRURGIA
tc_Utilizada;TECNICA UTILIZADA PARA REALIZACAO DO PROCEDIMENTO
id_Acrescimo;IDENTIFICADOR DE ACRESCIMO DE URGENCIA/EMERGENCIA
vl_FilmeCobrado;VALOR DO FILME COBRADO/A COBRAR NA GUIA
vl_CO_Cobrado;VALOR DO CO NO PROCEDIMENTO COBRADO/A COBRAR NA GUIA
tx_AdmFilme;TAXA DE ADMINISTRACAO VALOR DO ADICIONAL DO FILME
tx_AdmCO;TAXA DE ADMINISTRACAO DO CO (COLUNA DA TAB AMB)
un_Medida;CODIGO DA UNIDADE DE MEDIDA
ft_MultiplicadorServico;FATOR MULTIPLICADOR DA QUANTIDADE DE SERVICOS
id_Pacote;IDENTIFICA SE O SERVICO FAZ PARTE DE UM PACOTE
cd_Pacote;CODIGO DO PACOTE 
cd_PorteAnestesico;CODIGO PORTE ANESTESICO 
nr_RegistroAnvisa;NUMERO DE REGISTRO DO MATERIAL NA ANVISA
tp_Participacao;TIPO DE PARTICIPACAO
tp_Acomodacao;TIPO DE ACOMODACAO
ft_Multiplicador_AMB;FATOR MULTIPLICADOR DA QUANTIDADE DA AMB
tp_Internacao;TIPO DE INTERNACAO
rg_Internacao;REGIME DE INTERNACAO
tp_Faturamento;TIPO DE FATURAMENTO DA CONTA HOSPITALAR
dt_IniFaturamento;DATA INICIO DE FATURAMENTO
dt_FimFaturamento;DATA FIM DE FATURAMENTO 
declaracao_Nascido;NUMERO DA DECLARACAO DE NASCIMENTO
CID_Obito;NUMERO DO CODIGO INTERNACIONAL DA DOENCA - OBITO
declaracao_Obito;NUMERO DA DECLARACAO DE OBITO
indicadorDO_RN;INDICADOR DE OBITO DO RN
CID;NUMERO DO CODIGO INTERNACIONAL DA DOENCA 
nm_MedicoAuditor;NOME DO MEDICO QUE AUDITOU A CONTA HOSPITALAR NA EXECUTORA
nr_CrmAuditor;NUMERO DO CRM DO MEDICO QUE AUDITOU A CONTA HOSPITALAR NA EXECUTORA
cd_UFCRM;CODIGO DA UNIDADE FEDERATIVA DO CRM DO MEDICO AUDITOR DA CONTA HOSPITALAR
nm_EnfAuditor;NOME DO ENFERMEIRO QUE AUDITOU A CONTA HOSPITALAR NA EXECUTORA
nr_CorenAuditor;NUMERO DO COREN DO ENFERMEIRO QUE AUDITOU A CONTA HOSPITALAR
cd_UFCoren;CODIGO DA UNIDADE FEDERATIVA DO COREN DO ENFERMEIRO QUE AUDITOU A CONTA HOSPITALAR
nr_GuiaTissPrincipal;NUMERO DA GUIA TISS PRINCIPAL
cd_uniHospitalar;CODIGO DA UNIMED DO HOSPITAL
cd_Hospitalar;CODIGO DO HOSPITAL
CNPJHospital;CNPJ DO HOSPITAL 
