BW4_CODOPE;BW4_CODTAB;BW4_PORTE;BW4_VLRREA;BW4_VIGINI;BW4_VIGFIN
0001;001;1A;13.59;;
0001;001;1B;27.18;;
0001;001;1C;40.78;;
0001;001;2A;54.38;;
0001;001;2B;71.68;;
0001;001;2C;84.83;;
0001;001;3A;115.91;;
0001;001;3B;148.11;;
0001;001;3C;169.65;;
0001;001;4A;201.91;;
0001;001;4B;221.03;;
0001;001;4C;249.70;;
0001;001;5A;268.81;;
0001;001;5B;290.32;;
0001;001;5C;308.23;;
0001;001;6A;335.72;;
0001;001;6B;369.18;;
0001;001;6C;403.82;;
0001;001;7A;436.08;;
0001;001;7B;482.67;;
0001;001;7C;571.07;;
0001;001;8A;616.48;;
0001;001;8B;646.35;;
0001;001;8C;685.77;;
0001;001;9A;728.79;;
0001;001;9B;796.89;;
0001;001;9C;878.11;;
0001;001;10A;942.64;;
0001;001;10B;1.021.49;;
0001;001;10C;1.133.79;;
0001;001;11A;1.199.51;;
0001;001;11B;1.315.40;;
0001;001;11C;1.443.24;;
0001;001;12A;1.495.80;;
0001;001;12B;1.608.11;;
0001;001;12C;1.970.10;;
0001;001;13A;2.168.43;;
0001;001;13B;2.378.70;;
0001;001;13C;2.630.79;;
0001;001;14A;2.931.86;;
0001;001;14B;3.189.93;;
0001;001;14C;3.518.47;;
0001;002;1A;13.59;;
0001;002;1B;27.18;;
0001;002;1C;40.78;;
0001;002;2A;54.38;;
0001;002;2B;71.68;;
0001;002;2C;84.83;;
0001;002;3A;115.91;;
0001;002;3B;148.11;;
0001;002;3C;169.65;;
0001;002;4A;201.91;;
0001;002;4B;221.03;;
0001;002;4C;249.70;;
0001;002;5A;268.81;;
0001;002;5B;290.32;;
0001;002;5C;308.23;;
0001;002;6A;335.72;;
0001;002;6B;369.18;;
0001;002;6C;403.82;;
0001;002;7A;436.08;;
0001;002;7B;482.67;;
0001;002;7C;571.07;;
0001;002;8A;616.48;;
0001;002;8B;646.35;;
0001;002;8C;685.77;;
0001;002;9A;728.79;;
0001;002;9B;796.89;;
0001;002;9C;878.11;;
0001;002;10A;942.64;;
0001;002;10B;1.021.49;;
0001;002;10C;1.133.79;;
0001;002;11A;1.199.51;;
0001;002;11B;1.315.40;;
0001;002;11C;1.443.24;;
0001;002;12A;1.495.80;;
0001;002;12B;1.608.11;;
0001;002;12C;1.970.10;;
0001;002;13A;2.168.43;;
0001;002;13B;2.378.70;;
0001;002;13C;2.630.79;;
0001;002;14A;2.931.86;;
0001;002;14B;3.189.93;;
0001;002;14C;3.518.47;;
