DE1_FILIAL,C,2,0;DE1_CODLAY,C,6,0;DE1_CODREG,C,6,0;DE1_SEQUEN,C,3,0;DE1_TIPO,C,1,0;DE1_ALIAS,C,3,0;DE1_CAMPO,C,10,0;DE1_LAYTAM,N,3,0;DE1_LAYDEC,N,2,0;DE1_POSINI,C,3,0;DE1_POSFIM,C,3,0;DE1_OBSERV,C,80,0;DE1_REGRA,C,254,0;DE1_VALID,C,128,0;DE1_POSICI,C,1,0;DE1_POSORD,C,1,0;DE1_POSCHV,C,160,0
;000001;R101;001;1;BCA;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R101');;2;;
;000001;R101;002;1;BCA;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'101';;2;;
;000001;R101;003;1;BCA;CD_UNI_DES;4;;001;001;CODIGO DA UNIMED DESTINO;CCODORI;;2;;
;000001;R101;004;1;BCA;CD_UNI_ORI;4;;001;001;CODIGO DA UNIMED ORIGEM;CCODDES;;2;;
;000001;R101;005;1;BCA;DT_GERACAO;8;;002;002;DATA DA GERACAO DO ARQUIVO;DTOS(DDATGER);;2;;
;000001;R101;006;1;BCA;TP_MOV;1;;002;002;TIPO DA MOVIMENTACAO DE CADASTRO EM ARQUIVOS DE TRANSFERENCIA (VIDE TABELA);CTIPENV;;2;;
;000001;R101;007;1;BCA;DT_MOV_INI;8;;002;003;DATA DO INICIO DO PERIODO DA MOVIMENTACAO DE CADASTRO;DTOS(DDATINI);;2;;
;000001;R101;008;1;BCA;DT_MOV_FIM;8;;003;004;DATA DO FIM DO PERIODO DA MOVIMENTACAO DO CADASTRO;DTOS(DDATFIN);;2;;
;000001;R101;009;1;BCA;NR_VER_TRA;2;;004;004;NUMERO DA VERSAO DA TRANSACAO;'04';;2;;
;000001;R102;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R102');;2;;
;000001;R102;002;1;;TP_REG;3;;000;001;TIPO DO REGISTRO PARA ARQUIVOS DE TROCA DE INFORMACOES BATCH;'102';;2;;
;000001;R102;003;1;;CD_EMPR;4;;001;001;CODIGO DA EMPRESA DO BENEFICIARIO;BQC->BQC_CODEMP;;2;;
;000001;R102;004;1;;CD_FILIAL;3;;001;001;CODIGO DA FILIAL DA EMPRESA;;;2;;
;000001;R102;005;1;;NM_EMPR_CO;40;;001;005;NOME COMPLETO DA EMPRESA (RAZAO SOCIAL);POSICIONE('BG9',1,XFILIAL('BG9')+BQC->BQC_CODINT+BQC->BQC_CODEMP,'BG9_DESCRI');;2;;
;000001;R102;006;1;;NM_EMPR_AB;18;;005;007;NOME DA EMPRESA ABREVIADO;BG9->BG9_DESCRI;;2;;
;000001;R102;007;1;;TP_PESSOA_;1;;007;007;TIPO DE PESSOA CONTRATANTE (1=FISICA 2=JURIDICA);PLSUA500EMP();;2;;
;000001;R102;008;1;;CD_CGC_CPF;15;;007;009;CODIGO DO CGC OU CPF, CONFORME O TIPO DA PESSOA CONTRATANTE;SA1->A1_CGC;;2;;
;000001;R102;009;1;;CD_INSC_ES;20;;009;011;CODIGO DA INSCRICAO ESTADUAL;SA1->A1_INSCR;;2;;
;000001;R102;010;1;;DS_END_PRI;40;;011;015;DESCRICAO DO ENDERECO PRINCIPAL;SA1->A1_END;;2;;
;000001;R102;011;1;;DS_END_CPL;20;;015;017;DESCRICAO DO ENDERECO COMPLEMENTAR;'';;2;;
;000001;R102;012;1;;DS_BAIRRO;30;;017;020;DESCRICAO DO BAIRRO;SA1->A1_BAIRRO;;2;;
;000001;R102;013;1;;NR_CEP;8;;020;021;NUMERO DO CEP;SA1->A1_CEP;;2;;
;000001;R102;014;1;;DS_CIDADE;30;;021;024;DESCRICAO DA CIDADE;SA1->A1_MUN;;2;;
;000001;R102;015;1;;CD_UF;2;;024;024;CODIGO DA UNIDADE FEDERATIVA (ESTADO DA CIDADE);SA1->A1_ESTADO;;2;;
;000001;R102;016;1;;NR_DDD;4;;024;024;NUMERO DO DDD DO TELEFONE;SA1->A1_DDD;;2;;
;000001;R102;017;1;;NR_FONE;8;;024;025;NUMERO DO TELEFONE;SA1->A1_TEL;;2;;
;000001;R102;018;1;;NR_FAX;8;;025;026;NUMERO DO FAX;SA1->A1_FAX;;2;;
;000001;R102;019;1;;DT_INCL_UN;8;;026;027;DATA DE INCLUSAO NA UNIMED;DTOS(BQC->BQC_DATCON);;2;;
;000001;R102;020;1;;DT_EXCL_UN;8;;027;027;DATA DE EXCLUSAO UNIMED;DTOS(BQC->BQC_DATBLO);;2;;
;000001;R102;021;1;;CD_EMPR_OR;10;;027;028;COD.EMP. NA ORIGEM PARA UNIMEDS QUE UTILIZAM CODIFICACAO COM MAIS DE 4 DIGITOS;BQC->BQC_CODEMP+BQC->BQC_NUMCON;;2;;
;000001;R103;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R103');;2;;
;000001;R103;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'103';;2;;
;000001;R103;003;1;;CD_PLANO_O;6;;001;001;CODIGO DO PLANO ORIGEM DO BENEFICIARIO;BA3->BA3_CODPLA+BA3->BA3_VERSAO;;2;;
;000001;R103;004;1;;DS_PLANO_O;40;;001;005;DESCRICAO DO PLANO DA UNIMED ORIGEM DO BENEFICIARIO;POSICIONE('BI3',1,XFILIAL('BI3')+BA3->BA3_CODINT+BA3->BA3_CODPLA+BA3->BA3_VERSAO,'BI3_DESCRI');;2;;
;000001;R103;005;1;;CD_PLANO_I;2;;005;005;CODIGO DO PLANO DE INTERCAMBIO DO BENEFICIARIO;BI3->BI3_CODPTU;;2;;
;000001;R103;006;1;;DT_INCL_UN;8;;006;006;DATA DE INCLUSAO DA UNIMED;DTOS(BI3->BI3_DATINC);;2;;
;000001;R103;007;1;;DT_EXCL_UN;8;;006;007;DATA DE EXCLUSAO UNIMED;DTOS(BI3->BI3_DATBLO);;2;;
