DE9_FILIAL,C,2,0;DE9_CODLAY,C,6,0;DE9_DSCLAY,C,60,0;DE9_TIPLAY,C,1,0;DE9_TIPENV,C,1,0;DE9_VERLAY,C,40,0
;000001;MOVIMENTACAO CADASTRAL DO BENEFICIARIO;1;5;2.6
;800000;P.O.S.;2;0;1.0
;800001;P.O.S. BOTUCATU;1;0;1
;800002;P.O.S. CADS MODELO 2;1;0;1
;A300;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;3.4
;A400;Movimentacao Cadastral de Prestadores;1;0;3.2
;A600;Faturas para Camara de Compensacao;1;0;4.1
;000002;MOVIMENTO OPERACIONAL ASU, ASFEL, APAS.;1;0;1.0
;000003;MOVIMENTO OPERACIONAL CESP - DSI;1;0;1.0
;000004;MOVIMENTO OPERACIONAL CESP - DSC;1;0;1.0
;000005;MOVIMENTO OPERACIONAL CESP - DSP;1;0;1.0
;000006;MOVIMENTO OPERACIONAL ABRAMGE;1;0;1.0
;000007;MOVIMENTO OPERACIONAL PAMS;1;0;1.0
;000008;LAY OUT PROFSYST;1;0;1.0
;000009;CONSULTAS POR EMPRESA;1;0;1.0
;000010;IDENTIFICACAO DO USUARIO;1;0;01
;000011;MOVIMENTO OPERACIONAL USINA SAO MANUEL;1;0;1.0
;A60000;Envia dados especificos de prestadores que tiverem o RQE cad;1;0;3.0
;800003;P.O.S. UNINTEL - COM ESPECIALIDADE;1;0;1.0
;000300;LIVROS MEDICOS;1;0;1.0
;A500;Notas de Fatura em Intercambio;1;0;3.0
;RPC;RPC - Comunicada de Reajuste de Planos Coletivos;1;0;VERSAO 3.0.1
;900000;AUTORIZACAO DE CONSULTA E EXAMES VERSAO 3.5 PTU-ONLINE;2;0;3.5
;A500A;Notas de Fatura em Intercambio;1;0;3.2
;A700;Servicos Prestados em Pre-Pagamento;1;0;3.4
;A800;Faturamento Intercambio de Pre-Pagamento;1;0;3.2
;A500B;Notas de Fatura em Intercambio;1;0;3.3
;A500C;Notas de Fatura em Intercambio;1;0;3.4
;A100;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;4.1
;A200;Retorno de Movimentacao Cadastral de Beneficiário;1;0;3.5
;A300A;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;3.6
;A400A;Movimentacao Cadastral de Prestadores;1;0;3.8
;A500D;Notas de Fatura em Intercambio;1;0;3.8
;A700D;Servicos Prestados em Pre-Pagamento;1;0;3.8
;A800A;Faturamento Intercambio de Pre-Pagamento;1;0;4.0
;SIB;LAYOUT SIB DE MOVIMENTACAO DE BENEFICIARIOS;1;0;3.0
;A500E;Notas de Fatura em Intercambio;1;0;4.1A
;A700E;Servicos Prestados em Pre-Pagamento;1;0;4.1
;A300B;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;4.1
;A450;Complemento de dados - Guia Medico;1;0;4.1
;A900;TABELA NACIONAL DE MATERIAIS E MEDICAMENTOS;1;0;6.3
;A400B;Movimentacao Cadastral de Prestadores;1;0;4.1
;A550;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;4.0
;A560;CARGA PARA NOTA DE DEBITO;1;5;4.1A
;900040;Autorizacao De Consulta e Exames Versao 4.0 Ptu-Online;1;0;4.0
;A550A;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;4.1A
;A400C;Movimentacao Cadastral de Prestadores;1;0;5.0
;A550B;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;4.1B
;A560A;CARGA PARA NOTA DE DEBITO;1;5;4.1B
;A500F;Notas de Fatura em Intercambio;1;0;5.0
;A550C;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;5.0
;A560B;CARGA PARA NOTA DE DEBITO;1;5;5.0
;A300C;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;5.0
;A300D;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;6.0
;A400D;Movimentacao Cadastral de Prestadores;1;0;6.0
;A500G;Notas de Fatura em Intercambio;1;0;5.0a
;A550D;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;5.0a
;A560C;CARGA PARA NOTA DE DEBITO;1;5;5.0a
;A500H;Notas de Fatura em Intercambio;1;0;6.0
;A550E;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;6.0
;A560D;CARGA PARA NOTA DE DEBITO;1;5;6.0
;A100B;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;6.0
;A500I;Notas de Fatura em Intercambio;1;0;6.1
;A100C;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;6.2
;A400E;Movimentacao Cadastral de Prestadores;1;0;6.2
;A1300;Cadastro Nacional de Usuarios;1;0;6.3
;900050;Autorizacao De Consulta e Exames Versao 5.0 Ptu-Online;1;0;5.0
;A1300A;Cadastro Nacional de Usuarios;1;0;6.3
;A450A;Complemento de dados - Guia Medico;1;0;6.3
;A400F;Movimentacao Cadastral de Prestadores;1;0;6.3
;A500J;Notas de Fatura em Intercambio;1;0;6.3
;A550F;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;6.3
;A900A;TABELA NACIONAL DE MATERIAIS E MEDICAMENTOS;1;0;7.0
;A1200;Pacotes e Tabelas Contratualizadas;1;0;7.0
;A500K;Notas de Fatura em Intercambio;1;0;7.0
;A550G;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;7.0
;A560E;CARGA PARA NOTA DE DEBITO;1;5;8.0
;A400G;Movimentacao Cadastral de Prestadores;1;0;7.0
;A450B;Complemento de dados - Guia Medico;1;0;8.0
;A1300B;Cadastro Nacional de Usuarios;1;0;8.0
;A100D;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;8.0
;A200A;Retorno de Movimentacao Cadastral de Beneficiario;1;0;8.0
;A300E;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;8.0
;A1100;Lista de transacoes respondidas pelo WSD;1;0;8.0
;A550H;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;8.0
;A500L;Notas de Fatura em Intercambio;1;0;8.0
;A400H;Movimentacao Cadastral de Prestadores;1;0;8.0
;A700F;Servicos Prestados em Pre-Pagamento;1;0;8.0
;A800B;Faturamento Intercambio de Pre-Pagamento;1;0;8.0
;A1200A;Pacotes e Tabelas Contratualizadas;1;0;8.0
;A400I;Movimentacao Cadastral de Prestadores;1;0;8.1
;A100E;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;9.0
;A200B;Retorno de Movimentacao Cadastral de Beneficiario;1;0;9.0
;A300F;Movimentacao Cadastral de Beneficiarios - Produtos;1;0;9.0
;A500M;Notas de Fatura em Intercambio;1;0;9.0
;A550I;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;9.0
;A700G;Servicos Prestados em Pre-Pagamento;1;0;9.0
;A900B;TABELA NACIONAL DE MATERIAIS E MEDICAMENTOS;1;0;9.0
;A1200B;Pacotes e Tabelas Contratualizadas;1;0;9.0
;A1300C;Cadastro Nacional de Usuarios;1;0;9.0
;A500N;Notas de Fatura em Intercambio;1;0;9.1
;A550J;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;9.1
;A100F;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;10.0
;A200C;Retorno de Movimentacao Cadastral de Beneficiario;1;0;10.0
;A500O;Notas de Fatura em Intercambio;1;0;10.0
;A1300D;Cadastro Nacional de Usuarios;1;0;10.0
;A400J;Movimentacao Cadastral de Prestadores;1;0;10.0
;A450C;Complemento de dados - Guia Medico;1;0;10.0
;A500P;Notas de Fatura em Intercambio;1;0;10.0A
;A900C;TABELA NACIONAL DE MATERIAIS E MEDICAMENTOS;1;0;10.0A
;A1300E;Cadastro Nacional de Usuarios;1;0;11.0
;A100G;Movimentacao Cadastral de Beneficiarios - Interc. Importacao;1;0;18.0
;A400K;Movimentacao Cadastral de Prestadores;1;0;11.0
;A500Q;Notas de Fatura em Intercambio;1;0;11.0
;A550K;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;11.0
;A500R;Notas de Fatura em Intercambio;1;0;11.0A
;A400L;Movimentacao Cadastral de Prestadores;1;0;11.1
;A1200C;Pacotes e Tabelas Contratualizadas;1;0;11.1
;A500S;Notas de Fatura em Intercambio;1;0;11.3
;A550L;QUESTIONAMENTOS DA CAMARA DE CONTESTACAO - AJIUS;1;5;11.3
;A1200D;Pacotes e Tabelas Contratualizadas;1;0;12.0
;A400M;Movimentacao Cadastral de Prestadores;1;0;14.1
;A1200E;Pacotes e Tabelas Contratualizadas;1;0;16.0
;A400N;Movimentacao Cadastral de Prestadores;1;0;16.1
;A400O;Movimentacao Cadastral de Prestadores;1;0;16.2
;A400P;Movimentacao Cadastral de Prestadores;1;0;16.5
