  |Tipo de Tarefa                                         
  |001   |Reabastecimento                                        
  |002   |Apanha de Produtos                                     
  |003   |Conferencia                                            
  |004   |Carregar Veiculos                                      
  |005   |Chegada Veiculos - Portaria                            
  |006   |Descarga                                               
  |007   |Montar Palete                                          
  |008   |Emitir Etiquetas (Enderecamento)                       
  |009   |Enderecamento                                          
  |010   |Armazenagem                                            
  |011   |Devolver Mercadorias                                   
  |012   |ENTREGAR                                               
  |013   |NEGOCIACAO COMERCIAL                                   
