B7A_TIPGUI;B7A_TISVER;B7A_SEQUEN;B7A_ALIPAI;B7A_ALIAS;B7A_INDICE;B7A_TIPO;B7A_DADPES;B7A_CONDIC
01;4.01.00;0,00;;BEA;1;0;XFILIAL('BEA')+BEA->(BEA_OPEMOV+BEA_ANOAUT+BEA_MESAUT+BEA_NUMAUT+DTOS(BEA_DATPRO)+BEA_HORPRO);
01;4.01.00;0,00;BA1;BTS;1;0;XFILIAL('BTS')+(BA1->BA1_MATVID);
01;4.01.00;0,00;BA1;BA3;1;0;XFILIAL('BA3')+BA1->(BA1_CODINT+BA1_CODEMP+BA1_MATRIC);
01;4.01.00;0,00;BA3;BI3;1;0;XFILIAL('BI3')+BA3->(BA3_CODINT+BA3_CODPLA+BA3_VERSAO);
01;4.01.00;0,00;BAU;BB8;1;0;XFILIAL('BB8')+BAU->BAU_CODIGO+BEA->(BEA_OPEMOV+BEA_CODLOC);
01;4.01.00;0,00;BAU;BB0;1;0;XFILIAL('BB0')+BAU->BAU_CODBB0;EMPTY(BEA->BEA_REGEXE)  .and. !EMPTY(BAU->BAU_CODBB0)
01;4.01.00;0,00;BD5;BE2;1;0;XFILIAL('BE2')+BEA->(BEA_OPEMOV+BEA_ANOAUT+BEA_MESAUT+BEA_NUMAUT );
01;4.01.00;0,00;BD6;BR8;1;0;XFILIAL('BR8')+BD6->(BD6_CODPAD+BD6_CODPRO);
01;4.01.00;0,00;BE2;BD6;1;0;XFILIAL('BD6')+BD5->(BD5_CODOPE+BD5_CODLDP+BD5_CODPEG+BD5_NUMERO+BD5_ORIMOV)+BE2->(BE2_SEQUEN+BE2_CODPAD+BE2_CODPRO);
01;4.01.00;0,00;BEA;BA0;1;0;XFILIAL('BA0')+BEA->(BEA_OPEUSR);
01;4.01.00;0,00;BEA;BA1;2;0;XFILIAL('BA1')+BEA->(BEA_OPEUSR+BEA_CODEMP+BEA_MATRIC+BEA_TIPREG);
01;4.01.00;0,00;BEA;BAU;1;0;XFILIAL('BAU')+BEA->BEA_CODRDA;
01;4.01.00;0,00;BEA;BB0;4;0;XFILIAL('BB0')+BEA->(BEA_ESTEXE+BEA_REGEXE+BEA_SIGEXE);! EMPTY(BEA->BEA_REGEXE)
01;4.01.00;0,00;BEA;BAQ;1;0;XFILIAL('BAQ')+BEA->(BEA_OPEMOV+BEA_CODESP);
01;4.01.00;0,00;BEA;BD5;1;0;XFILIAL('BD5')+BEA->(BEA_OPEMOV+BEA_CODLDP+BEA_CODPEG+BEA_NUMGUI);
01;4.01.00;0,00;BR8;BR4;1;0;XFILIAL('BR4')+BR8->BR8_CODPAD;
02;4.01.00;0,00;;BEA;1;0;XFILIAL('BEA')+BEA->(BEA_OPEMOV+BEA_ANOAUT+BEA_MESAUT+BEA_NUMAUT+DTOS(BEA_DATPRO)+BEA_HORPRO);
02;4.01.00;0,00;BA1;BTS;1;0;XFILIAL('BTS')+(BA1->BA1_MATVID);
02;4.01.00;0,00;BA1;BI3;1;0;XFILIAL('BI3')+BA1->(BA1_CODINT+BA1_CODPLA+BA1_VERSAO);!EMPTY(BA1->BA1_CODPLA) 
02;4.01.00;0,00;BA3;BA3;1;0;XFILIAL('BA3')+BA1->(BA1_CODINT+BA1_CODEMP+BA1_MATRIC);
02;4.01.00;0,00;BA3;BI3;1;0;XFILIAL('BI3')+BA3->(BA3_CODINT+BA3_CODPLA+BA3_VERSAO);!EMPTY(BA1->BA3_CODPLA) 
02;4.01.00;0,00;BAU;BB8;1;0;XFILIAL('BB8')+BAU->BAU_CODIGO+BEA->(BEA_OPEMOV+BEA_CODLOC);
02;4.01.00;0,00;BD5;BD6;1;1;XFILIAL('BD6')+BD5->(BD5_CODOPE+BD5_CODLDP+BD5_CODPEG+BD5_NUMERO+BD5_ORIMOV);
02;4.01.00;0,00;BD6;BAQ;1;1;XFILIAL('BAQ')+BD6->(BD6_OPEEXE+BD6_CODESP);
02;4.01.00;0,00;BD6;BB0;4;1;XFILIAL('BB0')+BD6->(BD6_ESTEXE+BD6_REGEXE+BD6_SIGEXE);!EMPTY(BD6->BD6_ESTEXE) .AND. !EMPTY(BD6->BD6_REGEXE) .AND. !EMPTY(BD6->BD6_SIGEXE)
02;4.01.00;0,00;BE2;BR8;1;1;XFILIAL('BR8')+BE2->(BE2_CODPAD+BE2_CODPRO);
02;4.01.00;0,00;BD6;BD7;1;1;XFILIAL('BD7')+BD6->(BD6_CODOPE+BD6_CODLDP+BD6_CODPEG+BD6_NUMERO+BD6_ORIMOV+BD6_SEQUEN);
02;4.01.00;0,00;BD7;BWT;1;1;XFILIAL('BWT')+BD7->(BD7_CODOPE+BD7_CODTPA);
02;4.01.00;0,00;BEA;BD5;1;0;XFILIAL('BD5')+BEA->(BEA_OPEMOV+BEA_CODLDP+BEA_CODPEG+BEA_NUMGUI);
02;4.01.00;0,00;BE2;BGR;1;1;XFILIAL('BGR')+BE2->(BE2_OPEMOV+BE2_VIA);
02;4.01.00;0,00;BEA;BA0;1;0;XFILIAL('BA0')+BEA->(BEA_OPEUSR);
02;4.01.00;0,00;BEA;BA1;2;0;XFILIAL('BA1')+BEA->(BEA_OPEUSR+BEA_CODEMP+BEA_MATRIC+BEA_TIPREG);
02;4.01.00;0,00;BEA;BAU;1;0;XFILIAL('BAU')+BEA->BEA_CODRDA;
02;4.01.00;0,00;BEA;BE2;1;1;XFILIAL('BE2')+BEA->(BEA_OPEMOV+BEA_ANOAUT+BEA_MESAUT+BEA_NUMAUT );
02;4.01.00;0,00;BEA;BDR;1;0;XFILIAL('BDR')+BEA->(BEA_OPEMOV+BEA_TIPADM);
02;4.01.00;0,00;BR8;BR4;1;1;XFILIAL('BR4')+BR8->BR8_CODPAD;
02;4.01.00;0,00;BE2;B4B;1;1;XFILIAL('B4B')+BE2->(BE2_OPEMOV+BE2_ANOAUT+BE2_MESAUT+BE2_NUMAUT+BE2_SEQUEN ); 
03;4.01.00;0,00;;BE4;2;0;XFILIAL('BE4')+BE4->(BE4_CODOPE+BE4_ANOINT+BE4_MESINT+BE4_NUMINT);
03;4.01.00;0,00;BA1;BA3;1;0;XFILIAL('BA3')+BA1->(BA1_CODINT+BA1_CODEMP+BA1_MATRIC);
03;4.01.00;0,00;BA1;BG9;1;0;XFILIAL('BG9')+BA1->(BA1_CODINT+BA1_CODEMP);
03;4.01.00;0,00;BA1;BI3;1;0;XFILIAL('BI3')+BA1->(BA1_CODINT+BA1_CODPLA+BA1_VERSAO);!EMPTY(BA1->BA1_CODPLA) 
03;4.01.00;0,00;BA1;BTS;1;0;XFILIAL('BTS')+BA1->BA1_MATVID;
03;4.01.00;0,00;BA3;BI3;1;0;XFILIAL('BI3')+BA3->(BA3_CODINT+BA3_CODPLA+BA3_VERSAO);EMPTY(BA1->BA1_CODPLA)
03;4.01.00;0,00;BE4;BA0;1;0;XFILIAL('BA0')+ BE4->(BE4_OPEUSR);
03;4.01.00;0,00;BE4;BI4;1;0;XFILIAL('BI4')+BE4->BE4_PADINT;
03;4.01.00;0,00;BE4;BA1;2;0;XFILIAL('BA1')+BE4->(BE4_OPEUSR+BE4_CODEMP+BE4_MATRIC+BE4_TIPREG);
03;4.01.00;0,00;BE4;BAU;1;0;XFILIAL('BAU')+BE4->BE4_CODRDA;
03;4.01.00;0,00;BE4;BAQ;1;0;XFILIAL('BAQ')+BE4->(BE4_CODOPE+BE4_CODESP);
03;4.01.00;0,00;BE4;BB0;4;0;XFILIAL('BB0')+BE4->(BE4_ESTSOL+BE4_REGSOL+BE4_SIGLA);!EMPTY(BE4->BE4_ESTSOL) .AND. !EMPTY(BE4->BE4_REGSOL) .AND. !EMPTY(BE4->BE4_SIGLA)
03;4.01.00;0,00;BE4;BDR;1;0;XFILIAL('BDR')+BE4->(BE4_CODOPE+BE4_TIPADM);
03;4.01.00;0,00;BE4;BEJ;1;1;XFILIAL('BEJ')+BE4->(BE4_CODOPE+BE4_ANOINT+BE4_MESINT+BE4_NUMINT);
03;4.01.00;0,00;BEJ;BR8;1;1;XFILIAL('BR8')+BEJ->(BEJ_CODPAD+BEJ_CODPRO);
03;4.01.00;0,00;BR8;BD6;1;1;XFILIAL('BD6')+BE4->(BE4_CODOPE+BE4_CODLDP+BE4_CODPEG+BE4_NUMERO+BE4_ORIMOV)+BEJ->(BEJ_SEQUEN+BEJ_CODPAD+BEJ_CODPRO);
03;4.01.00;0,00;BQV;BE4;2;0;XFILIAL('BE4')+BQV->(BQV_CODOPE+BQV_ANOINT+BQV_MESINT+BQV_NUMINT);
03;4.01.00;0,00;BR8;BN5;1;0;XFILIAL('BN5')+BE4->(BE4_CODOPE+BE4_PADCON);
03;4.01.00;0,00;BR8;BR4;1;1;XFILIAL('BR4')+BR8->BR8_CODPAD;
03;4.01.00;0,00;BE4;BB8;1;0;xFilial('BB8')+BE4->(BE4_CODRDA+BE4_CODOPE+BE4_CODLOC);
05;4.01.00;0,00;;BE4;1;0;XFILIAL('BE4')+BE4->(BE4_CODOPE+BE4_CODLDP+BE4_CODPEG+BE4_NUMERO+BE4_SITUAC+BE4_FASE);
05;4.01.00;0,00;BE4;BB8;1;0;XFILIAL('BB8')+BE4->(BE4_CODRDA+BE4_CODOPE+BE4_CODLOC);
05;4.01.00;0,00;BE4;BAU;1;0;XFILIAL('BAU')+BE4->(BE4_CODRDA);
05;4.01.00;0,00;BE4;BDR;1;0;XFILIAL('BDR')+BE4->(BE4_CODOPE+BE4_TIPADM);
05;4.01.00;0,00;BE4;BA0;1;0;XFILIAL('BA0')+BE4->(BE4_OPEUSR);
