BCL_CODOPE$BCL_TIPGUI$BCL_DESCRI$BCL_ALIAS$BCL_RDMAKE$BCL_TIPORD$BCL_CODCOR$BCL_FUNINI$BCL_TIPINI$BCL_FUNSAI$BCL_TIPSAI$BCL_FUNEDT$BCL_TIPEDT$BCL_FUNGRV$BCL_TIPGRV$BCL_FUNMFS$BCL_TIPMFS$BCL_GUIREL$BCL_FUNPRO$BCL_TIPPRO$BCL_PERINC$BCL_TIPFBT$BCL_FUNBTO$BCL_QTDFOL$BCL_FUNAJU$BCL_TIPAJU$BCL_FUNACP$BCL_TIPACP$BCL_CDORIT$BCL_FASE$BCL_GUIPAP$BCL_PERGUN$BCL_MUDFAS$BCL_QTDCMP$BCL_FUNCAO$BCL_TISVER$BCL_PORGRV$BCL_PORIMP$BCL_PORLOA$BCL_PORVOL$BCL_PORTIT$BCL_PORIMG
0001$01$GUIA DE CONSULTA$BD5$PLSA500$1$09$PLSA720INI$1$PLSA720SAI$1$PLSA720EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$$$2$PLSA720AJU$1$PLSA720CPO$1$1$3$$$$78$$4.01.00$fRegEspCon('cObs','1'); return false;$fImpGuia()$CONSLoad()$window.location='W_PPLCHAPRE.APW?cP=2'$CONSULTA MEDICA$
0001$02$GUIA DE SP_SADT$BD5$PLSA500$1$02$PLSA720INI$1$PLSA720SAI$1$PLSA720EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$$$2$PLSA720AJU$1$PLSA720CPO$1$1$3$$$$95$$4.01.00$fRegEspCon('cObs','2'); return false;$fImpGuia()$SADTLoad()$window.location='W_PPLCHAPRE.APW?cP=2'$GUIA DE SERVICO PROFISSIONAL / SERVICO AUXILIAR DE DIAGNOSTICO E TERAPIA - SP/SADT$
0001$03$GUIA DE SOL. INTERNACAO$BE4$PLSA500$1$04$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$0$1$PLSA092BT$2$PLSA720AJU$1$PLSA720CPO$1$2$1$$$$50$$4.01.00$fProcFormInt(FrmGuia); return false;$fImpGuia()$INTLoad()$window.location='W_PPLCHAPRE.APW?cP=2'$GUIA DE SOLICITACAO DE INTERNACAO$
0001$04$GUIA DE REEMBOLSO$BD5$PLSA500$1$07$PLSA720INI$1$PLSA720SAI$1$PLSA720EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$0$$$2$PLSA720AJU$1$PLSA720CPO$$3$1$$$0$999$$4.01.00$$$$$$
0001$05$GUIA DE RESUMO DE INTERNACAO$BE4$PLSA500$1$08$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$PLSA092BT$2$PLSA720AJU$1$PLSA720CPO$1$2$1$$$$66$$4.01.00$fProcFormResInt(FrmGuia); return false;$carregaRelResInt()$RESINTLoad()$window.location='W_PPLDIGGUIP.APW'$GUIA DE RESUMO DE INTERNAÇÃO$
0001$06$GUIA DE HONORARIOS$BD5$PLSA500$1$06$PLSA720INI$1$PLSA720SAI$1$PLSA720EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$$$2$PLSA720AJU$1$PLSA720CPO$1$1$3$$$$38$$4.01.00$fProcFormHon(FrmGuia); return false;$fImpGuia()$HOINLoad()$window.location='W_PPLCHAHOIN.APW'$GUIA DE HONORARIOS$
0001$07$ANEXO QUIMIOTERAPIA$B4A$PLSA500$1$01$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$PLSA092BT$2$PLSA720AJU$1$PLSA720CPO$1$2$1$$$$0$$4.01.00$fProcFormAnex(FrmGuia); return false;$fImpGuia()$ANEXLoad()$window.location='W_PPLANQUI.APW'$ANEXO DE SOLICITAÇÃO DE QUIMIOTERAPIA$
0001$08$ANEXO RADIOTERAPIA$B4A$PLSA500$1$03$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$PLSA092BT$2$PLSA720AJU$1$PLSA720CPO$1$2$1$$$$0$$4.01.00$fProcFormAnex(FrmGuia); return false;$fImpGuia()$ANEXLoad()$window.location='W_PPLANRAD.APW'$ANEXO DE SOLICITAÇÃO DE RADIOTERAPIA$
0001$09$ANEXO OPME$B4A$PLSA500$1$10$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$PLSA092BT$2$PLSA720AJU$1$PLSA720CPO$1$2$1$$$$0$$4.01.00$fProcFormAnex(FrmGuia); return false;$fImpGuia()$ANEXLoad()$window.location='W_PPLANOPM.APW'$ANEXO DE SOLICITAÇÃO DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS - OPME$
0001$10$GUIA DE RECURSO DE GLOSA$BD5$PLSA500$1$05$PLSA720INI$1$PLSA720SAI$1$PLSA720EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$$2$PLSA720AJU$1$PLSA720CPO$1$1$3$$$$0$$4.01.00$fProcFormRecGlo(FrmGuia); return false;$fImpGuia()$RECGLOLoad()$window.location='W_PPLRECGLO.APW'$GUIA DE RECURSO DE GLOSA$
0001$11$GUIA DE SOL.PRORROGACAO DE INT$B4Q$PLSA500$1$11$PLSA092INI$1$PLSA092SAI$1$PLSA092EDT$1$PLSA720GRV$1$PLSA720MF$1$$PLSA720PRO$1$1$1$PLSA092BT$5$PLSA720AJU$1$PLSA720CPO$1$2$3$$$$31$$4.01.00$fProcFormProrrInt(FrmGuia); return false;$fImpGuia()$$$GUIA DE SOLICITAÇÃO DE PRORROGAÇÃO DE INTERNAÇÃO$
