BCS_CODOPE;BCS_TIPGUI;BCS_ALIAS;BCS_TIPO;BCS_CKEY;BCS_SOMLEI;BCS_ORDMON;BCS_ORDGRV;BCS_GRVAUT;BCS_OBRIG;BCS_LININI;BCS_LINFIN;BCS_COLINI;BCS_COLFIN;BCS_ORDFOL;BCS_EXPF;BCS_BOTITE;BCS_GEROBJ
0001;01;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;01;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;01;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;01;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
0001;02;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;02;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;02;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;02;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
0001;03;BE4;2;F8;0;01;01;0;1;1,00;350,00;2,00;167,00;01;;; 
0001;03;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;03;BD7;1;F10;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;03;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
0001;04;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;04;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;04;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;05;BE4;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;05;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;05;BD7;1;F10;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;05;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
0001;06;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;06;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;;
0001;06;BD7;1;F10;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;06;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
0001;07;B4A;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;08;B4A;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;09;B4A;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;10;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;10;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;10;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;11;BE4;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;11;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;11;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;13;BD5;2;F8;0;01;01;1;1;1,00;350,00;2,00;167,00;01;;; 
0001;13;BD6;1;F9;0;02;02;1;1;1,00;100,00;2,00;350,00;02;PLSA720BAJ;; 
0001;13;BD7;1;F8;0;03;03;0;1;105,00;167,00;2,00;350,00;02;PLSA720BAJ;; 
0001;13;B43;1;;0;04;04;0;1;0,00;0,00;0,00;0,00;01;PLSA720BAJ;1; 
