0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF
1;  ;100000              ;ACTIVO                                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;                    ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;110000              ;ACTIVO CORRIENTE                        ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;100000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111000              ;DISPONIBILIDADES                        ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111100              ;Efectivo MN                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111101              ;Caja MN                                 ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111100              ;   ; ; ; ;        ;        ;624001              ;111101              ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111102              ;Caja Sueldos                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000010;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111100              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111102              ;  ;2;      ; ;                    ; 
1;  ;111103              ;Caja Transportistas                     ;                                        ;                                        ;                                        ;                                        ;2;1;0000000012;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;111100              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111103              ;  ;2;      ; ;                    ; 
1;  ;111104              ;Caja Zafreros                           ;                                        ;                                        ;                                        ;                                        ;2;1;0000000013;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;111100              ;   ;1;1;1;19800101;        ;624001              ;111104              ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111104              ;  ;2;      ; ;                    ; 
1;  ;111200              ;Efectivo ME                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111201              ;Efectivo ME                             ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
