0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_ATOBRG;CT1_ACET05;CT1_NATCTA;CT1_ACATIV;CT1_05OBRG
1;  ;1                   ;Activo                                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;                    ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;11                  ;Disponible                                                                                          ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1                   ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1105                ;Caja                                                                                                ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;11                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;110505              ;Caja general                                                                                        ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1105                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;110510              ;Cajas menores                                                                                       ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1105                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;110515              ;Moneda extranjera                                                                                   ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1105                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1110                ;Bancos                                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;11                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;111005              ;Moneda nacional                                                                                     ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1110                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;111010              ;Moneda extranjera                                                                                   ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1110                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1115                ;Remesas en transito                                                                                 ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;11                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
