0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_NATCTA;CT1_ACATIV;CT1_ATOBRG;CT1_ACET05;CT1_05OBRG;CT1_ACAT01;CT1_AT01OB;CT1_ACAT02;CT1_AT02OB;CT1_ACAT03;CT1_AT03OB;CT1_ACAT04;CT1_AT04OB;CT1_NTSPED;CT1_SPEDST;CT1_TPO01;CT1_TPO02;CT1_TPO03;CT1_TPO04
1;  ;1                   ;ACTIVOS                                 ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1                   ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;11                  ;ACTIVOS CORRIENTES                      ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11                  ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111                 ;EFECTIVOS EN CAJA Y BANCOS              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111010000           ;CAJA GENERAL DE RECIBOS                 ;                                        ;                                        ;                                        ;                                        ;2;1;0000000001;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111010000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111010201           ;CAJA CHICA 1                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000002;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111010201           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111010202           ;CAJA CHICA 2                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000003;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111010202           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111010205           ;CAJA CHICA 3                            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000004;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111010205           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111020300           ;BANCO POPULAR                           ;                                        ;                                        ;                                        ;                                        ;2;1;0000000005;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111020300           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111020500           ;BANCO BHD                               ;                                        ;                                        ;                                        ;                                        ;2;1;0000000006;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111020500           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111020700           ;BANCO LEON                              ;                                        ;                                        ;                                        ;                                        ;2;1;0000000007;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111020700           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111020800           ;BANCO DEL RESERVAS                      ;                                        ;                                        ;                                        ;                                        ;2;1;0000000008;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111020800           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;111030000           ;SOBREGIRO BANCARIO                      ;                                        ;                                        ;                                        ;                                        ;2;1;0000000009;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111030000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;112                 ;INVERSIONES                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;112010100           ;INMOBILIARIA CHANTAL                    ;                                        ;                                        ;                                        ;                                        ;2;1;0000000010;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112010100           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113                 ;CUENTAS POR COBRAR                      ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113010100           ;CLIENTE EN SANTO DOMINGO                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000011;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113010100           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020200           ;CHEQUES DEVUELTOS                       ;                                        ;                                        ;                                        ;                                        ;2;1;0000000012;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020200           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020300           ;FUNCIONARIOS E EMPLEADOS                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000013;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020300           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020308           ;CTA X COBRAR RELACIONADO                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000014;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020308           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020400           ;CTAS X COBRAR ACIONISTAS                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000015;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020400           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020600           ;RESERVA CTAS. INCOBRABLES               ;                                        ;                                        ;                                        ;                                        ;2;1;0000000016;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020600           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;113020734           ;AVANCE ENTREGADO A CLIENTE              ;                                        ;                                        ;                                        ;                                        ;2;1;0000000017;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;113                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;113020734           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;114                 ;INVENTARIO                              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;114010000           ;INVENTARIO DE MERCANCIAS                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000018;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114010000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;114020000           ;INVENTARIO DE MERCANCIAS                ;                                        ;                                        ;                                        ;                                        ;2;1;0000000019;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114020000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;114050000           ;MERCANCIAS EN TRANSITO                  ;                                        ;                                        ;                                        ;                                        ;2;1;0000000020;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114050000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;114060000           ;PROVISION DE INVENTARIO                 ;                                        ;                                        ;                                        ;                                        ;2;1;0000000021;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;114                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114060000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115                 ;GASTOS PAGADO POR ANTICIPADO            ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115030100           ;SEGUROS                                 ;                                        ;                                        ;                                        ;                                        ;2;2;0000000022;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115030100           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115040100           ;ITBIS                                   ;                                        ;                                        ;                                        ;                                        ;2;2;0000000023;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115040100           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115040200           ;IMPUESTOS 1.5%                          ;                                        ;                                        ;                                        ;                                        ;2;2;0000000024;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115040200           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115040500           ;ANTICIPOS IMPUESTOS                     ;                                        ;                                        ;                                        ;                                        ;2;2;0000000025;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115040500           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115040800           ;IMPUESTOS RETENIDO A 5%                 ;                                        ;                                        ;                                        ;                                        ;2;2;0000000026;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115040800           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;115041500           ;ITBIS A FAVOR                           ;                                        ;                                        ;                                        ;                                        ;2;1;0000000027;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;115                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;115041500           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;130                 ;PROPIEDAD PLANTA Y EQUIPO               ;                                        ;                                        ;                                        ;                                        ;1;2;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;130                 ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
1;  ;130101000           ;TERRENOS                                ;                                        ;                                        ;                                        ;                                        ;2;2;0000000028;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;130                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;130101000           ;  ;2;      ; ;                    ; ;  ; ; ;2;2; ; ; ; ; ; ; ; ;  ; ;  ;  ;  ;  
