0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_NATCTA;CT1_ACATIV;CT1_ATOBRG;CT1_ACET05;CT1_05OBRG;CT1_ACAT01;CT1_AT01OB;CT1_ACAT02;CT1_AT02OB;CT1_ACAT03;CT1_AT03OB;CT1_ACAT04;CT1_AT04OB
1;  ;1                   ;ACTIVOS                                 ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1                   ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;11                  ;ACTIVOS CORRIENTES                      ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;1                   ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;11                  ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111                 ;DISPONIBLES                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1111                ;CAJA GENERAL                            ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1111                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111101              ;CAJA GENERAL 1                          ;                                        ;                                        ;                                        ;                                        ;2;1;1         ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;1111                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111101              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111102              ;CAJA CHICA                              ;                                        ;                                        ;                                        ;                                        ;2;1;2         ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;1111                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111102              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1112                ;BANCOS MONEDA NACIONAL                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1112                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111201              ;BANCO 1                                 ;                                        ;                                        ;                                        ;                                        ;2;1;3         ;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;1112                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111201              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111202              ;BANCO 2                                 ;                                        ;                                        ;                                        ;                                        ;2;1;4         ;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;1112                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111202              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1113                ;BANCOS MONEDA EXTRANJERA                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1113                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111301              ;BANCO 1                                 ;                                        ;                                        ;                                        ;                                        ;2;1;5         ;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;1113                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111301              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1114                ;INVERSIONES                             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1114                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;111401              ;INVERSIONES CORRIENTES                  ;                                        ;                                        ;                                        ;                                        ;2;1;6         ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;1114                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111401              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112                 ;EXIGIBLE                                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;11                  ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112                 ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1121                ;CUENTAS POR COBRAR CLIENTES RELACIONADOS;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1121                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112101              ;CUENTAS POR COBRAR LOCALES              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;1121                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112101              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112101001           ;EMPRESA A                               ;                                        ;                                        ;                                        ;                                        ;2;1;7         ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;112101              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112101001           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112101002           ;EMPRESA B                               ;                                        ;                                        ;                                        ;                                        ;2;1;8         ;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;112101              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112101002           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112102              ;CUENTAS POR COBRAR DEL EXTERIOR         ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;1121                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112102              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112102001           ;EMPRESA AB                              ;                                        ;                                        ;                                        ;                                        ;2;1;9         ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;112102              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112102001           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112102002           ;EMPRESA BB                              ;                                        ;                                        ;                                        ;                                        ;2;1;10        ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;112102              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112102002           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1122                ;CUENTAS POR COBRAR CLIENTES NO RELACIONA;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1122                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112201              ;CUENTAS POR COBRAR LOCALES              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;1122                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112201              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112201001           ;EMPRESA A                               ;                                        ;                                        ;                                        ;                                        ;2;1;11        ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;112201              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112201001           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112201002           ;EMPRESA B                               ;                                        ;                                        ;                                        ;                                        ;2;1;12        ;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;112201              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112201002           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112202              ;CUENTAS POR COBRAR DEL EXTERIOR         ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;1122                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112202              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112202001           ;EMPRESA AB                              ;                                        ;                                        ;                                        ;                                        ;2;1;13        ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;112202              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112202001           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112202002           ;EMPRESA BB                              ;                                        ;                                        ;                                        ;                                        ;2;1;14        ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;112202              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112202002           ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;1123                ;OTRAS CUENTAS POR COBRAR                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;112                 ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1123                ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112301              ;OTRAS CUENTAS POR COBRAR RELACIONADOS LO;                                        ;                                        ;                                        ;                                        ;2;1;15        ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;1123                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112301              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
1;  ;112302              ;OTRAS CUENTAS POR COBRAR RELACIONADOS EX;                                        ;                                        ;                                        ;                                        ;2;1;16        ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;1123                ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;112302              ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; 
