0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_NATCTA;CT1_ACATIV;CT1_ATOBRG;CT1_ACET05;CT1_05OBRG;CT1_ACAT01;CT1_AT01OB;CT1_ACAT02;CT1_AT02OB;CT1_ACAT03;CT1_AT03OB;CT1_ACAT04;CT1_AT04OB;CT1_NTSPED;CT1_SPEDST
1;  ;1000000             ;ACTIVO                                  ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1000000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1100000             ;CAJA CHICA                              ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1100000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1110000             ;CAJA CHICA ADMINISTRACION               ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1110000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1120000             ;CAJA CHICA DOLARES                      ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1120000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1200000             ;BANCO                                   ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;7;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1200000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1210000             ;BOLIVAR                                 ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1210000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1220000             ;BANCO OCCIDENTAL DE DESCUENTO           ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1220000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1230000             ;BOLIVAR CTA. NOMINA                     ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1230000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1240000             ;MERCANTIL                               ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;5;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1240000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
1;  ;1250000             ;BANESCO                                 ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;1250000             ;  ;2;      ; ;                    ; ;  ;2;2;2;2; ; ; ; ; ; ; ; ;  ; 
