B6Y_CODPRZ;B6Y_DESCRI;B6Y_PRAZO 
01;CONSULTA BASICA - PEDIATRIA, CLINICA MEDICA, CIRURGIA GERAL, GINECOLOGIA E OBSTETRICIA              ;7
02;CONSULTA NAS DEMAIS ESPECIALIDADES MEDICAS                                                          ;14
03;CONSULTA/SESSAO COM FONOAUDIOLOGO                                                                   ;10
04;CONSULTA/SESSAO COM NUTRICIONISTA                                                                   ;10
05;CONSULTA/SESSAO COM PSICOLOGO                                                                       ;10
06;CONSULTA/SESSAO COM TERAPEUTA OCUPACIONAL                                                           ;10
07;CONSULTA/SESSAO COM FISIOTERAPEUTA                                                                  ;10
08;CONSULTA E PROCEDIMENTOS REALIZADOS EM CONSULTORIO/CLINICA COM CIRURGIAO-DENTISTA                   ;7
09;SERVICOS DE DIAGNOSTICO POR LABORATORIO DE ANALISES CLINICAS EM REGIME AMBULATORIAL                 ;3
10;DEMAIS SERVICOS DE DIAGNOSTICO E TERAPIA EM REGIME AMBULATORIAL                                     ;10
11;PROCEDIMENTOS DE ALTA COMPLEXIDADE - PAC                                                            ;21
12;ATENDIMENTO EM REGIME DE HOSPITAL-DIA                                                               ;10
13;ATENDIMENTO EM REGIME DE INTERNACAO ELETIVA                                                         ;21
14;URGENCIA E EMERGENCIA                                                                               ;0
