BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
A00;COLERA;A00 COLERA;;;
A000;COLERA DEVIDA A VIBRIO CHOLERAE 01BIOTIPO CHOLERAE;A00.0 COLERA DEV VIBRIO C;;;
A001;COLERA DEVIDA A VIBRIO CHOLERAE 01BIOTIPO EL TOR;A00.1 COLERA DEV VIBRIO C;;;
A009;COLERA NAO ESPECIFICADA;A00.9 COLERA NE;;;
A01;FEBRES TIFOIDE E PARATIFOIDE;A01 FEBRES TIFOIDE E PA;;;
A010;FEBRE TIFOIDE;A01.0 FEBRE TIFOIDE;;;
A011;FEBRE PARATIFOIDE A;A01.1 FEBRE PARATIFOIDE A;;;
A012;FEBRE PARATIFOIDE B;A01.2 FEBRE PARATIFOIDE B;;;
A013;FEBRE PARATIFOIDE C;A01.3 FEBRE PARATIFOIDE C;;;
A014;FEBRE PARATIFOIDE NAO ESPECIFICADA;A01.4 FEBRE PARATIFOIDE N;;;
A02;OUTRAS INFECCOES POR SALMONELLA;A02 OUTR INFECC P SALMO;;;
A020;ENTERITE POR SALMONELA;A02.0 ENTERITE P SALMONEL;;;
A021;SEPTICEMIA POR SALMONELA;A02.1 SEPTICEMIA P SALMON;;;
A022;INFECCOES LOCALIZADAS POR SALMONELA;A02.2 INFECC LOCALIZADAS;;;
A028;OUTRAS INFECCOES ESPECIFICADAS POR SALMONELA;A02.8 OUTR INFECC ESPEC P;;;
A029;INFECCAO NAO ESPECIFICADA POR SALMONELA;A02.9 INFECC NE P SALMONE;;;
A03;SHIGUELOSE;A03 SHIGUELOSE;;;
A030;SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE;A03.0 SHIGUELOSE DEV SHIG;;;
A031;SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI;A03.1 SHIGUELOSE DEV SHIG;;;
A032;SHIGUELOSE DEVIDA A SHIGELLA BOYDII;A03.2 SHIGUELOSE DEV SHIG;;;
A033;SHIGUELOSE DEVIDA A SHIGELLA SONNEI;A03.3 SHIGUELOSE DEV SHIG;;;
A038;OUTRAS SHIGUELOSES;A03.8 OUTR SHIGUELOSES;;;
A039;SHIGUELOSE NAO ESPECIFICADA;A03.9 SHIGUELOSE NE;;;
A04;OUTRAS INFECCOES INTESTINAIS BACTERIANAS;A04 OUTR INFECC INTESTI;;;
A040;INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA;A04.0 INFECC P ESCHERICHI;;;
A041;INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA;A04.1 INFECC P ESCHERICHI;;;
A042;INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA;A04.2 INFECC P ESCHERICHI;;;
A043;INFECCAO POR ESCHERICHIA COLI ENTEROHEMORRAGICA;A04.3 INFECC P ESCHERICHI;;;
A044;OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI;A04.4 OUTR INFECC INTESTI;;;
A045;ENTERITE POR CAMPYLOBACTER;A04.5 ENTERITE P CAMPYLOB;;;
A046;ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA;A04.6 ENTERITE DEV YERSIN;;;
A047;ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE;A04.7 ENTEROCOLITE DEV CL;;;
A048;OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS;A04.8 OUTR INFECC BACTER;;;
A049;INFECCAO INTESTINAL BACTERIANA NAO ESPECIFICADA;A04.9 INFECC INTESTINAL B;;;
A05;OUTRAS INTOXICACOES ALIMENTARES BACTERIANASNAO CLASSIFICADAS EM OUTRA PARTE;A05 OUTR INTOX ALIMENTA;;;
A050;INTOXICACAO ALIMENTAR ESTAFILOCOCICA;A05.0 INTOX ALIMENTAR EST;;;
A051;BOTULISMO;A05.1 BOTULISMO;;;
A052;INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENSCLOSTRIDIUM WELCHII;A05.2 INTOX ALIMENTAR DEV;;;
A053;INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS;A05.3 INTOX ALIMENTAR DEV;;;
A054;INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS;A05.4 INTOX ALIMENTAR DEV;;;
A058;OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS;A05.8 OUTR INTOX ALIMENTA;;;
A059;INTOXICACAO ALIMENTAR BACTERIANA NAO ESPECIFICADA;A05.9 INTOX ALIMENTAR BAC;;;
A06;AMEBIASE;A06 AMEBIASE;;;
A060;DISENTERIA AMEBIANA AGUDA;A06.0 DISENTERIA AMEBIANA;;;
A061;AMEBIASE INTESTINAL CRONICA;A06.1 AMEBIASE INTESTINAL;;;
A062;COLITE AMEBIANA NAO DISENTERICA;A06.2 COLITE AMEBIANA NAO;;;
A063;AMEBOMA INTESTINAL;A06.3 AMEBOMA INTESTINAL;;;
