BAS_CODIGO;BAS_DIASEM;BAS_CODATI;BAS_DESATI
001;2;001;HORARIO ESPECIAL                        
001;3;001;HORARIO ESPECIAL                        
001;4;001;HORARIO ESPECIAL                        
001;5;001;HORARIO ESPECIAL                        
001;6;001;HORARIO ESPECIAL                        
002;1;001;HORARIO ESPECIAL                        
002;7;001;HORARIO ESPECIAL                        
002;8;001;HORARIO ESPECIAL                        
003;1;002;HORARIOS                                
003;7;002;HORARIOS                                
003;8;002;HORARIOS                                
004;2;003;HORARIO NOTURNO                         
004;3;003;HORARIO NOTURNO                         
004;4;003;HORARIO NOTURNO                         
004;5;003;HORARIO NOTURNO                         
004;6;003;HORARIO NOTURNO        
