BBB_CODSER;BBB_DESCRI;BBB_VLRSER;BBB_QTDCH;BBB_TIPSER;BBB_TIPOCT;BBB_INCIR;BBB_INCPLS;BBB_INCINS;BBB_INCPIS;BBB_IMPRES;BBB_INCCOF;BBB_INCCSL;BBB_VERBA;BBB_CODANT;BBB_CONTA;BBB_HISTC;BBB_CONMFT;BBB_CODPRO;BBB_DIRF;BBB_COPCRE;BBB_TIPPE;BBB_CODPLA;BBB_INCISS;BBB_CLASIP;BBB_TES
001;ADIANTAMENTO DE PRODUCAO NO MES;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
002;ADIANTAMENTO PRODUCAO MES ANTERIOR;0;0;1;1;1;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
003;ASSESSORIA TECNICA;0;0;2;1;0;0;0;0;1;0;0;;;;;;;N;1;F;;0;; 
004;AUDITORIA;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
005;CEDULA PRESENCA;0;0;2;1;0;0;0;0;0;0;0;;;;;1;;N;1;F;;0;; 
006;COORDENADOR / DIRETOR CLINICO;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
007;COTAS DE CAPITAL;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
008;CREDITO ATENCAO PRIMARIA;0;0;2;1;1;1;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
009;CREDITO P/INCIDENCIA DE I.R.R.F.;0;0;2;1;1;0;0;0;1;0;0;;;;;1;;A;1;F;;0;; 
010;CREDITO REF. SERVICOS PERICIA;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
011;CREDITO REF. SERVICOS PRESTADOS;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
012;CREDITO REFE. A IRRF ANTECIPADO;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;Q;1;F;;0;; 
013;CREDITO SEM INCIDENCIA DE IR;0;0;2;2;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
014;CREDITOS S/INCIDENCIA DE IMPOSTOS;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;2;A;;0;; 
015;CREDITOS SERVICOS DE VIDEO;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
016;CURSOS E TREINAMENTOS;0;0;1;1;0;0;0;0;1;0;0;;;;;0;;N;1;F;;0;; 
017;DEBITO DETERMINACAO JUDICIAL;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
018;DEBITO INSS - PRESTADOR PF;0;0;1;1;1;0;0;0;1;0;0;;;;;0;;A;2;A;;0;; 
019;DEBITO IRRF - PRESTADOR PF;0;0;1;1;1;0;0;0;1;0;0;;;;;0;;A;2;A;;0;; 
020;DEBITO P/ INCIDENCIA DE I.R.R.F;0;0;1;1;1;0;0;0;1;0;0;;;;;1;;A;1;F;;0;; 
021;DEBITO P/ INCIDENCIA DE I.R.R.F/I.N.S.S.;0;0;1;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
022;DEBITO REFE. A IRRF ANTECIPADO;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;Q;1;F;;0;; 
023;DEBITO RENDIMENTO PAGO NO MES;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
024;DESC. 20% PROD. PS;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
025;DESPESAS DIVERSAS;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;2;A;;0;; 
026;DEVOLUCAO DE COTA CAPITAL;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
027;DEVOLUCAO DE SEGUROS;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
028;DEVOLUCAO IRRF DESC. INDEVIDO;0;0;2;1;0;1;0;0;1;0;0;;;;;1;;O;2;A;;0;; 
029;DIARIA COMPENSATORIA;0;0;2;1;0;0;0;0;0;0;0;;;;;1;;N;1;F;;0;; 
030;ENTREVISTA QUALIFICADA VIA RPA;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
031;ESTORNO CREDITO IRRF ANTECIPADO;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
032;MEDICO DE ROTINA;0;0;2;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
033;MEDICO DE SOBREAVISO;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
034;PAGAMENTO INDEVIDO;0;0;1;1;1;1;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
035;PATROCINIO GUIA MEDICO/JORNAL;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;2;A;;0;; 
036;PEDIDO DE PARECER;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
037;PENSAO JUDICIAL;0;0;1;1;1;0;0;0;1;0;0;;;;;1;;C;1;F;;0;; 
038;PLANTAO DOMICILIAR;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
039;PLANTAO PROMOCAO SAUDE;0;0;2;1;1;0;1;0;1;0;0;;;;;0;;A;1;F;;0;; 
040;PREVIDENCIA PRIVADA PGBL PRESTADOR;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;M;1;F;;0;; 
041;PREVIDENCIA PRIVADA VGBL PAIS E FILHOS;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
042;PRODUCAO CONVENIOS;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
043;PRODUCAO OUTROS CONVENIOS;0;0;2;1;1;1;0;1;1;1;1;;;;;1;;A;2;A;;0;; 
044;PROGRAMA DE BONIFICACAO DE PLANTAO ANUAL;0;0;2;1;1;1;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
