BCT_CODOPE;BCT_PROPRI;BCT_CODGLO;BCT_DESCRI;BCT_TIPO;BCT_USO;BCT_ATIVO;BCT_RESOBR;BCT_MOTOBR;BCT_PERFOR;BCT_LOCANA;BCT_LIBESP;BCT_CODEDI;BCT_CODED2;BCT_PROT;BCT_POS;BCT_WEB;BCT_COMONL;BCT_CODNIV;BCT_AUDITO;BCT_GLTISS;BCT_DESTIS;BCT_NIVEL;BCT_RECGER;BCT_EDI550;BCT_ENVCOX;BCT_ATIUPL
0001;0;01;Idade do usuario incompativel com a idade limite para o procedimento.;1;2;1;0;;0;1;0;;;;;;;;1;1803;IDADE DO BENEFICIARIO INCOMPATIVEL COM O PROCEDIMENTO;2;;;;
0001;0;02;Procedimento em carencia para este usuario.;1;3;1;0;;1;3;1;;;;;;;;;1007;ATENDIMENTO DENTRO DA CARENCIA DO BENEFICIARIO;2;;;;
0001;0;03;Sexo invalido para este procedimento.;1;3;1;0;;0;1;1;;;;;;;;;1802;PROCEDIMENTO INCOMPATIVEL COM O SEXO DO BENEFICIARIO;2;;;;
0001;0;04;Critica Financeira.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;05;Procedimento em carencia para este usuario (PREEXISTENCIA).;1;3;1;1;;1;1;1;;;;;;;;;1007;ATENDIMENTO DENTRO DA CARENCIA DO BENEFICIARIO;2;;;;
0001;0;06;RDA nao autorizada a executar o procedimento (Campo Executa/Solicita/Ambos);1;3;1;0;;0;1;1;;;;;;;;;1214;CREDENCIADO NAO HABILITADO A REALIZAR O PROCEDIMENTO;2;;;;
0001;0;07;Procedimento bloqueado na especialidade da Rede de atendimento.;1;2;1;0;;1;3;1;;;;;;;;;1214;CREDENCIADO NAO HABILITADO A REALIZAR O PROCEDIMENTO;2;;;;
0001;0;08;Idade do usuario incompativel com a idade limite para a especialidade.;1;3;1;0;;1;1;1;;;;;;;;;1015;IDADE DO BENEFICIARIO ACIMA IDADE LIMITE;2;;;;
0001;0;09;Sexo invalido para a especialidade.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;10;A data do evento e anterior a data de inclusao do usuario.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;11;O produto do beneficiario nao atende a esta cidade ou estado, verifique a area de abrangencia do plano.;1;3;1;0;;1;3;;;;1;1;1;;;;;;2;;;;
0001;0;12;Solicitante nao autorizado a solicitar este procedimento (Campo Executa/Solicita/Ambos);1;2;1;0;;0;1;1;;;;;;;;;9909;SOLICITANTE NAO AUTORIZADO A SOLICITAR ESTE SERVICO;2;;;;
0001;0;13;Obrigatorio a informacao do CID para este tipo de guia;1;3;1;0;;1;1;1;;;;;;;;;1508;CODIGO CID NAO INFORMADO;2;;;;
0001;0;14;Obrigatorio a informacao do medico solicitante para este tipo de guia;1;3;1;0;;0;1;0;;;;;;;;;1411;SOLICITANTE NAO INFORMADO;2;;;;
0001;0;17;Limite de Quantidade ultrapassada.;1;3;1;1;;1;1;1;;;;;;;;;1423;QUANTIDADE SOLICITADA ACIMA DA QUANTIDADE PERMITIDA;2;;;;
0001;0;18;Limite de Periodicidade ultrapassada.;1;3;1;1;;1;1;1;;;;;;;;;9910;SERVICO SOLICITADO EM TEMPO MENOR QUE O PERMITIDO;2;;;;
0001;0;20;O valor contratato e diferente do valor informado/apresentado.;1;3;1;0;;0;3;0;;;;;;;;;1799;OUTROS;2;;;;
0001;0;21;Para este procedimento necessita Guia da Operadora.;1;3;1;0;;1;1;1;;;;;;;;;9902;SERVICO SOMENTE COM AUTORIZACAO DA OPERADORA;2;;;;
0001;0;22;Para este procedimento necessita Guia da Empresa.;1;3;1;0;;1;3;1;;;1;1;1;;;;1425;NECESSITA PRE-AUTORIZACAO DA EMPRESA;2;;;;
0001;0;23;Este procedimento necessita de Guia da Operadora e da Empresa;1;3;1;0;;1;1;1;;;1;1;1;;;;9907;SERVICO NECESSITA DE AUTORIZACAO DA OPERADORA E DA EMPRESA;2;;;;
0001;0;25;Para este procedimento necessita Auditoria.;1;3;1;0;;0;1;0;;;;;;;;1;1427;NECESSIDADE DE AUDITORIA;2;;;;
0001;0;26;Procedimento informado nao existe na tabela padrao.;1;3;1;0;;0;1;0;;;;;;;;;1801;PROCEDIMENTO INVALIDO;2;;;;
