BF0_GRUGEN;BF0_CODSUP;BF0_CODIGO;BF0_DESCRI;BF0_CLASSE;BF0_NIVEL;BF0_TIPGUI;BF0_IMPRIM;BF0_IDADE1;BF0_TPUNIM;BF0_IDADE2;BF0_SEXO;BF0_BENEF;BF0_CODINF;BF0_DESSIP;BF0_APNTRP;BF0_DIACAR;BF0_REGATE
0001;;A;CONSULTAS MEDICAS;1;1;;0;0.0;;0.0;;0;;CONSULTAS MEDICAS;0;; 
0001;A;A1;CONSULTAS MEDICAS AMBULATORIAI;2;3;;0;0.0;;0.0;;0;;CONSULTAS MEDICAS AMBULATORIAI;0;; 
0001;A1;A11;ALERGIA E IMUNOLOGIA;2;3;;0;0.0;;0.0;;0;;ALERGIA E IMUNOLOGIA;0;; 
0001;A1;A110;GINECOLOGIA E OBSTETRICIA;2;3;;0;0.0;;0.0;;0;;GINECOLOGIA E OBSTETRICIA;0;; 
0001;A1;A111;HEMATOLOGIA;2;3;;0;0.0;;0.0;;0;;HEMATOLOGIA;0;; 
0001;A1;A112;MASTOLOGIA;2;3;;0;0.0;;0.0;;0;;MASTOLOGIA;0;; 
0001;A1;A113;NEFROLOGIA;2;3;;0;0.0;;0.0;;0;;NEFROLOGIA;0;; 
0001;A1;A114;NEUROCIRURGIA;2;3;;0;0.0;;0.0;;0;;NEUROCIRURGIA;0;; 
0001;A1;A115;NEUROLOGIA;2;3;;0;0.0;;0.0;;0;;NEUROLOGIA;0;; 
0001;A1;A116;OFTALMOLOGIA;2;3;;0;0.0;;0.0;;0;;OFTALMOLOGIA;0;; 
0001;A1;A117;ONCOLOGIA;2;3;;0;0.0;;0.0;;0;;ONCOLOGIA;0;; 
0001;A1;A118;OTORRINOLARINGOLOGIA;2;3;;0;0.0;;0.0;;0;;OTORRINOLARINGOLOGIA;0;; 
0001;A1;A119;PEDIATRIA;2;3;;0;0.0;;0.0;;0;;PEDIATRIA;0;; 
0001;A1;A12;ANGIOLOGIA;2;3;;0;0.0;;0.0;;0;;ANGIOLOGIA;0;; 
0001;A1;A120;PROCTOLOGIA;2;3;;0;0.0;;0.0;;0;;PROCTOLOGIA;0;; 
0001;A1;A121;PSIQUIATRIA;2;3;;0;0.0;;0.0;;0;;PSIQUIATRIA;0;; 
0001;A1;A122;REUMATOLOGIA;2;3;;0;0.0;;0.0;;0;;REUMATOLOGIA;0;; 
0001;A1;A123;TISIOPNEUMOLOGIA;2;3;;0;0.0;;0.0;;0;;TISIOPNEUMOLOGIA;0;; 
0001;A1;A124;TRAUMATOLOGIA-ORTOPEDIA;2;3;;0;0.0;;0.0;;0;;TRAUMATOLOGIA-ORTOPEDIA;0;; 
0001;A1;A125;UROLOGIA;2;3;;0;0.0;;0.0;;0;;UROLOGIA;0;; 
0001;A1;A13;CARDIOLOGIA;2;3;;0;0.0;;0.0;;0;;CARDIOLOGIA;0;; 
0001;A1;A14;CIRURGIA GERAL;2;3;;0;0.0;;0.0;;0;;CIRURGIA GERAL;0;; 
0001;A1;A15;CLINICA MEDICA;2;3;;0;0.0;;0.0;;0;;CLINICA MEDICA;0;; 
