BFM_CODINT;BFM_ANO;BFM_MES;BFM_VALRDA;BFM_VALCOP;BFM_BANDA;BFM_UCO;BFM_YUTMR;BFM_YUTM;BFM_YFATOR;BFM_YVALUS;BFM_YVALBD;BFM_VALREE;BFM_VALREM;BFM_PERINS
0001;2010;01;0.42;0.42;110;9,2;0.65;0.42;25,66;0;0;0;0;0
0001;2010;02;0.42;0.42;110;9,2;0.6;0.42;22,04;0;0;0;0;0
0001;2010;03;0.42;0.42;110;9,2;0;0.42;0;0;0;0;0;0
0001;2010;04;0.42;0.42;110;9,2;0;0.42;0;0;0;0;0;0
0001;2010;05;0.42;0.42;110;9,2;0;0.42;0;0;0;0;0;0
0001;2010;06;0.4;0.4;100;9,2;0;0.4;0;0;0;0;0;0
0001;2010;07;0.42;0.42;110;9,2;0.45;0.42;4,66;0;0;0;0;0
0001;2010;08;0.38;0.38;100;9,2;0.4;0.38;2,83;0;0;0;0;0
0001;2010;09;0.38;0.38;90;9,2;0;0.38;0;0;0;0;0;0
0001;2010;10;0.38;0.38;100;9,2;0.4;0.38;2,86;0;0;0;0;0
0001;2010;11;0.42;0.42;110;9,2;0.47;0.42;7,62;0;0;0;0;0
0001;2010;12;0.42;0.42;110;9,2;0.45;0.42;4,8;0;0;0;0;0
0001;2011;01;0.42;0.42;110;9,2;0.69;0.42;28,61;0;0;0;0;0
0001;2011;02;0.42;0.42;110;9,2;0.45;0.42;4,72;0;0;0;0;0
0001;2011;03;0.42;0.42;110;9,2;0.64;0.42;24,8;0;0;0;0;0
0001;2011;04;0.42;0.42;110;9,2;0;0.42;0;0;0;0;0;0
0001;2011;05;0.42;0.42;110;9,2;0.48;0.42;9,7;0;0;0;0;0
0001;2011;06;0.42;0.42;100;9,2;0;0.38;0;0;0;0;0;0
0001;2011;07;0.38;0.38;100;9,2;0;0.38;0;0;0;0;0;0
0001;2011;08;0.42;0.42;110;9,2;0.48;0.42;8,79;0;0;0;0;0
0001;2011;09;0.42;0.42;110;9,2;0.42;0.42;0;0;0;0;0;0
0001;2011;10;0.42;0.42;110;9,2;0.44;0.42;4,25;0;0;0;0;0
0001;2011;11;0.42;0.42;110;9,2;0.42;0.42;0;0;0;0;0;0
0001;2011;12;0.42;0.42;110;9,2;0;0.42;0;0;0;0;0;0
0001;2012;01;0.42;0.42;110;9,2;0.61;0.42;23,16;0;0;0;0;0
0001;2012;02;0.42;0.42;110;9,2;0.54;0.42;16;1,28;0;0;0;0
0001;2012;03;0.42;0.42;110;9,2;0.43;0.42;1,55;1,02;0;0;0;0
0001;2012;04;0.42;0.42;110;9,2;0.44;0.42;4,19;1,06;0;0;0;0
0001;2012;05;0.42;0.42;110;9,2;0.46;0.42;6,77;1,1;0;0;0;0
0001;2012;06;0.42;0.42;110;9,2;0.42;0.42;0;0;0;0;0;0
0001;2012;07;0.42;0.42;110;9,2;0.5;0.42;12,02;1,2;0;0;0;0
0001;2012;08;0.42;0.42;110;9,2;0.46;0.42;7,06;1,11;0;0;0;0
0001;2012;09;0.42;0.42;90;11,5;0;0.42;0;0;0;0;0;0
0001;2012;10;0.42;0.42;90;11,5;0;0.42;0;0;0;0;0;0
0001;2012;11;0.42;0.42;90;11,5;0;0.42;0;0;0;0;0;0
0001;2012;12;0.42;0.42;90;11,5;0;0.42;0;0;0;0;0;0
0001;2013;01;0.38;0.38;80;11,5;0.44;0.38;10.3;1,17;0;0;0;0
0001;2013;02;0.38;0.38;80;11,5;0;0.38;0;0;0;0;0;0
0001;2013;03;0.38;0.38;80;11,5;0;0.38;0;0;0;0;0;0
0001;2013;04;0.38;0.38;80;11,5;0.49;0.38;16,16;1,29;0;0;0;0
0001;2013;05;0.38;0.38;80;11,5;0.4;0.38;4,39;1,06;0;0;0;0
0001;2013;06;0.38;0.38;80;11,5;0.48;0.38;14,62;1,25;0;0;0;0
0001;2013;07;0.42;0.42;90;11,5;0.48;0.42;9,07;1,14;0;0;0;0
0001;2013;08;0.42;0.42;90;11,5;0.55;0.42;16,94;1,3;0;0;0;0
0001;2013;09;0.42;0.42;90;11,5;0;0.42;0;0;0;0;0;0
0001;2013;10;0.42;0.42;90;11,5;0.46;0.42;6,52;1,1;0;0;0;0
0001;2013;11;0.46;0.46;100;11,5;0.58;0.46;14,15;1,24;0;0;0;0
0001;2013;12;0.46;0.46;100;11,5;0.49;0.46;4,54;1,07;0;0;0;0
0001;2014;01;0.46;0.46;100;11,5;0.65;0.46;20.98;1,41;0;0;0;0
0001;2014;02;0.46;0.46;100;11,5;0;0.46;0;0;0;0;0;0
0001;2014;03;0.43;0.43;93;11,5;0.5;0.43;9,61;1,15;0;0;0;0
0001;2014;04;0.43;0.43;93;11,5;0.47;0.43;5,19;1,08;0;0;0;0
0001;2014;05;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2014;06;0.43;0.43;93;11,5;0.5;0.43;9,34;1,15;0;0;0;0
0001;2014;07;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2014;08;0.43;0.43;93;11,5;0.46;0.43;4,59;1,07;0;0;0;0
0001;2014;09;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2014;10;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2014;11;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2014;12;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;01;0.46;0.46;100;11,5;0.65;0.46;20.98;1,41;0;0;0;0
0001;2015;02;0.46;0.46;100;11,5;0;0.46;0;0;0;0;0;0
0001;2015;03;0.43;0.43;93;11,5;0.5;0.43;9,61;1,15;0;0;0;0
0001;2015;04;0.43;0.43;93;11,5;0.47;0.43;5,19;1,08;0;0;0;0
0001;2015;05;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;06;0.43;0.43;93;11,5;0.5;0.43;9,34;1,15;0;0;0;0
0001;2015;07;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;08;0.43;0.43;93;11,5;0.46;0.43;4,59;1,07;0;0;0;0
0001;2015;09;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;10;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;11;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2015;12;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;01;0.46;0.46;100;11,5;0.65;0.46;20.98;1,41;0;0;0;0
0001;2016;02;0.46;0.46;100;11,5;0;0.46;0;0;0;0;0;0
0001;2016;03;0.43;0.43;93;11,5;0.5;0.43;9,61;1,15;0;0;0;0
0001;2016;04;0.43;0.43;93;11,5;0.47;0.43;5,19;1,08;0;0;0;0
0001;2016;05;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;06;0.43;0.43;93;11,5;0.5;0.43;9,34;1,15;0;0;0;0
0001;2016;07;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;08;0.43;0.43;93;11,5;0.46;0.43;4,59;1,07;0;0;0;0
0001;2016;09;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;10;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;11;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
0001;2016;12;0.43;0.43;93;11,5;0;0.43;0;0;0;0;0;0
