BG3_PROPRI;BG3_CODBLO;BG3_TIPBLO;BG3_DESBLO;BG3_PERBLO;BG3_RDMAKE;BG3_PERIOD;BG3_UNIPER;BG3_PRZBLO;BG3_UNIPRZ;BG3_MSGBOL;BG3_BLQANS;BG3_BLOFAT;BG3_BLQCAR
1;045;1;SOLICITACAO DO CLIENTE;1;;0;;0;;;000;0;0
1;004;0;BLOQUEIA CARTAO(NAO USAR);1;;0;;0;;;001;0;1
1;039;1;REATIVACAO DE CONTRATO EXCLUID;1;;0;;0;;;001;0;0
1;043;1;REINCLUSAO DE USUARIO;1;;0;;0;;;001;0;0
1;013;1;DESBLOQUEIO IMPORTACAO SIAMED;0;;0;;0;;;006;0;0
1;003;0;ATUAL JANEIRO DE 2003-NAO USAR;1;;0;;0;;;007;1;1
1;006;1;BLOQUEIO INDEVIDO;1;;0;;0;;;013;0;0
1;002;0;ADAPTACAO;1;;0;;0;;;041;1;1
1;005;0;BLOQUEIO IMPORTACAO SIAMED;0;;0;;0;;;041;1;1
1;009;0;COMPLETOU MAIORIDADE;1;;0;;0;;;041;1;1
1;015;0;FINANCEIRO;1;;0;;0;;;041;1;1
1;018;0;INSATISFACAO;1;;0;;0;;;041;1;1
1;019;0;INSATISFEITO COM O PLANO;1;;0;;0;;;041;1;1
1;020;0;MIGRACAO;1;;0;;0;;;041;1;1
1;021;0;MOTIVOS FINANCEIROS;1;;0;;0;;;041;1;1
1;022;0;MOTIVOS PARTICULARES;1;;0;;0;;;041;1;1
1;023;0;MUDANCA DE ACOMODACAO;1;;0;;0;;;041;1;1
1;024;0;MUDANCA DE FAIXA ETAREA;1;;0;;0;;;041;1;1
1;025;0;MUDANCA DE OPERADORA;1;;0;;0;;;041;1;1
1;026;0;MUDANCA DO COD P/ ADAP SISTEMA;1;;0;;0;;;041;1;1
1;027;0;MUDANCA PARA OUTRA CIDADE;1;;0;;0;;;041;1;1
1;028;0;MUDOU PARA OUTRA CIDADE;1;;0;;0;;;041;1;1
1;029;0;NAO GOSTOU ATEND HOSPITAL;1;;0;;0;;;041;1;1
1;030;0;NAO UTLIZA O PLANO;1;;0;;0;;;041;1;1
1;035;0;PASSOU PARA OUTRA OPERADORA;1;;0;;0;;;041;1;1
1;036;0;PASSOU U CIDADE P/ N UNISUL PF;1;;0;;0;;;041;1;1
1;037;0;PJ NAO REG P/REGULAMENTADO;1;;0;;0;;;041;1;1
1;042;0;REGULAMENTACAO;1;;0;;0;;;041;1;1
1;044;0;ROMPIMENTO CONT P/ INIC BENEF;1;;0;;0;;;041;1;1
1;046;0;TERMINO DE BENEFICIO;1;;0;;0;;;041;1;1
1;047;0;TRANSFERENCIA CODIGO/PLANO;1;;0;;0;;;041;1;1
1;048;0;TRANSFERENCIA DE CARTEIRA;1;;0;;0;;;041;1;1
1;049;0;TRANSFERENCIA DE PRODUTO;1;;0;;0;;;041;1;1
1;050;0;TRANSFERIU P/ PF REGULAMENTADO;1;;0;;0;;;041;1;1
1;051;0;TRANSFERIU P/ PJ REGULAMENTADO;1;;0;;0;;;041;1;1
1;052;0;TRANSFERIU P/ PLANO SICOOB PJ;1;;0;;0;;;041;1;1
1;053;0;TRANSFERIU PF NAO REGULAM;1;;0;;0;;;041;1;1
1;014;0;DESLIGAMENTO DA EMPRESA;1;;0;;0;;;042;1;1
1;017;0;INADIMPLENCIA;1;;0;;0;;;043;1;1
1;031;0;OBITO;1;;0;;0;;;044;1;1
1;032;0;OBITO DEPENDENTE;1;;0;;0;;;044;1;1
1;033;0;OBITO DO TITULAR;1;;0;;0;;;044;1;1
1;007;0;CADASTRO INCORRETO;1;;0;;0;;;046;1;1
1;008;0;CADASTRO INDEVIDO;1;;0;;0;;;046;1;1
1;016;0;FRAUDE (ART 13 LEI 9.656/98);1;;0;;0;;;047;1;1
1;038;0;PORTABILIDADE;1;;0;;0;;;048;1;1
1;001;0;A PEDIDO DA DIRETORIA;1;;0;;0;;;099;1;1
1;034;0;OUTROS (NÄO USAR);1;;0;;0;;;099;1;1
1;100;0;COMP UNIVERS SEM VALIDADE;1;;;;;;;;1;1
1;010;1;DESBL CONF DESCISAO JUDICIAL;1;;0;;0;;;099;0;0
1;011;1;DESBLOQEUIO DE OPCIONAL USUARI;1;;0;;0;;;099;0;0
1;012;1;DESBLOQUEIO DE CARTAO;1;;0;;0;;;099;0;0
1;040;1;REATIVACAO DE OPCIONAL;1;;0;;0;;;099;0;0
1;041;1;REATIVACAO DE PLANO;1;;0;;0;;;099;0;0
