BG7_CODINT;BG7_CODGRU;BG7_DESCRI;BG7_CODTAB;BG7_GRUVIN
0001;001;PLANO BASICO - NAO REGULAMENTADO;; 
0001;002;PROCEDIMENTOS CARDIACOS;; 
0001;003;PROCEDIMENTOS OBSTETRICOS;; 
0001;004;EXAMES ESPECIALIZADOS PESSOA JURIDICA;; 
0001;005;REGULAMENTADO AMBULATORIAL - CUSTO OPERA;; 
0001;006;APARTAMENTO;; 
0001;007;HOSPITAIS DE CATEGORIA DIFERENCIADA;; 
0001;008;TRANSPORTE AEROMEDICO;; 
0001;009;ACIDENTE DE TRABALHO;; 
0001;010;ACIDENTE DE TRABALHO APTO;; 
0001;011;SAUDE OCUPACIONAL;; 
0001;012;PRODUTO FACIL;; 
0001;013;AMBULATORIAL REGULAMENTADO;; 
0001;014;GRUPO INTERCAMBIO - BASEADO NO ROL 3.0;; 
0001;015;TNUMM - MATERIAIS E MEDICAMENTOS;; 
0001;016;TNUMM - ORTESE E PROTESE;; 
0001;017;ENTREVISTA QUALIFICADA AMBULATORIAL;;
