BH7_CODIGO;BH7_DESCRI
501;Análises Clínicas diversas
503;Artroscopia
504;Audiometria
505;Broncoscopia
506;Cirurgia Crânio-Maxilo-Facial
507;Cirurgia Oftalmológica
508;Anatomia Patológica / Citopatologia
509;Colonoscopia
510;Colpo citologia
511;Colposcopia
512;Consulta em Hematologia e Hemoterapia
513;Consulta em Homeopatia
514;Consulta em Acupuntura
515;Consulta em Alergia e Imunologia
516;Consulta em Angiologia
518;Consulta em Cardiologia
519;Consulta em Cirurgia Cardiovascular
520;Consulta em Cirurgia Geral
521;Consulta em Cirurgia Plástica
523;Consulta em Dermatologia
524;Consulta em Endocrinologia e Metabologia
526;Consulta em Foniatria
527;Consulta em Gastroenterologia
528;Consulta em Genética Médica
529;Consulta em Geriatria
530;Consulta em Ginecologia
531;Consulta em Infectologia
532;Consulta em Mastologia
534;Consulta em Nefrologia
535;Consulta em Neurologia
536;Consulta em Obstetrícia
537;Consulta em Oftalmologia
538;Consulta em Ortopedia e Traumatologia
539;Consulta em Otorrinolaringologia
540;Consulta em Pediatria
541;Consulta em Pneumologia
543;Consulta em Psiquiatria
544;Consulta em Reumatologia
545;Consulta em Urologia
546;Densitometria Óssea
547;Diálise
549;Eletrocardiograma
550;Eletroencefalograma
551;Eletroneuromiografia/Eletromiografia
555;Fisioterapia
556;Fonoaudiologia
557;Hemodiálise Adulto
558;Hemodinâmica
559;Hemoterapia
560;Holter 24 horas
562;Impedânciometria
563;Laringoscopia
564;Punção Líquórica
565;Litotripsia
566;Mamografia
567;Mapeamento Cerebral
568;Medicina Nuclear
570;Ortóptica / Fisioterapia Ocular
572;Peniscopia
574;Psicologia
575;Psicoterapia
576;Quimioterapia Adulto
577;Radiodiagnóstico
579;Radioterapia
582;Ressonância Magnética
583;Teste Ergométrico
585;Tomografia Computadorizada
586;Ultrassonografia
588;Vulvoscopia
589;Hospital-Dia
590;Serviço de Maternidade
592;Internação Cirúrgica
594;Consulta com Nutricionista
602;Transplante de Rim
603;Transplante de Córnea
605;Transplante de Fígado
606;Transplante de Medula Ossea Alogênico
614;Espirometria / Prova de Função Pulmonar
615;Polissonografia
616;Biologia molecular
619;Consulta em Neurofisiologia Clinica
620;Teste do pezinho
623;Ecocardiografia
625;Endoscopia Digestiva
627;Patologia clinica / Medicina Laboratorial
629;Consulta em Radiologia intervencionista
631;Videolaparoscopia
632;Consulta em anestesiologia
634;Cirurgia Cardíaca
638;Discografia
639;Eletrofisiologia Cardíaca/Ablação
640;Estimulação Elétrica Transcutânea
642;Fototerapia (PUVA)
646;Implante de Cateter Intracraniano e Reservatório
647;Implante de Dispositivo Intra-Uterino (DIU)
648;Implante de Marcapasso
651;Injeção de Toxina Botulinica – (Monocular)
656;Medicina Hiperbárica
658;Microcirurgia Reparadora
661;Consulta em Cirurgia Oncológica
662;Consulta em Oncologia Clinica
663;Consulta em Oncologia Pediátrica
665;Cirurgia de Implante Coclear
667;Remoção de Pigmentos da Lente Intra-Ocular com Yag-Laser
672;Terapia Ocupacional
674;Transplante de Medula Ossea Autologo
675;Tratamento Cirúrgico da Epilepsia
676;Tratamento da Dor Crônica
681;Pronto Atendimento Pediátrico
682;Pronto Atendimento Adulto
685;Consulta em Cirurgia do Aparelho Digestivo
686;Consulta em Cirurgia Pediátrica
687;Consulta em Cirurgia Torácica
688;Consulta em Coloproctologia
689;Consulta em Neurocirurgia
690;Consulta em Nutrologia
691;Ultrassonografia com Doppler
696;Consulta em Clínica Médica
701;Pronto Socorro Adulto
702;Pronto Socorro Pediátrico
703;Broncofibroscopia respiratória
705;Cistoscopia
706;Ecodoppler de Carótidas
707;Eletroencefalograma com Mapeamento Cerebral Computadorizado
710;Monitorização Ambulatorial de Pressão Arterial (MAPA)
711;Pronto Atendimento Cardiológico
712;Pronto Atendimento Geral
713;Pronto Atendimento Obstétrico
714;Pronto Atendimento Oftalmológico
715;Pronto Atendimento Ortopédico
716;Internação em UTI Coronariana
717;Urodinâmica
718;Internação em UTI Adulto
720;Consulta em Cirurgia Vascular
721;Consulta em Cirurgia da Mão
722;Consulta em Medicina do Esportiva
723;Consulta em Medicina Física e Reabilitação
724;Pronto Atendimento Otorrinolaringológico
725;Pronto Atendimento Psiquiátrico
726;Fisioterapia Ortopédica
727;Fisioterapia Neurológica
728;Fisioterapia Uroginecologia
729;Fisioterapia Respiratória
730;Fisioterapia Reumatologica
731;Fisioterapia Motora
732;Fisioterapia Cardíaca
733;Consulta em Hepatologia
734;Consulta em Cirurgia de Cabeça e Pescoço
736;Exame de Motilidade Ocular / Teste Ortóptica
739;Retinografia
740;Campimetria Computadorizada
744;Pronto Atendimento Traumatológico
745;Pronto-Socorro-Oftalmológico
747;Pronto-Socorro Geral/Clínico
749;Pronto-Socorro Obstétrico
751;Consulta em Endocrinologia Pediátrica
752;Testes Cutâneo-Alérgicos
753;Administração de medicação (com prescrição)
754;Consulta com Enfermeiro Obstétrico ou Obtetriz
757;Curativos
765;Elastografia Hepática
766;Manometria
767;PH Metria
768;Teste da orelhinha
769;Método ABA (Analise de Comportamento Aplicada) - Terapias para Transtornos Globais de Desenvolvimento
770;Método Bobath - Terapias para Transtornos Globais de Desenvolvimento
771;Método Cuevas Medek Exercises (CME) - Terapias para Transtornos Globais de Desenvolvimento
772;Método Teacch - Terapias para Transtornos Globais de Desenvolvimento
773;Método PECS - (Sistema de Comunicação por Troca de Figuras) - Terapias para  Transtornos Globais de Desenvolvimento
774;Retossigmoidoscopia
775;Consulta em Medicina de Família e Comunidade
779;Ortopedia Pediátrica
780;Urologia
781;Internação em UTI Neonatal
782;Internação em UTI Pediátrica
786;Internação Clínica
787;Polissonografia Pediátrica
788;Serviço de Parto Humanizado
789;Serviço de Parto Natural
790;Serviço de Parto Cesárea
