BIY_CODOPE;BIY_CODSAI;BIY_DESCRI;BIY_MOTSAI;BIY_REFIGH;BIY_CODEDI
0001;1;Retorno (Não Usar);;;
0001;2;Retorno com SADT (Não Usar);;;
0001;3;Referencia (Não Usar);;;
0001;4;Internação (Não Usar);;;
0001;5;Alta (Não Usar);;;
0001;6;Óbito (Não Usar);;;
0001;11;Alta Curado;11;;11
0001;12;Alta Melhorado;12;;12
0001;14;Alta a pedido;14;;14
0001;15;Alta com previsão de retorno para acompanhamento do paciente;15;;15
0001;16;Alta por Evasão;16;;16
0001;18;Alta por outros motivos;18;;18
0001;19;Alta de Paciente Agudo em Psiquiatria;19;;19
0001;21;Permanência, por características próprias da doença;21;;21
0001;22;Permanência, por intercorrência;22;;22
0001;23;Permanência, por impossibilidade sócio-familiar;23;;23
0001;24;Permanência, por Processo de doação de órgãos, tecidos e células - doador vivo;24;;24
0001;25;Permanência, por Processo de doação de órgãos, tecidos e células - doador morto;25;;25
0001;26;Permanência, por mudança de Procedimento;26;;26
0001;27;Permanência, por reoperação;27;;27
0001;28;Permanência, outros motivos;28;;28
0001;31;Transferido para outro estabelecimento;31;;31
0001;32;Transferência para Internação Domiciliar;32;;32
0001;41;Óbito com declaração de óbito fornecida pelo médico assistente;41;;41
0001;42;Óbito com declaração de Óbito fornecida pelo Instituto Médico Legal - IML;42;;42
0001;43;Óbito com declaração de Óbito fornecida pelo Serviço de Verificação de Óbito - SVO.;43;;43
0001;51;Encerramento Administrativo;51;;51
0001;61;Alta da mãe/puérpera e do recém-nascido;61;;61
0001;62;Alta da mãe/puérpera e permanência do recém-nascido;62;;62
0001;63;Alta da mãe/puérpera e óbito do recém-nascido;63;;63
0001;64;Alta da mãe/puérpera com óbito fetal;64;;64
0001;65;Óbito da gestante e do concepto;65;;65
0001;66;Óbito da mãe/puérpera  e alta do recém-nascido;66;;66
0001;67;Óbito da mãe/puérpera  e permanência do recém-nascido;67;;67
