BJ2_CODIGO;BJ2_ORDEM;BJ2_ALIAS;BJ2_DESCRI;BJ2_TIPO;BJ2_USO;BJ2_BFILT;BJ2_EXPF;BJ2_APLREJ;BJ2_EXPREF
101;01;BB3;Faixa Etaria dos Produtos;1;;;;;
101;01;BB3;Faixa Etaria dos Produtos;1;1;1;{|NLINE,ACOLS,AHEADER|PL800FILBB3(ACOLS, AHEADER, NLINE) };1;
101;02;BTN;Faixa Etaria Grupo Beneficiari;1;2;1;{|NLINE,ACOLS,AHEADER| PL660FILBTN(ACOLS, AHEADER, NLINE)};;
101;02;BFS;Faixas Etarias X Descontos;1;1;1;{|NLINE,ACOLS,AHEADER| OBRWBB3:FIELDGET('BB3_CODFAI',OBRWBB3:LINHA(),OBRWBB3:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFS_CODFAI',AHEADER)] };;{ || OBRWBFS:FORCEREFRESH(OBRWBB3) }
101;01;BBU;Faixa Etaria X Forma X Familia;1;3;1;{|NLINE,ACOLS,AHEADER|PL260FILBBU(ACOLS, AHEADER, NLINE) };;
101;03;BFT;Faixas Etarias X Descontos Emp;1;2;1;{|NLINE,ACOLS,AHEADER| OBRWBTN:FIELDGET('BTN_CODFAI',OBRWBTN:LINHA(),OBRWBTN:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFT_CODFAI',AHEADER)] };;{|| OBRWBFT:FORCEREFRESH(OBRWBTN) } 
101;02;BFY;Forma x Familia x Desconto;1;3;1;{|NLINE,ACOLS,AHEADER| OBRWBBU:FIELDGET('BBU_CODFAI',OBRWBBU:LINHA(),OBRWBBU:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFY_CODFAI',AHEADER)] };;{ || OBRWBFY:FORCEREFRESH(OBRWBBU) }
102;02;BRN;Usuarios Adicionais no Plano;1;;;;;
102;03;BRL;Faixas Etarias Plano Familiar;1;;;;;
102;01;BRM;Formas de Pagamento Familia r;0;;;;;
103;01;BRY;Planos X Valores de Adesao;1;1;0;;;
103;01;BR6;Taxa Adesao Grupo/Empresa;1;2;0;;;
103;01;BRX;Familias X Valores de Adesao;1;3;0;;;
103;02;BFX;Taxa Adesao x Desc x Produto;1;1;1;{|NLINE,ACOLS,AHEADER| OBRWBRY:FIELDGET('BRY_CODFAI',OBRWBRY:LINHA(),OBRWBRY:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFX_CODFAI',AHEADER)] };;
103;02;BFV;Taxa Adesao x Desc x Gru/Empr;1;2;1;{|NLINE,ACOLS,AHEADER| OBRWBR6:FIELDGET('BR6_CODFAI',OBRWBR6:LINHA(),OBRWBR6:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFV_CODFAI',AHEADER)] };;
103;02;BFZ;Tx Adesao x Desc x Familia;1;3;1;{|NLINE,ACOLS,AHEADER| OBRWBRX:FIELDGET('BRX_CODFAI',OBRWBRX:LINHA(),OBRWBRX:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFZ_CODFAI',AHEADER)] };;
104;01;BBV;Faixas Etarias X Opc X Produto;1;1;0;;;
104;02;BBX;Precos Opcionais de Produtos;1;2;1; 																																		;;
104;01;BBY;Faixas Etarias Familias;1;3;0;;;
104;01;BZX;;1;4;1;{|NLINE,ACOLS,AHEADER| ACOLS[NLINE,GDFIELDPOS('BZX_CODOPC',AHEADER)] = CUCODOPC .AND. ACOLS[NLINE,GDFIELDPOS('BZX_VEROPC',AHEADER)] = CUVEROPC .AND. ACOLS[NLINE,GDFIELDPOS('BZX_TIPREG',AHEADER)] = CTIPREG };;
104;02;BFW;Desc x Prodt Relac. X Produto;1;1;1;{|NLINE,ACOLS,AHEADER| OBRWBBV:FIELDGET('BBV_CODFAI',OBRWBBV:LINHA(),OBRWBBV:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFW_CODFAI',AHEADER)] };;
