BU0_SEQRED;BU0_CODRED;BU0_DESRED
0001;001;Consultas
0002;002;Exames Básicos
0003;003;Fisioterapias
0004;004;Quimioterapia e Radioterapia
0005;005;Internações Clínicas
0006;006;Internações Cirúrgicas 
0007;007;Internações Obstétricas
0008;008;Odontologia
0009;009;Hospitais de Categoria Diferenciada - Rede Especial
0010;010;Cirurgias Ambulatoriais
0011;011;Internações Psiquiátricas
0012;012;Exames e Procedimentos especiais
0013;013;Hospitais de Categoria diferenciada – Rede Master
0014;014;Terapias
0015;099;Acomodação
