CT1_CONTA;CT1_DESC01;CT1_CLASSE;CT1_NORMAL;CT1_BLOQ;CT1_CTASUP;CT1_CTLALU;CT1_DIOPS
1;ATIVO;1;1;2;;1;1
12;ATIVO CIRCULANTE;1;1;2;1;12;1
121;DISPONÍVEL;1;1;2;12;121;1
1211;CAIXA;1;1;2;121;1211;1
12111;CAIXA;1;1;2;1211;12111;1
121119;CAIXA;1;1;2;12111;121119;1
12111901;CAIXA;1;1;2;121119;12111901;1
121119011;Caixa;2;1;2;12111901;121119011;1
1212;NUMERÁRIO EM TRANSITO;1;1;2;121;1212;1
12121;NUMERÁRIO EM TRANSITO;1;1;2;1212;12121;1
121219;Numerário em Trânsito;1;1;2;12121;121219;1
12121901;Numerário em Trânsito;1;1;2;121219;12121901;1
121219011;Numerário em trânsito;2;1;2;12121901;121219011;1
1213;BANCOS CONTA MOVIMENTO;1;1;2;121;1213;1
12131;BANCOS CONTA MOVIMENTO;1;1;2;1213;12131;1
121319;Bancos Conta Movimento;1;1;2;12131;121319;1
12131901;Bancos Conta Movimento;1;1;2;121319;12131901;1
121319011;Bancos Conta Movimento;2;1;2;12131901;121319011;1
1214;APLICAÇÕES DE LIQUIDEZ IMEDIATA;1;1;2;121;1214;1
12141;APLICAÇÕES DE LIQUIDEZ IMEDIATA;1;1;2;1214;12141;1
121419;Aplicações de Liquidez Imediata;1;1;2;12141;121419;1
12141901;Aplicações de Liquidez Imediata;1;1;2;121419;12141901;1
121419011;Aplicações de liquidez imediata;2;1;2;12141901;121419011;1
122;APLICAÇÕES FINANCEIRAS;1;1;2;12;122;1
1221;APLICAÇÕES GARANTIDORAS DE PROVISÕES TÉCNICAS;1;1;2;122;1221;1
12211;TÍTULOS DE RENDA FIXA - PRIVADOS;1;1;2;1221;12211;1
122119;Títulos de Renda Fixa - Privados;1;1;2;12211;122119;1
12211901;Depósitos Bancários a Prazo - CDB/RDB;1;1;2;122119;12211901;1
122119011;Valor Original;2;1;2;12211901;122119011;1
122119012;Ajuste ao Valor de Mercado;2;1;2;12211901;122119012;1
12211902;Cotas de Fundos de Investimentos;1;1;2;122119;12211902;1
122119021;Valor Original;2;1;2;12211902;122119021;1
122119022;Ajuste ao Valor de Mercado;2;1;2;12211902;122119022;1
12211908;Outros Títulos de Renda Fixa;1;1;2;122119;12211908;1
122119081;Valor Original;2;1;2;12211908;122119081;1
122119082;Ajuste ao Valor de Mercado;2;1;2;12211908;122119082;1
12211909;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados;1;1;2;122119;12211909;1
122119099;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados;2;1;2;12211909;122119099;1
12212;TÍTULOS DE RENDA FIXA - PÚBLICOS;1;1;2;1221;12212;1
122129;Títulos de Renda Fixa - Públicos;1;1;2;12212;122129;1
12212901;Títulos da Dívida Pública Interna;1;1;2;122129;12212901;1
122129011;Valor Original;2;1;2;12212901;122129011;1
122129012;Ajuste ao Valor de Mercado;2;1;2;12212901;122129012;1
12212902;Cotas de Fundos de Investimentos;1;1;2;122129;12212902;1
122129021;Valor Original;2;1;2;12212902;122129021;1
122129022;Ajuste ao Valor de Mercado;2;1;2;12212902;122129022;1
12212908;Outros Títulos de Renda Fixa;1;1;2;122129;12212908;1
122129081;Valor Original;2;1;2;12212908;122129081;1
