CTT_CUSTO;CTT_CLASSE;CTT_DESC01;CTT_BLOQ;CTT_DTEXIS;CTT_CCLP;CTT_RES;CTT_CUSTO1;CTT_CUSTO2;CTT_CODMUN
1000;2;RATEIOS;2;19800101;1000;;1000;1000;0
1001;2;CONSELHO FISCAL;2;19800101;1001;1001;1001;9101010101;0
1002;2;CONSELHO TECNICO;2;19800101;9101010101002;1002;1002;9101010101002;0
1003;2;CONSELHO ADMINISTRACAO;2;19800101;9101010101003;1003;1003;9101010101003;0
1004;2;GESTAO DE RELACIONAMENTO COM O COOPERADO;2;19800101;9101010101004;1004;1004;9101010101004;0
1005;2;DIRETORIA EXECUTIVA;2;19800101;9102010101;1005;1005;9102010101001;0
1006;2;ASSESSORIA JURIDICA;2;19800101;9102010102001;1006;1006;9102010102001;0
1007;2;AUDITORIA EXTERNA;1;19800101;9102010103002;1007;1007;9102010103002;0
1008;2;SUPERINTENDENCIA;2;19800101;9102020101001;1008;1008;9102020101001;0
1009;2;CONTA HOSPITALAR;1;19800101;9102020201001;1009;1009;9102020201001;0
1010;2;AUDITORIA MEDICA;2;19800101;;1010;1010;9102020201002;0
1011;2;RELACIONAMENTO COM A REDE;1;19800101;1062;1062;1062;1062;0
1012;2;CUSTO OPERACIONAL;2;19800101;11013;11013;;;0
1013;2;ASSISTENCIA SOCIAL;1;19800101;9102020403003;1013;1013;9102020403003;0
1014;2;ANALISE E PROC DE CONTAS;2;19800101;9102020203001;1014;1014;9102020203001;0
1015;2;FATURAMENTO;1;19800101;9102020203002;1015;1015;9102020203002;0
1016;2;INTERCAMBIO;1;19800101;9102020203003;1016;1016;9102020203003;0
1017;2;GERENCIA DE MERCADO;2;19800101;9102020301001;1017;1017;9102020301001;0
1018;2;CADASTRO;2;19800101;9102020301002;1018;1018;9102020301002;0
1019;2;RELACIONAMENTO COM CLIENTES PJ;2;19800101;9102020301003;1019;1019;9102020301003;0
1020;2;INTELIGENCIA DE MERCADO;2;19800101;9102020303001;1020;1020;9102020303001;0
1021;2;MARKETING;2;19800101;9102020302001;1021;1021;9102020302001;0
1022;2;ASSESSORIA DE COMUNICACAO;2;19800101;9102020302002;1022;1022;9102020302002;0
1023;2;ESTATISTICA E ATUARIA;2;19800101;9102020305001;1023;1023;9102020305001;0
1024;2;CENTRO DE ESPEC. UNIMED;2;19800101;1024;1024;1024;1024;0
1025;2;ADM. DE PESSOAL E BENEFICIOS;2;19800101;9102020401001;1025;1025;9102020401001;0
1026;2;TREINAMENTO;1;19800101;9102020401004;1026;1026;9102020401004;0
1027;2;MENOR APRENDIZ;2;19800101;9102020401005;1027;1027;9102020401005;0
1028;2;SERVICOS ADMINISTRATIVOS;2;19800101;9102020402001;1028;1028;9102020402001;0
1029;2;SECRETARIA;2;19800101;9102020402002;1029;1029;9102020402002;0
1030;2;LIMPEZA;2;19800101;9102020402013;1030;1030;9102020402013;0
1031;2;ALMOXARIFADO;2;19800101;9102020402014;1031;1031;9102020402014;0
1032;2;COMPRAS;2;19800101;9102020402015;1032;1032;9102020402015;0
1033;2;CONTROLE PATRIMONIAL;2;19800101;9102020402016;1033;1033;9102020402016;0
1034;2;NUCLEO DE FIDELIZACAO;2;19800101;9102020403004;1034;1034;9102020403004;0
1035;2;ATENDIMENTO;2;19800101;9102020403001;1035;1035;9102020403001;0
1037;2;CALL CENTER;2;19800101;9102020304001;1037;1037;9102020304001;0
1048;2;CONSTRUCAONOVA SEDE;2;19800101;9102020402018;1048;1048;9102020402018;0
1049;2;TECNOLOGIA DA INFORMACAO;2;19800101;9102020404001;1049;1049;9102020404001;0
1050;2;QUALIDADE;2;19800101;9102020405001;1050;1050;9102020405001;0
1051;2;DESENVOLVIMENTO DE PROJETOS;2;19800101;1051;1051;;;0
1052;2;FINANCEIRO;2;19800101;9102020501001;1052;1052;9102020501001;0
1053;2;CONTABILIDADE E TRIBUTOS;2;19800101;9102020502001;1053;1053;9102020502001;0
1054;2;PROD MEDICO COOPERADO;1;19800101;1054;1054;;;0
1056;2;NUCLEO DE ASSUNTOS REGULATORIOS;2;19800101;1056;1056;1056;1056;0
1057;2;GERENCIA DE CONTROLADORIA;2;19800101;1057;1057;1057;;0
1058;2;CONTROLADORIA;2;19800101;1058;1058;1058;1058;0
1059;2;ORCAMENTO E CUSTOS;2;19800101;1059;1059;1059;1059;0
1060;2;GESTAO DE PROVIMENTO DE SAUDE;2;19800101;1060;1060;1060;1060;0
1061;2;REGULACAO DE SERVICOS DE SAUDE;2;19800101;1061;1061;1061;1061;0
1062;1;REAL;2;19800101;001062;;;;0
1063;2;PROMOCAO DA SAUDE;2;19800101;1063;1063;1063;1063;0
1064;2;MEDICINA PREVENTIVA;1;19800101;1064;1064;1064;1064;0
1065;2;GESTAO DO CONHECIMENTO;2;19800101;1065;1065;1065;1065;0
1066;2;OPME - ORTESE, PROTESE E MATERIAIS ESPECIAIS;2;19800101;1066;1066;1066;1066;0
1067;2;RESPONSABILIDADE SOCIAL;2;19800101;1067;1067;1067;1067;0
1068;2;CONDOMINIO;2;19800101;1068;1068;1068;1068;0
1069;2;CENTRO DE DIAGNOSTICO DE VENDA NOVA;1;19800101;1069;1069;1069;1069;0
1070;2;GERENCIA DE RELACIONAMENTO COM O CLIENTE;2;19800101;1070;1070;;;0
1071;2;VENDAS EXTERNO;2;01/01/2011;;1071;;;0
1072;2;NUCLEO DE PARAMETRIZACAO E CONTROLADORIA;2;19800101;1072;1072;;;0
1073;2;PROJETO P.A. GUACUI;2;19800101;1073;1073;;;0
1074;2;GERENCIA - NUCLEO DE SERVICO;2;05/30/2012;1074;1074;1074;;0
1075;2;OUVIDORIA;2;19800101;1075;1075;1075;;0
1076;2;GESTAO DE RELACIONAMENTO COM A REDE CREDENCIADA;2;19800101;1076;;1076;;0
1077;2;SOS TERCEIRIZADO;2;19800101;1077;1077;;;0
1078;2;VENDAS INTERNO;2;19800101;1078;1078;;;0
1079;2;NPQ - NUCLEO DE PLANEJAMENTO E QUALIDADE;2;19800101;1079;1079;;;0
1080;2;NUCLEO DE ATENCAO A SAUDE;2;19800101;1080;1080;;; 
1081;2;PROTECAO NO TRABALHO;2;19800101;11014;11014;;;0
1082;2;PLANO MEDICAMENTO;2;19800101;11015;11015;;;0
1083;2;INTERCAMBIO EVENTUAL;2;19800101;11016;11016;;;0
1084;2;PEA;2;19800101;11017;11017;;;0
1085;2;PROTECAO FAMILIAR;2;19800101;11018;11018;;;0
1086;2;DSO;2;19800101;11020;11020;;;0
1087;2;SAUDE EMPRESARIAL;2;19800101;11022;;;;0
1088;2;PARTICIPATIVO ESTADUAL;2;19800101;11023;;;;0
1089;2;SEGURO DE VIDA/FRANQUIA;2;19800101;11025;;;;0
1090;2;ASSIST RESIDENCIAL AP;2;12/31/2011;11028;11028;;;0
1091;2;VIVER MAIS TRANQUILO;2;19800101;11029;11029;11029;;0
1092;2;NOVO UNIPLAN BASICO + 1 + 2 + 3 - PF ADAPTADO;2;19800101;11031;;;; 
2000;2;ATENDIMENTOS AMBULATORIAIS;2;19800101;20001;;;;0
2001;2;ASSISTENCIA DOMICILIAR;2;19800101;9102030101001;2001;2001;9102030101001;0
2002;2;COMISSAO TECNICA;1;19800101;9102030301001;2002;2002;9102030301001;0
2003;2;S.C.I.H.;2;19800101;9102030301002;2003;2003;9102030301002;0
2004;2;GESTAO DE RECURSOS PROPRIOS;2;19800101;9102030401001;2004;2004;9102030401001;0
2005;2;SEG. MED. DO TRABALHO;2;19800101;9102020401002;2005;2005;9102030401002;0
2006;2;COMPRAS HOSPITALARES;1;19800101;9102030401005;2006;2006;9102030401005;0
2008;2;CAIXA;2;19800101;9102030401008;2008;2008;9102030401008;0
2010;2;AREA COMUM;2;19800101;9102030401015;2010;2010;9102030401015;0
2011;2;VESTIARIO;2;19800101;9102030401016;2011;2011;9102030401016;0
2012;2;FISIOTERAPIA;2;01/01/2004;9102030401017;2012;2012;9102030401017;0
2013;2;OPERACIONAL;2;19800101;9102030404001;2013;2013;9102030404001;0
2014;2;MANUTENCAO HOSPITALAR;2;19800101;9102030404002;2014;2014;9102030404002;0
2015;2;TRANSPORTE;2;19800101;9102030404003;2015;2015;9102030404003;0
2016;2;PORTARIA;2;19800101;9102030404004;2016;2016;9102030404004;0
2017;2;GERADOR;2;19800101;9102030404006;2017;2017;9102030404006;0
2018;2;XEROX;2;19800101;9102030404007;2018;2018;9102030404007;0
2019;2;CENTRAL DE GASES MEDICINAIS;2;19800101;9102030404008;2019;2019;9102030404008;0
2020;2;LABORATORIO PROPRIO;2;19800101;9102030405002;2020;2020;9102030405002;0
2021;2;COORD. CALCULO E FECHAMENTO DE CONTAS;2;19800101;9102030403003;2021;2021;9102030403003;0
2022;2;CALCULO E FECHAMENTO DE CONTAS;2;19800101;9102030403001;2022;2022;9102030403001;0
2024;2;CUSTO HOSPITALAR;2;19800101;9102030401014;2024;2024;9102030401014;0
2025;2;LANCHONETE;2;19800101;9102030410001;2025;2025;9102030410001;0
2026;2;RX TERCEIRIZADO;1;19800101;9102030410002;2026;2026;9102030410002;0
2027;2;LABORATORIO TERCEIRIZADO;1;19800101;9102030410003;2027;2027;9102030410003;0
2028;2;COORD. RECEPCAO;2;19800101;9102030405007;2028;2028;9102030405007;0
2029;2;RECEPCAO INTERNACAO;2;19800101;9102030405003;2029;2029;9102030405003;0
2030;2;RECEPCAO PRONTO SOCORRO;2;19800101;9102030405008;2030;2030;9102030405008;0
2031;2;HOTELARIA;2;19800101;9102030405001;2031;2031;9102030405001;0
2032;2;GOVERNANCA;2;19800101;9102030405004;2032;2032;9102030405004;0
2033;2;HIGIENIZACAO;2;19800101;9102030402016;2033;2033;9102030402016;0
2034;2;DISTR/COLETA DE ROUPAS;2;19800101;9102030405006;2034;2034;9102030405006;0
2035;2;COORD. SERV. NUTRICAO E DIETETICA;2;19800101;9102030408001;2035;2035;9102030408001;0
2036;2;SERV.NUTR. E DIETETICA - NAO UTILIZAR;1;19800101;9102030408002;2036;2036;9102030408002;0
2037;2;SERVICO DE REFEICAO;2;19800101;9102030408003;2037;2037;9102030408003;0
2038;2;LACTARIO;2;19800101;9102030408004;2038;2038;9102030408004;0
2039;2;COORD. FARMACIA;2;19800101;9102030409003;2039;2039;9102030409003;0
2040;2;FARMACIA CENTRAL;2;19800101;9102030409001;2040;2040;9102030409001;0
2041;2;ALMOXARIFADO FARMACIA;2;19800101;9102030409002;2041;2041;9102030409002;0
2042;2;FARMACIA CENTRO CIRURGICO;2;19800101;9102030409004;2042;2042;9102030409004;0
2043;2;CENTROMAT. ESTERILIZADO;2;19800101;9102030402003;2043;2043;9102030402003;0
2044;2;AGENCIA TRANSFUSIONAL;2;19800101;9102030402018;2044;2044;9102030402018;0
2045;2;BERCARIO;2;19800101;9102030402019;2045;2045;9102030402019;0
2046;2;ENFERMAGEM;2;19800101;9102030402001;2046;2046;9102030402001;0
2047;2;CENTRO CIRURGICO;2;19800101;9102030402002;2047;2047;9102030402002;0
2048;2;U.T.I.;2;19800101;9102030402004;2048;2048;9102030402004;0
2049;2;U.T.I.N.;2;19800101;9102030402005;2049;2049;9102030402005;0
2050;2;PRONTO SOCORRO;2;19800101;9102030402006;2050;2050;9102030402006;0
2055;2;REPOUSO MEDICO UTI;1;19800101;9102030402020;2055;2055;9102030402020;0
2056;2;REPOUSO MEDICO UTIN;1;19800101;9102030402021;2056;2056;9102030402021;0
