DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;300;303;1;147;;00003E;;BAU;1;1;XFILIAL('BAU')+MV_PAR01;XFILIAL('BAU')==BAU->BAU_FILIAL .AND. BAU->BAU_CODIGO <= MV_PAR02 .AND. BAU->(!EOF());;;;;;;;;
;300;00033E;1;45;;;;BAX;1;1;XFILIAL('BAX')+BAU->BAU_CODIGO;XFILIAL('BAX')+BAU->BAU_CODIGO == BAX->(BAX_FILIAL+BAX_CODIGO) .and. BAX->(!Eof());;;;;;;;;
;900000;202;1;313;;;;;2;;;(Left(cLinTXT,5)  == '00202' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00202' .And. lRetorno .And. LINTERC);;;;;;;;;
;900000;209;1;55;;;;;2;;;(Left(cLinTXT,5) == '00209' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00209' .And. lRetorno) .Or. ( Left(cLinTXT,5)  == '00209' .And. LINTERC .And. lEnvio) .And. !LITEM;;;;;;;;;
;900000;210;1;58;;;;;2;;;((PlsPtuGet('CD_TRANS') == '00210') .Or. (Left(cLinTXT,5)  == '00210')) .And. lEnvio .And. LINTERC .And. !LITEM;;;;;;;;;
;900000;211;1;55;;;;;2;;;( PlsPtuGet('CD_TRANS') == '00211' .And. lRetorno .And. LINTERC )  .Or. ( Left(cLinTXT,5) == '00211' .And. !LINTERC .And. lEnvio );;;;;;;;;
;900040;302;1;313;;;;;2;;;(Left(cLinTXT,5)  == '00302' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00302' .And. lRetorno .And. LINTERC);;;;;;;;;
;900050;302;1;313;;;;;2;;;(Left(cLinTXT,5)  == '00302' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00302' .And. lRetorno .And. LINTERC);;;;;;;;;
;900000;304;1;317;;1304;;;2;;;( ( Left(cLinTXT,5) == '00304' .Or. Left(cLinTXT,5) == '00204' ) .And. lEnvio .And. !LINTERC) .Or. ( ( PlsPtuGet('CD_TRANS') == '00304' .Or. PlsPtuGet('CD_TRANS') == '00204' )  .And. lRetorno .And. LINTERC) .And. !LITEM;;;;;;;;;
;900040;309;1;55;;;;;2;;;((Left(cLinTXT,5) == '00309' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00309' .And. lRetorno) .Or. ( Left(cLinTXT,5)  == '00309' .And. LINTERC .And. lEnvio)) .And. !LITEM;;;;;;;;;
;900050;309;1;55;;;;;2;;;((Left(cLinTXT,5) == '00309' .And. lEnvio .AND. !LINTERC) .Or. (PLSPTUGET('CD_TRANS') == '00309' .And. lRetorno) .Or. ( Left(cLinTXT,5)  == '00309' .And. LINTERC .And. lEnvio)) .And. !LITEM;;;;;;;;;
;900040;310;1;58;;;;;2;;;((PlsPtuGet('CD_TRANS') == '00310') .Or. (Left(cLinTXT,5)  == '00310')) .And. lEnvio .And. LINTERC .And. !LITEM;;;;;;;;;
;900050;310;1;58;;;;;2;;;((PlsPtuGet('CD_TRANS') == '00310') .Or. (Left(cLinTXT,5)  == '00310')) .And. lEnvio .And. LINTERC .And. !LITEM;;;;;;;;;
;900040;311;1;55;;;;;2;;;( PlsPtuGet('CD_TRANS') == '00311' .And. lRetorno .And. LINTERC )  .Or. ( Left(cLinTXT,5) == '00311' .And. !LINTERC .And. lEnvio );;;;;;;;;
;900050;311;1;55;;;;;2;;;( PlsPtuGet('CD_TRANS') == '00311' .And. lRetorno .And. LINTERC )  .Or. ( Left(cLinTXT,5) == '00311' .And. !LINTERC .And. lEnvio );;;;;;;;;
