DE0_FILIAL|DE0_CODLAY|DE0_CODREG|DE0_STATUS|DE0_TAMREG|DE0_IDTREG|DE0_CODRCP|DE0_OCOREG|DE0_ALIAS|DE0_POSICI|DE0_POSORD|DE0_POSCHV|DE0_COND|DE0_VALID|DE0_NOMARQ|DE0_CTRTAM|DE0_CODQRY|DE0_CODRC2|DE0_CODRC3
  |CONEMB|CEM   |1|680|322|      |0|DT6|1|6 |XFILIAL("DT6")+DEC->DEC_CODCLI+DEC->DEC_LOJCLI                                                      |DT6->DT6_FILIAL+DT6->DT6_CLIREM+DT6->DT6_LOJREM == XFILIAL("DT6")+DEC->DEC_CODCLI+DEC->DEC_LOJCLI                                                                                                                                                             |IF(MV_PAR07 == 2,EMPTY(DT6->DT6_DATEDI),.T.) .And. DT6->DT6_SERIE <> "PED" .AND. DT6->DT6_DATEMI >= MV_PAR05 .AND. DT6->DT6_DATEMI <= MV_PAR06                                                                                                                |                                                                                                                         |1|      |      |      
  |CONEMB|TCE   |1|680|323|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |CONEMB|TRA   |1|680|321|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |CONEMB|UNB   |1|680|000|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |CONEMB|UNH   |1|680|320|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |DOCCOB|CCO   |1|170|353|CNF   |999|DT6|2|1 |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|000161|      |      
  |DOCCOB|CNF   |1|170|354|      |40|DTC|1|3 |XFILIAL("DTC")+IIF(DT6->DT6_DOCDCO=' ',DT6->(DT6_FILDOC+DT6_DOC+DT6_SERIE),DT6->(DT6_FILDCO+DT6_DOCD|XFILIAL("DT6")+IIF(DT6->DT6_DOCDCO=' ',DT6->(DT6_FILDOC+DT6_DOC+DT6_SERIE),DT6->(DT6_FILDCO+DT6_DOCDCO+DT6_SERDCO)) == DTC->DTC_FILIAL+DTC->DTC_FILDOC+DTC->DTC_DOC+DTC->DTC_SERIE                                                                            |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |DOCCOB|DCO   |1|170|352|CCO   |100|SE1|1|2 |XFILIAL("SE1")+DEC->DEC_CODCLI+DEC->DEC_LOJCLI                                                      |SE1->E1_FILIAL+SE1->E1_CLIENTE+SE1->E1_LOJA == XFILIAL("SE1")+DEC->DEC_CODCLI+DEC->DEC_LOJCLI                                                                                                                                                                 |IF(MV_PAR09=2,EMPTY(SE1->E1_DATAEDI),.T.) .AND. SE1->E1_NUM>=MV_PAR05 .AND. SE1->E1_NUM<=MV_PAR06 .AND. SE1->E1_EMISSAO>=MV_PAR07 .AND. SE1->E1_EMISSAO<=MV_PAR08 .AND. SE1->E1_PREFIXO="CTR".AND. ALLTRIM(SE1->E1_ORIGEM)="TMSA850".AND. SE1->E1_SITFAT#"3"  |                                                                                                                         |1|      |      |      
  |DOCCOB|TDC   |1|170|355|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |DOCCOB|TRA   |1|170|351|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |DOCCOB|UNB   |1|170|000|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |DOCCOB|UNH   |1|170|350|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
