DE1_FILIAL|DE1_CODLAY|DE1_CODREG|DE1_SEQUEN|DE1_TIPO|DE1_ALIAS|DE1_CAMPO|DE1_LAYTAM|DE1_LAYDEC|DE1_POSINI|DE1_POSFIM|DE1_OBSERV|DE1_REGRA|DE1_VALID|DE1_POSICI|DE1_POSORD|DE1_POSCHV
  |CONEMB|CEM   |001|1|   |IDENTREG  |3|0|001|003|IDENTIFICADOR DE REGISTRO                                                       |"322"                                                                                                                                                                                                                                                         |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |002|1|DT6|DT6_FILDOC|2|0|004|005|FILIAL EMISSORA DO CONHECIMENTO                                                 |                                                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |004|1|   |FILLER    |8|0|006|013|FILIAL EMISSORA DO CONHECIMENTO                                                 |                                                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |005|1|DT6|DT6_SERIE |5|0|014|018|SERIE DO CONHECIMENTO                                                           |                                                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |006|1|DT6|DT6_DOC   |12|0|019|030|NUMERO DO CONHECIMENTO                                                          |                                                                                                                                                                                                                                                              |IF(!__LEDICONTCP,IF(!EMPTY(U_EDITOTAL(1,1,2)) .AND. !EMPTY(U_EDITOTAL(2,DT6->DT6_VALTOT)),.T.,.T.),.T.)                         |2|  |                                                                                                                                                                
  |CONEMB|CEM   |007|1|DT6|DT6_DATEMI|8|0|031|038|DATA DE EMISSAO (DDMMAAAA)                                                      |U_EDICONVDAT(DT6->DT6_DATEMI,4)                                                                                                                                                                                                                               |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |008|1|DT6|DT6_TIPFRE|1|0|039|039|CONDICAO DE FRETE (C=CIF OU F=FOB)                                              |IF(DT6->DT6_TIPFRE=="1","C","F")                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |009|1|DT6|DT6_PESO  |7|2|040|046|PESO TRANSPORTADO                                                               |                                                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |010|1|DT6|DT6_VALTOT|15|2|047|061|VALOR TOTAL DO FRETE                                                            |                                                                                                                                                                                                                                                              |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |011|1|SF2|F2_BASEICM|15|2|062|076|BASE DE CALCULO PARA APURACAO ICMS                                              |                                                                                                                                                                                                                                                              |                                                                                                                                |1|1 |DT6->DT6_FILDOC+DT6->DT6_DOC+DT6->DT6_SERIE+DT6->DT6_CLICAL+DT6->DT6_LOJCAL                                                                                     
  |CONEMB|CEM   |012|1|SD2|D2_PICM   |4|2|077|080|% DE TAXA DO ICMS                                                               |                                                                                                                                                                                                                                                              |                                                                                                                                |1|3 |DT6->DT6_FILDOC+DT6->DT6_DOC+DT6->DT6_SERIE+DT6->DT6_CLICAL+DT6->DT6_LOJCAL                                                                                     
  |CONEMB|CEM   |013|1|SF2|F2_VALICM |15|2|081|095|VALOR DO ICMS                                                                   |                                                                                                                                                                                                                                                              |                                                                                                                                |1|1 |DT6->DT6_FILDOC+DT6->DT6_DOC+DT6->DT6_SERIE+DT6->DT6_CLICAL+DT6->DT6_LOJCAL                                                                                     
  |CONEMB|CEM   |014|1|   |DT8_VALTOT|15|2|096|110|VALOR DO FRETE POR PESO / VOLUME                                                |U_LCOMPFRE(2,'1')                                                                                                                                                                                                                                             |                                                                                                                                |2|2 |XFILIAL("DT8")+DT6->DT6_FILDOC+DT6->DT6_DOC+DT6->DT6_SERIE+"01"                                                                                                 
  |CONEMB|CEM   |015|1|   |DT8_VALTOT|15|2|111|125|FRETE VALOR                                                                     |U_LCOMPFRE(2,'2')                                                                                                                                                                                                                                             |                                                                                                                                |2|2 |XFILIAL("DT8")+DT6->DT6_FILDOC+DT6->DT6_DOC+DT6->DT6_SERIE+"02"                                                                                                 
  |CONEMB|CEM   |016|1|   |SEC - CAT |15|2|126|140|VALOR SEC - CAT                                                                 |U_LCOMPFRE(2,'3')                                                                                                                                                                                                                                             |                                                                                                                                |2|  |                                                                                                                                                                
  |CONEMB|CEM   |017|1|   |ITR       |15|2|141|155|VALOR ITR                                                                       |0                                                                                                                                                                                                                                                             |                                                                                                                                |2|  |                                                                                                                                                                
