DE3_FILIAL|DE3_CODREG|DE3_DSCREG
  |CCO   |CONHECIMENTO EM COBRANCA                                                        
  |CEM   |CONHECIMENTOS EMBARCADOS                                                        
  |CNF   |NOTAS FISCAIS EM COBRANCA NO CONHECIMENTO                                       
  |CON   |DADOS DO CONSIGNATARIO DA MERCADORIA                                            
  |DCO   |DOCUMENTO DE COBRANCA                                                           
  |DEM   |DADOS DA EMBARCADORA                                                            
  |DES   |DADOS DO DESTINATARIO DA MERCADORIA                                             
  |DNF   |DADOS DE NOTA FISCAL                                                            
  |OEN   |OCORRENCIA NA ENTREGA                                                           
  |RED   |DADOS PARA REDESPACHO DA MERCADORIA                                             
  |RPF   |DADOS RESPONSAVEL PELO FRETE                                                    
  |TCE   |TOTAL DE CONHECIMENTOS EMBARCADOS                                               
  |TDC   |TOTAL DE CONHECIMENTOS DE COBRANCA                                              
  |TRA   |DADOS DA TRANSPORTADORA                                                         
  |UNB   |CABECALHO DE INTERCAMBIO                                                        
  |UNH   |CABECALHO DE DOCUMENTO                                                          
