BVN_CDITEM;BVN_TISVER;BVN_TAG;BVN_CAMTAG;BVN_TPVLD;BVN_ALIAS;BVN_INDICE;BVN_CODTAB;BVN_DADEXP;BVN_CODOPE;BVN_PROPRI;BVN_CODGLO;BVN_BLCPRE;BVN_BLCPOS;BVN_GRPCND;BVN_TAGMSG;BVN_MSGAUX
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;VAL(CFILESEQ) > 0 .AND. LEN(CFILESEQ) <= 20;;X;06;;;;*;'Nome do arquivo: '+substr(cFileXml,Rat(PLSMUDSIS('\'),cFileXml)+1,len(cFileXml))+' Numero sequencial informado: '+cFileSeq
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;CFILEDEL == '_';;X;07;;;;*;'Nome do arquivo: '+substr(cFileXml,Rat(PLSMUDSIS('\'),cFileXml)+1,len(cFileXml))+' Nome do arquivo: '+cFileXml
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;LEN(CFILEHAS) == 32;;X;08;;;;*;'Nome do arquivo: '+substr(cFileXml,Rat(PLSMUDSIS('\'),cFileXml)+1,len(cFileXml))+' Hash informado: '+cFileHas
0001;4.01.00;HASH;\MENSAGEMTISS\EPILOGO\;3;;0,00;;PLVLDCHSH2(PVLRTAGXML(aDadosUnic, '\MENSAGEMTISS\EPILOGO\HASH'));;X;15;;;;;'Hash informado no nome do arquivo: '+cFileHas+' Hash informado dentro do arquivo: '+PVLRTAGXML(aDadosUnic, '\MENSAGEMTISS\EPILOGO\HASH')+' Hash do conteudo do arquivo: '+PLVLDCHSH()
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;!EMPTY(CGUIA);;X;16;;;;*; 
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;!EMPTY(CRDAORI) .AND. BAU->( MSSEEK( XFILIAL('BAU')+CRDAORI ) );;X;17;BAU->( DBSETORDER( NIDXP ) );;;ORIGEM\IDENTIFICACAOPRESTADOR\CNPJ,ORIGEM\IDENTIFICACAOPRESTADOR\CPF,ORIGEM\IDENTIFICACAOPRESTADOR\CODIGOPRESTADORNAOPERADORA;'Codigo enviado: '+cRdaOri
0001;4.01.00;TIPOTRANSACAO;\MENSAGEMTISS\CABECALHO\IDENTIFICACAOTRANSACAO\;3;;0,00;;IIF (AT(CGUIA,'SOLICITACAOSP-SADT,SOLICITACAOINTERNACAO,SOLICITACAOPRORROGACAO,SOLICITACAOODONTOLOGIA') > 0, ALLTRIM(CTPTRAN) != 'ENVIO_LOTE_GUIAS', .T.);;X;18;;;;;'Tipo de trasacao: '+AllTrim(cTpTran)+' Tipo de guia: '+AllTrim(cGuia)
0001;4.01.00;REGISTROANS;\MENSAGEMTISS\CABECALHO\DESTINO\;1;BA0;5,00;;;;X;19;;;;;'Registro da ANS: '+PVLRTAGXML(aDadosUnic, 'CABECALHO\DESTINO\REGISTROANS')
0001;4.01.00;VERSAOPADRAO;\MENSAGEMTISS\CABECALHO\;3;;0,00;;PLSXCALVAL(DDATABASE,COPEMOV,.F.)[1];;X;20;;;;*;'Data Base: '+dtoc(dDataBase)
0001;4.01.00;NUMEROCARTEIRA;\DADOSBENEFICIARIO\;3;;0,00;;!EMPTY(ALLTRIM(CMATRIC));;X;21;;;;NUMEROCARTEIRA; 
0002;4.01.00;NUMEROCARTEIRA;\DADOSBENEFICIARIO\;3;;0,00;;PLSDADUSR(CMATRIC,'1',.F.,DDATPRO)[1] .OR. PLSDADUSR(CMATRIC,'2',.F.,DDATPRO)[1];;X;21;;;;NUMEROCARTEIRA;'Data Atendimento: '+dtoc(dDatPro)
0003;4.01.00;NUMEROCARTEIRA;\BENEFICIARIO\;3;;0,00;;!EMPTY(ALLTRIM(CMATRIC));;X;21;;;;NUMEROCARTEIRA; 
0004;4.01.00;NUMEROCARTEIRA;\BENEFICIARIO\;3;;0,00;;PLSDADUSR(CMATRIC,'1',.F.,DDATPRO)[1] .OR. PLSDADUSR(CMATRIC,'2',.F.,DDATPRO)[1];;X;21;;;;NUMEROCARTEIRA;'Data Atendimento: '+dtoc(dDatPro)
0001;4.01.00;DIAGNOSTICO;\DADOSSAIDAINTERNACAO\;3;;0,00;;VldX22();;X;22;;;;;'CID: '+PVLRTAGXML(aDadosUnic, '\DADOSSAIDAINTERNACAO\DIAGNOSTICO')
0001;4.01.00;SENHA;\DADOSAUTORIZACAO\;3;;0,00;;IIF(CTIPO == '2' .AND. !EMPTY(CNUMSEN), PlsIsSen(CTIPO) , .T.);;X;23;;;01;\DADOSAUTORIZACAO\SENHA;'Numero da senha enviada: '+CNUMSEN
0002;4.01.00;SENHA;\;3;;0,00;;IIF(CTIPO == '3' .AND. !EMPTY(CNUMSEN), PlsIsSen(CTIPO), .T.);;X;23;;;02;;'Numero da senha enviada: '+CNUMSEN
0001;4.01.00;NUMEROCARTEIRA;\DADOSBENEFICIARIO\;3;;0,00;;P973VLD91();;0;91;;;;DADOSAUTORIZACAO\SENHA;'Numero da senha enviada: '+AllTrim(cNumSen)
0001;4.01.00;SENHA;\DADOSAUTORIZACAO\;3;;0,00;;IIF(CTIPO == '2' .AND. !EMPTY(CNUMSEN), !( BEA->BEA_LIBERA == '1' .AND. BEA->BEA_STATUS == '3' .AND. CTIPO == '2' .AND.!EMPTY(CNUMSEN) .AND. !AITELIB[1]),.T.);;X;36;;;;;'Numero da senha enviada: '+AllTrim(cNumSen)
0002;4.01.00;NUMEROCARTEIRA;\DADOSBENEFICIARIO\;3;;0,00;;IIF(LFOUNDAUT .AND. CTIPO == '3' .and. !Empty(CNUMSEN) , BE4->BE4_STATUS $ '1,2' ,.T.);;X;36;;;;DADOSAUTORIZACAO\SENHA;'Numero da senha enviada: '+AllTrim(cNumSen)
0003;4.01.00;NUMEROCARTEIRA;\BENEFICIARIO\;3;;0,00;;IIF(LFOUNDAUT .AND. CTIPO == '3' .and. !Empty(CNUMSEN) , BE4->BE4_STATUS $ '1,2' ,.T.);;X;36;;;;SENHA;'Numero da senha enviada: '+AllTrim(cNumSen)
0001;4.01.00;NUMEROCARTEIRA;\BENEFICIARIO\;3;;0,00;;IIF(LFOUNDAUT .AND. CTIPO == '3' .and. !Empty(CNUMSEN) .AND. GetNewPar('MV_PLINTIP',.T.), EMPTY(BE4->BE4_DTALTA),.T.);;5;60;;;;\SENHA;'Numero da senha enviada: '+AllTrim(cNumSen)
0002;4.01.00;NUMEROCARTEIRA;\DADOSBENEFICIARIO\;3;;0,00;;IIF(LFOUNDAUT .AND. CTIPO == '3' .and. !Empty(CNUMSEN) .AND. GetNewPar('MV_PLINTIP',.T.), EMPTY(BE4->BE4_DTALTA),.T.);;5;60;;;;\DADOSAUTORIZACAO\SENHA;'Numero da senha enviada: '+AllTrim(cNumSen)
0001;4.01.00;CPFCONTRATADO;\CONTRATADOEXECUTANTE\;3;;0,00;;PBusProfs([%\CPFCONTRATADO%],.T.);;X;26;;;;;'Codigo enviado: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CPFCONTRATADO'))
0002;4.01.00;CNPJCONTRATADO;\CONTRATADOEXECUTANTE\;3;;0,00;;PBusProfs([%\CNPJCONTRATADO%],.T.);;X;26;;;;;'Codigo enviado: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CNPJCONTRATADO'))
0003;4.01.00;CODIGOPRESTADORNAOPERADORA;\CONTRATADOEXECUTANTE\;3;;0,00;;PBusProfs([%\CODIGOPRESTADORNAOPERADORA%],.T.);;X;26;;;;;'Codigo enviado: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPRESTADORNAOPERADORA'))
0001;4.01.00;CODIGONAOPERADORA;\DADOSCONTRATADOEXECUTANTE\;3;;0,00;;PBusProfs(CRDAORI,.T.);;X;24;;;;;'Codigo enviado: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGONAOPERADORA'))
